df_hash,22ZHK4.FR6L0Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4JNX
person_label,V102
date_time_start,2025-11-04_19-59-24.084000_+03
date_time_start_unix,1762271964.084
date_time_end,2025-11-04_19-59-57.552000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.504,-0.541,0.848,0.248
4.514,-0.535,0.844,0.248
4.524,-0.543,0.838,0.240
4.534,-0.553,0.836,0.244
4.544,-0.549,0.840,0.246
4.554,-0.555,0.844,0.246
4.564,-0.557,0.848,0.250
4.574,-0.553,0.852,0.254
4.584,-0.549,0.850,0.252
4.594,-0.549,0.844,0.256
4.604,-0.543,0.846,0.254
4.614,-0.543,0.844,0.254
4.624,-0.545,0.844,0.252
4.634,-0.547,0.848,0.252
4.644,-0.543,0.846,0.254
4.654,-0.547,0.852,0.250
4.664,-0.541,0.854,0.252
4.674,-0.543,0.852,0.254
4.684,-0.541,0.854,0.254
4.694,-0.533,0.854,0.254
4.704,-0.533,0.852,0.254
4.714,-0.531,0.850,0.250
4.724,-0.529,0.854,0.248
4.734,-0.533,0.852,0.246
4.744,-0.529,0.850,0.250
4.754,-0.531,0.852,0.254
4.764,-0.533,0.850,0.248
4.774,-0.525,0.846,0.246
4.784,-0.520,0.846,0.246
4.794,-0.520,0.846,0.246
4.804,-0.523,0.852,0.250
4.814,-0.525,0.846,0.248
4.824,-0.537,0.840,0.248
4.834,-0.545,0.842,0.254
4.844,-0.545,0.838,0.252
4.854,-0.539,0.842,0.254
4.864,-0.529,0.848,0.254
4.874,-0.516,0.838,0.252
4.884,-0.512,0.824,0.248
4.894,-0.508,0.814,0.246
4.904,-0.514,0.814,0.248
4.914,-0.525,0.818,0.250
4.924,-0.543,0.826,0.252
4.934,-0.553,0.820,0.260
4.944,-0.547,0.828,0.258
4.954,-0.543,0.822,0.252
4.964,-0.551,0.807,0.246
4.974,-0.561,0.797,0.246
4.984,-0.568,0.795,0.242
4.994,-0.580,0.791,0.244
5.004,-0.586,0.781,0.236
5.014,-0.609,0.785,0.230
5.024,-0.629,0.787,0.232
5.034,-0.641,0.775,0.223
5.044,-0.656,0.779,0.223
5.054,-0.680,0.783,0.229
5.064,-0.705,0.773,0.227
5.074,-0.736,0.766,0.232
5.084,-0.752,0.764,0.230
5.094,-0.752,0.764,0.225
5.104,-0.750,0.775,0.227
5.114,-0.754,0.787,0.225
5.124,-0.752,0.781,0.225
5.134,-0.750,0.775,0.213
5.144,-0.742,0.775,0.203
5.154,-0.730,0.777,0.195
5.164,-0.719,0.781,0.191
5.174,-0.709,0.787,0.186
5.184,-0.695,0.791,0.182
5.194,-0.684,0.797,0.180
5.204,-0.672,0.803,0.174
5.214,-0.666,0.805,0.172
5.224,-0.658,0.805,0.168
5.234,-0.646,0.807,0.162
5.244,-0.633,0.807,0.158
5.254,-0.623,0.805,0.150
5.264,-0.617,0.801,0.152
5.274,-0.609,0.801,0.148
5.284,-0.604,0.795,0.148
5.294,-0.602,0.795,0.150
5.304,-0.611,0.803,0.156
5.314,-0.627,0.803,0.164
5.324,-0.643,0.801,0.168
5.334,-0.662,0.799,0.166
5.344,-0.672,0.797,0.178
5.354,-0.682,0.803,0.176
5.364,-0.688,0.805,0.184
5.374,-0.691,0.801,0.184
5.384,-0.693,0.795,0.178
5.394,-0.691,0.795,0.176
5.404,-0.684,0.797,0.176
5.414,-0.678,0.805,0.172
5.424,-0.670,0.799,0.176
5.434,-0.664,0.803,0.168
5.444,-0.654,0.807,0.172
5.454,-0.645,0.799,0.164
5.464,-0.629,0.807,0.160
5.474,-0.617,0.811,0.162
5.484,-0.607,0.809,0.156
5.494,-0.602,0.797,0.148
5.504,-0.596,0.789,0.143
5.514,-0.605,0.797,0.146
5.524,-0.613,0.803,0.152
5.534,-0.617,0.807,0.158
5.544,-0.629,0.809,0.166
5.554,-0.637,0.809,0.170
5.564,-0.648,0.803,0.170
5.574,-0.660,0.799,0.170
5.584,-0.662,0.801,0.178
5.594,-0.658,0.801,0.178
5.604,-0.662,0.801,0.178
5.614,-0.656,0.803,0.176
5.624,-0.654,0.799,0.178
5.634,-0.650,0.801,0.174
5.644,-0.650,0.799,0.176
5.654,-0.639,0.801,0.174
5.664,-0.637,0.807,0.178
5.674,-0.633,0.803,0.172
5.684,-0.631,0.799,0.172
5.694,-0.631,0.789,0.174
5.704,-0.625,0.793,0.174
5.714,-0.623,0.799,0.174
5.724,-0.625,0.805,0.180
5.734,-0.627,0.807,0.178
5.744,-0.629,0.801,0.178
5.754,-0.631,0.797,0.174
5.764,-0.627,0.805,0.178
5.774,-0.629,0.811,0.176
5.784,-0.633,0.811,0.178
5.794,-0.631,0.812,0.176
5.804,-0.633,0.816,0.180
5.814,-0.631,0.814,0.178
5.824,-0.627,0.809,0.180
5.834,-0.627,0.809,0.180
5.844,-0.631,0.809,0.182
5.854,-0.627,0.805,0.180
5.864,-0.623,0.807,0.180
5.874,-0.619,0.811,0.180
5.884,-0.617,0.807,0.178
5.894,-0.619,0.812,0.180
5.904,-0.617,0.809,0.178
5.914,-0.615,0.811,0.178
5.924,-0.621,0.814,0.176
5.934,-0.623,0.814,0.180
5.944,-0.621,0.812,0.176
5.954,-0.617,0.812,0.174
5.964,-0.623,0.814,0.176
5.974,-0.625,0.814,0.178
5.984,-0.625,0.818,0.180
5.994,-0.627,0.814,0.182
6.004,-0.627,0.811,0.178
6.014,-0.627,0.812,0.180
6.024,-0.629,0.811,0.178
6.034,-0.623,0.816,0.180
6.044,-0.627,0.811,0.184
6.054,-0.625,0.811,0.176
6.064,-0.623,0.811,0.178
6.074,-0.617,0.811,0.182
6.084,-0.615,0.811,0.180
6.094,-0.615,0.818,0.186
6.104,-0.613,0.824,0.184
6.114,-0.615,0.814,0.180
6.124,-0.615,0.803,0.176
6.134,-0.611,0.803,0.174
6.144,-0.613,0.807,0.176
6.154,-0.615,0.814,0.178
6.164,-0.619,0.816,0.186
6.174,-0.625,0.816,0.182
6.184,-0.627,0.818,0.184
6.194,-0.631,0.811,0.182
6.204,-0.625,0.811,0.180
6.214,-0.627,0.811,0.182
6.224,-0.625,0.812,0.180
6.234,-0.627,0.812,0.178
6.244,-0.625,0.812,0.180
6.254,-0.623,0.814,0.182
6.264,-0.625,0.818,0.182
6.274,-0.623,0.812,0.182
6.284,-0.625,0.818,0.180
6.294,-0.623,0.820,0.180
6.304,-0.627,0.814,0.182
6.314,-0.627,0.809,0.180
6.324,-0.621,0.809,0.182
6.334,-0.617,0.816,0.180
