df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,omega
40.712,0.553
41.591,0.552
42.418,0.552
43.054,0.551
43.784,0.552
44.765,0.551
45.295,0.552
46.378,0.552
47.101,0.553
47.972,0.553
48.809,0.557
49.684,0.557
50.271,0.557
51.095,0.553
51.917,0.553
52.748,0.553
53.627,0.557
54.556,0.558
55.239,0.558
55.930,0.565
56.705,0.565
57.674,0.565
58.407,0.565
59.046,0.565
59.789,0.562
60.647,0.568
61.482,0.563
62.262,0.564
63.228,0.559
63.715,0.555
64.450,0.551
65.234,0.551
65.967,0.555
66.943,0.555
68.011,0.559
68.837,0.559
69.622,0.558
70.357,0.557
71.187,0.554
72.107,0.551
73.078,0.549
74.031,0.554
75.029,0.556
76.104,0.556
76.838,0.556
77.662,0.554
78.642,0.552
79.502,0.552
80.685,0.553
81.662,0.554
82.539,0.556
83.414,0.556
84.340,0.554
85.272,0.554
86.000,0.554
86.731,0.553
87.705,0.553
88.634,0.554
89.656,0.557
94.430,0.560
94.964,0.560
94.976,0.560
96.624,0.560
96.972,0.557
97.797,0.559
98.626,0.560
99.650,0.560
100.386,0.560
101.405,0.560
102.285,0.560
102.869,0.559
103.647,0.558
104.619,0.558
105.256,0.558
105.939,0.555
107.063,0.557
107.740,0.557
108.811,0.557
109.739,0.557
110.483,0.555
123.957,0.554
128.923,0.554
129.796,0.554
130.671,0.554
131.406,0.554
132.192,0.554
133.111,0.554
133.744,0.551
134.525,0.551
135.403,0.555
136.329,0.560
137.206,0.555
137.889,0.551
138.620,0.549
139.448,0.546
140.083,0.546
141.252,0.546
142.277,0.549
143.151,0.554
143.980,0.553
144.760,0.549
144.909,0.546
146.371,0.545
147.347,0.545
148.513,0.545
149.304,0.546
150.370,0.549
151.149,0.551
151.832,0.551
152.566,0.547
153.294,0.545
154.172,0.547
155.051,0.547
155.890,0.551
157.054,0.551
159.092,0.551
159.824,0.551
160.806,0.551
161.777,0.551
162.867,0.551
163.823,0.553
164.607,0.555
165.531,0.555
166.121,0.554
166.900,0.551
167.626,0.550
168.648,0.550
169.676,0.550
170.505,0.551
173.185,0.551
173.880,0.551
174.939,0.551
175.911,0.551
176.688,0.551
177.574,0.551
178.310,0.551
179.374,0.551
180.103,0.550
180.691,0.550
181.671,0.550
182.493,0.550
183.564,0.548
184.201,0.547
185.662,0.547
186.682,0.547
187.467,0.550
188.443,0.550
189.267,0.550
189.906,0.547
190.780,0.547
191.611,0.550
192.580,0.550
193.317,0.550
194.390,0.550
197.657,0.547
198.530,0.551
199.705,0.551
200.300,0.553
201.168,0.555
201.946,0.555
202.625,0.553
203.317,0.553
204.335,0.553
205.165,0.553
206.236,0.555
206.969,0.555
207.843,0.548
208.480,0.543
209.219,0.540
210.033,0.540
211.457,0.540
212.044,0.540
212.964,0.540
213.743,0.540
214.577,0.545
215.404,0.537
216.134,0.540
217.251,0.537
217.895,0.536
218.637,0.536
219.641,0.539
220.390,0.540
221.061,0.546
221.892,0.546
222.662,0.540
223.587,0.546
224.466,0.547
225.346,0.551
225.980,0.553
226.282,0.553
227.536,0.553
228.223,0.549
229.054,0.548
230.027,0.545
232.021,0.545
235.285,0.545
236.166,0.545
237.096,0.548
238.168,0.550
238.709,0.550
241.100,0.548
241.773,0.545
242.515,0.543
243.528,0.545
248.860,0.547
249.676,0.545
250.404,0.547
251.574,0.544
254.987,0.544
256.995,0.544
257.521,0.544
258.301,0.546
264.442,0.542
266.684,0.542
267.515,0.539
270.489,0.542
271.168,0.540
272.872,0.533
273.754,0.533
274.443,0.533
283.608,0.529
284.336,0.527
287.694,0.527
288.575,0.527
289.601,0.527
290.327,0.532
291.792,0.527
312.903,0.532
318.125,0.532
328.502,0.533
335.766,0.534
336.647,0.534
337.517,0.537
338.643,0.542
339.376,0.546
340.307,0.546
341.181,0.549
346.006,0.551
346.881,0.553
347.751,0.561
348.588,0.568
350.105,0.568
360.238,0.568
361.796,0.568
362.669,0.568
363.502,0.568
364.392,0.571
365.551,0.568
366.429,0.571
372.874,0.571
376.594,0.575
388.806,0.568
390.070,0.568
392.415,0.576
405.283,0.539
405.775,0.539
411.084,0.536
416.543,0.536
418.059,0.528
418.686,0.528
447.307,0.586
448.275,0.591
449.009,0.593
449.946,0.593
453.450,0.582
454.141,0.582
454.963,0.580
455.642,0.580
456.468,0.580
457.543,0.573
458.371,0.566
459.151,0.563
459.981,0.560
460.705,0.558
461.394,0.553
462.418,0.548
462.952,0.548
463.836,0.548
464.755,0.553
465.684,0.553
466.610,0.552
467.162,0.546
468.079,0.544
468.763,0.543
469.500,0.542
470.530,0.543
471.355,0.542
472.315,0.544
473.046,0.542
474.072,0.542
474.683,0.540
475.236,0.538
476.360,0.538
477.043,0.538
477.920,0.540
478.986,0.542
479.675,0.544
481.089,0.542
481.818,0.540
482.600,0.540
483.626,0.542
484.356,0.544
485.086,0.545
485.934,0.545
486.702,0.545
487.332,0.545
488.257,0.543
488.987,0.541
489.869,0.541
490.646,0.541
491.565,0.546
493.964,0.553
494.692,0.555
495.645,0.554
497.133,0.546
497.905,0.546
498.755,0.541
502.785,0.546
503.517,0.547
513.510,0.547
514.833,0.549
519.751,0.549
525.404,0.550
