df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.428,204067,179,171299
5.433,204091,178,171314
5.438,204099,177,171322
5.443,204105,176,171315
5.448,204108,186,171321
5.453,204142,186,171321
5.458,204149,178,171339
5.463,204159,177,171351
5.468,204157,185,171339
5.473,204180,184,171361
5.478,204210,183,171352
5.483,204200,182,171355
5.488,204209,181,171355
5.493,204226,180,171377
5.498,204237,179,171384
5.503,204219,178,171371
5.508,204248,184,171353
5.513,204253,185,171397
5.518,204267,184,171395
5.523,204276,182,171393
5.528,204265,181,171396
5.533,204244,179,171399
5.538,204249,178,171402
5.543,204254,178,171391
5.548,204210,178,171386
5.553,204208,168,171383
5.558,204173,180,171376
5.563,204179,179,171380
5.568,204148,177,171359
5.573,204129,185,171357
5.578,204109,184,171346
5.583,204113,183,171325
5.588,204081,181,171345
5.593,204056,179,171324
5.598,204043,177,171339
5.603,204044,176,171328
5.608,204006,179,171334
5.613,203996,176,171326
5.618,203977,186,171323
5.623,203971,184,171313
5.628,203967,183,171311
5.633,203937,181,171324
5.638,203929,179,171303
5.643,203915,178,171291
5.648,203896,177,171291
5.653,203885,186,171306
5.658,203862,182,171274
5.663,203874,180,171268
5.668,203853,179,171270
5.673,203827,177,171254
5.678,203830,186,171257
5.683,203827,183,171256
5.688,203793,180,171248
5.693,203773,179,171249
5.698,203777,178,171231
5.703,203733,177,171228
5.708,203764,179,171245
5.713,203726,177,171225
5.718,203711,187,171215
5.723,203710,184,171216
5.728,203708,182,171216
5.733,203707,180,171204
5.738,203688,179,171209
5.743,203670,178,171199
5.748,203653,177,171205
5.753,203663,179,171208
5.758,203635,178,171201
5.763,203636,176,171187
5.768,203629,185,171184
5.773,203613,183,171173
5.778,203606,182,171194
5.783,203598,180,171166
5.788,203612,179,171169
5.793,203594,178,171180
5.798,203599,187,171175
5.803,203599,179,171184
5.808,203592,179,171175
5.813,203603,178,171184
5.818,203601,177,171176
5.823,203602,186,171187
5.828,203593,184,171176
5.833,203592,183,171173
5.838,203586,181,171177
5.843,203612,180,171178
5.848,203583,179,171174
5.853,203592,181,171169
5.858,203584,180,171164
5.863,203579,180,171167
5.868,203592,179,171164
5.873,203583,178,171172
5.878,203575,177,171179
5.883,203580,176,171158
5.888,203571,186,171168
5.893,203578,185,171136
5.898,203574,184,171169
5.903,203575,179,171169
5.908,203583,178,171162
5.913,203579,177,171163
5.918,203570,176,171175
5.923,203566,185,171154
5.928,203582,185,171165
5.933,203570,185,171154
5.938,203581,184,171168
5.943,203593,184,171170
5.948,203580,186,171190
5.953,203593,181,171149
5.958,203590,179,171175
5.963,203589,179,171159
5.968,203593,178,171187
5.973,203609,176,171186
5.978,203597,185,171179
5.983,203608,183,171182
5.988,203605,183,171167
5.993,203610,182,171185
5.998,203614,185,171178
6.003,203619,184,171179
6.008,203610,183,171186
6.013,203641,182,171192
6.018,203631,180,171177
6.023,203642,180,171181
6.028,203643,179,171196
6.033,203645,177,171182
6.038,203662,187,171207
6.043,203671,185,171187
6.048,203670,177,171210
6.053,203674,187,171193
6.058,203696,183,171204
6.063,203693,182,171210
6.068,203689,180,171214
6.073,203710,179,171229
6.078,203727,177,171225
6.083,203720,177,171230
6.088,203746,185,171222
6.093,203731,183,171229
6.098,203744,186,171227
6.103,203749,185,171244
6.108,203768,183,171245
6.113,203757,181,171246
6.118,203768,180,171251
6.123,203775,179,171262
6.128,203784,178,171262
6.133,203796,177,171266
6.138,203800,186,171268
6.143,203806,184,171256
6.148,203814,178,171275
6.153,203825,177,171289
6.158,203833,186,171281
6.163,203833,184,171290
6.168,203861,183,171297
6.173,203872,182,171288
6.178,203866,181,171305
6.183,203872,179,171303
6.188,203899,178,171301
6.193,203873,178,171327
6.198,203890,180,171315
6.203,203913,178,171312
6.208,203924,177,171311
6.213,203926,186,171332
6.218,203920,185,171324
6.223,203927,183,171333
6.228,203939,180,171340
6.233,203959,179,171334
6.238,203956,177,171342
6.243,203963,178,171349
6.248,203975,178,171363
6.253,203984,177,171356
6.258,203999,186,171360
6.263,203999,185,171365
6.268,204003,182,171376
6.273,204017,180,171376
6.278,204031,179,171374
6.283,204028,178,171376
6.288,204029,176,171379
6.293,204060,180,171385
6.298,204043,177,171409
6.303,204052,186,171386
6.308,204055,185,171401
6.313,204060,183,171405
6.318,204091,182,171410
6.323,204098,182,171420
6.328,204093,180,171421
6.333,204118,179,171435
6.338,204123,177,171417
6.343,204130,180,171434
6.348,204138,178,171436
6.353,204138,176,171438
6.358,204170,184,171447
6.363,204166,182,171460
6.368,204185,180,171451
6.373,204197,179,171458
6.378,204212,177,171465
6.383,204208,187,171472
6.388,204230,185,171476
6.393,204247,177,171487
6.398,204249,187,171488
6.403,204245,184,171479
6.408,204255,183,171481
6.413,204260,181,171515
6.418,204270,179,171508
6.423,204273,178,171496
6.428,204278,177,171517
6.433,204289,186,171513
6.438,204303,184,171525
6.443,204300,177,171523
6.448,204308,186,171528
6.453,204298,184,171515
6.458,204271,182,171517
6.463,204260,180,171519
6.468,204262,180,171506
6.473,204235,178,171492
6.478,204222,177,171509
6.483,204201,185,171490
6.488,204185,188,171453
6.493,204166,177,171484
6.498,204146,185,171476
6.503,204125,183,171478
6.508,204107,183,171461
6.513,204086,182,171457
6.518,204066,181,171446
6.523,204046,180,171429
6.528,204038,179,171425
6.533,204008,178,171414
6.538,204022,180,171415
6.543,204002,179,171410
6.548,203979,178,171411
6.553,203966,176,171392
6.558,203984,186,171382
6.563,203936,186,171451
6.568,203943,184,171376
6.573,203907,184,171384
6.578,203907,183,171359
6.583,203889,182,171363
6.588,203867,182,171357
6.593,203878,180,171361
6.598,203855,179,171353
6.603,203845,179,171339
6.608,203830,178,171333
6.613,203821,177,171333
6.618,203814,177,171334
6.623,203793,186,171327
6.628,203799,185,171308
6.633,203784,184,171308
6.638,203776,179,171308
6.643,203764,178,171298
6.648,203729,177,171283
6.653,203719,186,171295
6.658,203723,185,171272
6.663,203716,184,171272
6.668,203715,184,171275
6.673,203697,183,171281
6.678,203702,181,171263
6.683,203666,179,171257
6.688,203686,183,171244
6.693,203654,182,171251
6.698,203636,180,171238
6.703,203681,179,171227
6.708,203661,177,171237
6.713,203649,186,171242
6.718,203687,185,171235
6.723,203678,183,171240
6.728,203672,182,171232
6.733,203665,182,171255
6.738,203666,185,171238
6.743,203675,183,171234
6.748,203682,183,171231
6.753,203685,182,171256
6.758,203684,181,171229
6.763,203685,181,171230
6.768,203671,179,171228
6.773,203660,178,171229
6.778,203658,177,171210
6.783,203637,176,171225
6.788,203636,179,171218
6.793,203649,178,171215
6.798,203658,178,171209
6.803,203666,177,171223
6.808,203654,186,171208
6.813,203655,185,171202
6.818,203653,184,171212
6.823,203660,183,171209
6.828,203661,182,171205
6.833,203655,186,171211
6.838,203650,184,171200
6.843,203668,183,171216
6.848,203658,181,171218
6.853,203653,180,171205
6.858,203675,178,171213
6.863,203667,177,171210
