df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,quality
20.964,69
22.037,45
22.967,31
24.082,40
24.965,65
25.937,91
26.816,78
27.744,78
28.930,79
30.178,65
31.153,73
31.884,83
33.054,90
33.782,91
35.004,83
36.074,79
36.759,86
37.884,90
38.809,92
39.730,93
40.856,95
41.734,94
42.636,88
43.867,72
44.837,54
45.678,51
46.803,73
47.729,58
48.647,47
49.970,68
50.950,85
51.677,64
52.902,56
53.673,72
54.703,70
55.776,69
56.609,82
57.724,78
58.840,62
59.620,70
60.502,73
61.817,72
62.550,73
63.571,83
64.746,68
65.522,61
66.543,72
67.673,56
68.549,50
69.565,67
70.639,78
71.521,69
72.477,70
73.566,70
74.492,50
75.661,58
76.541,77
77.466,89
78.587,80
79.563,70
80.480,78
81.317,79
82.582,69
83.462,81
84.680,90
85.658,82
86.410,60
87.268,64
88.484,72
89.361,55
90.381,58
91.506,72
92.383,75
93.311,69
94.675,68
95.316,48
96.426,32
97.541,57
98.331,73
99.232,49
100.671,42
101.597,59
102.477,80
103.352,92
104.279,91
105.500,76
106.375,73
107.547,74
108.176,60
109.349,55
110.271,79
124.383,5
125.310,6
126.280,5
127.452,5
128.331,5
129.165,5
130.424,0
131.264,27
132.328,57
133.397,63
134.269,60
135.107,69
136.423,60
137.401,61
138.130,78
139.300,76
140.177,59
141.103,68
142.618,55
143.395,29
144.078,48
145.253,59
146.176,40
147.093,50
148.266,68
149.147,54
150.024,70
151.195,85
152.121,75
153.047,51
154.264,54
155.143,73
155.972,68
157.191,67
158.069,80
159.097,73
160.116,62
161.285,70
161.920,54
163.215,40
164.065,58
164.897,80
166.158,73
166.990,36
167.867,42
169.087,64
169.965,53
170.843,34
172.106,56
172.938,70
174.114,50
175.050,57
176.154,71
176.814,63
178.008,75
178.934,72
180.107,49
180.981,57
181.930,69
182.882,60
183.955,70
184.927,79
185.919,63
186.929,66
187.807,69
188.732,70
189.999,79
191.071,75
191.950,66
192.877,68
193.802,60
194.726,45
195.898,73
196.776,66
197.699,59
198.971,69
200.090,73
200.727,74
202.192,89
202.723,73
203.646,58
204.819,67
205.698,72
206.625,66
208.036,82
208.675,88
209.605,69
210.866,70
211.812,72
212.714,57
213.789,60
214.664,81
215.547,86
216.717,60
217.624,61
218.520,73
220.082,76
220.615,80
221.493,79
222.671,70
223.696,62
224.563,71
225.733,63
226.613,73
227.440,76
228.659,62
229.585,56
230.413,64
231.636,43
232.514,44
233.436,69
234.608,79
235.483,71
236.409,80
237.580,82
238.603,87
239.385,89
240.556,70
241.447,56
242.382,70
243.578,72
244.562,69
245.340,79
246.611,78
247.675,69
248.450,73
249.475,82
250.549,81
251.284,77
252.450,72
253.328,31
254.252,20
255.426,25
256.397,28
257.278,29
258.396,32
259.416,53
260.202,66
261.384,71
262.344,69
263.223,60
264.343,61
265.675,59
266.147,66
267.366,69
268.292,59
269.124,48
270.344,57
271.217,62
272.095,60
273.374,60
274.273,42
275.083,38
276.423,57
277.175,70
278.042,37
279.261,34
280.154,33
281.062,34
282.235,37
283.211,44
284.063,47
285.210,43
286.136,52
287.015,59
288.182,65
289.156,41
289.989,51
291.157,70
292.083,57
292.960,39
294.129,35
295.131,32
295.935,0
297.106,0
298.180,29
299.005,27
300.077,33
301.195,0
301.929,38
303.104,34
304.172,32
304.882,39
306.037,31
307.099,28
307.830,49
309.047,44
309.970,42
310.804,34
311.973,41
313.386,42
313.776,10
314.995,8
315.876,5
316.752,0
317.972,0
318.848,0
319.869,31
320.945,28
322.063,0
322.794,0
323.916,0
324.794,0
325.768,0
326.906,41
327.913,43
328.696,50
329.960,44
330.743,37
331.671,39
332.898,21
333.781,20
334.641,54
335.957,70
336.690,61
337.620,39
339.174,53
339.712,74
340.593,81
341.758,86
342.779,84
343.562,56
344.732,48
345.899,48
346.639,58
347.756,53
348.635,81
349.510,80
350.823,65
351.606,62
352.532,59
354.092,37
354.627,28
355.507,36
356.678,45
357.554,46
358.480,37
359.656,7
360.527,7
361.552,0
362.772,31
363.753,27
364.622,45
365.645,67
366.521,52
367.696,37
368.574,26
369.689,0
370.420,0
371.699,0
372.517,0
373.352,2
374.662,25
375.591,49
376.324,50
377.496,40
378.420,41
379.636,42
380.478,31
381.395,38
382.270,44
383.443,33
384.366,29
385.246,34
386.508,38
387.341,43
388.412,34
389.483,33
390.314,36
391.193,47
392.461,54
393.287,69
394.166,57
395.386,50
396.264,39
397.482,46
398.406,49
399.235,71
400.206,82
401.331,82
402.216,82
403.184,85
404.308,87
405.382,89
406.160,56
407.332,0
408.205,24
409.229,23
410.304,0
411.273,32
412.202,39
413.275,0
414.152,0
415.075,0
416.231,0
417.175,0
418.299,0
419.174,34
420.103,51
421.023,63
422.246,40
423.074,33
423.951,36
425.267,28
426.132,1
426.927,0
428.147,37
429.023,35
429.996,32
431.118,31
431.995,30
433.013,46
434.338,49
434.968,38
435.993,49
437.115,54
438.088,58
438.843,61
440.136,73
440.965,72
441.892,60
443.012,51
443.890,42
444.818,57
445.989,80
447.253,79
447.885,69
449.060,72
