df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,spo2
40.662,98
41.490,98
42.370,98
43.002,98
43.776,98
44.611,98
45.243,98
46.071,98
46.902,98
47.883,98
48.798,98
49.656,98
50.215,98
51.045,98
51.869,98
52.698,98
53.432,98
54.262,98
55.090,98
55.924,97
56.698,97
57.625,97
58.161,97
59.038,97
59.769,97
60.598,97
61.427,97
62.256,97
63.162,97
63.584,98
64.401,98
65.149,98
65.961,98
66.935,98
67.862,97
68.785,97
69.614,98
70.348,98
71.176,98
71.957,98
73.029,98
74.013,98
74.979,98
75.955,98
76.832,98
77.613,98
78.632,98
79.416,98
80.550,98
81.609,98
82.490,98
83.365,98
84.296,98
84.974,98
85.855,98
86.631,98
87.655,98
88.581,98
89.556,98
94.379,97
94.870,97
94.969,97
96.435,97
96.965,98
97.746,97
98.575,97
99.551,97
100.281,97
101.399,97
101.939,97
102.862,97
103.547,98
104.327,98
105.010,98
105.892,98
107.056,98
107.687,98
108.760,98
109.690,98
110.421,98
123.895,98
128.916,98
129.745,98
130.574,98
131.305,98
132.133,98
132.816,98
133.596,98
134.474,98
135.302,98
136.180,97
137.008,98
137.838,98
138.520,98
139.350,98
140.031,98
141.158,98
142.128,98
143.102,98
143.931,98
144.711,98
144.765,98
146.322,98
147.295,98
148.318,98
149.196,98
150.073,98
150.903,98
151.825,98
152.415,98
153.242,98
154.122,98
154.950,98
155.882,98
157.044,98
159.043,98
159.775,98
160.799,98
161.725,98
162.845,98
163.726,98
164.506,98
165.430,98
166.066,98
166.746,98
167.575,98
168.598,98
169.524,98
170.496,98
172.986,98
173.816,98
174.839,98
175.765,98
176.671,98
177.568,98
178.251,98
178.986,98
179.807,98
180.685,98
181.663,98
182.444,98
183.419,98
184.101,98
185.614,98
186.633,98
187.416,98
188.245,98
189.119,98
189.899,98
190.731,98
191.511,98
192.385,98
193.266,98
194.241,98
197.650,98
198.479,98
199.312,98
200.239,98
201.116,98
201.748,98
202.576,98
203.259,98
204.234,98
205.112,98
205.989,98
206.917,98
207.795,98
208.429,98
209.111,98
209.964,98
211.449,98
211.889,98
212.867,98
213.694,98
214.557,98
215.353,98
216.083,98
216.962,98
217.884,98
218.625,98
219.593,98
220.379,98
221.054,98
221.882,98
222.620,98
223.537,98
224.271,98
225.295,98
225.929,98
226.075,98
227.488,98
228.171,98
229.048,98
229.975,98
231.824,98
235.267,98
236.114,98
236.897,98
237.872,98
238.698,98
241.090,98
241.626,98
242.467,98
243.437,98
248.847,98
249.669,98
250.255,98
251.522,98
254.846,98
256.934,98
257.469,98
258.152,98
264.433,98
266.635,98
267.464,98
270.420,98
271.132,98
272.823,98
273.704,98
274.434,98
283.454,98
284.139,98
287.594,98
288.523,98
289.304,98
290.137,98
291.644,98
312.895,98
318.114,98
328.452,98
335.721,98
336.637,98
337.384,98
338.349,98
339.324,98
340.297,98
341.127,98
345.999,98
346.874,98
347.703,97
348.494,97
350.048,97
360.138,97
361.751,97
362.527,97
363.400,97
364.378,97
365.455,97
366.329,97
372.815,97
376.572,97
388.754,97
390.049,97
392.272,97
405.234,98
405.764,98
411.033,98
416.493,98
418.052,98
418.589,98
447.300,97
448.225,97
448.960,97
449.934,97
453.400,97
454.127,97
454.807,97
455.592,97
456.447,97
457.297,97
458.125,97
459.100,97
459.929,97
460.636,98
461.293,98
462.123,98
462.899,98
463.828,98
464.658,98
465.532,98
466.462,98
467.146,98
467.974,98
468.753,98
469.490,98
470.459,98
471.333,98
472.308,98
473.039,98
474.066,98
474.651,98
475.188,98
476.066,98
476.991,98
477.869,98
478.845,98
479.528,98
481.038,98
481.793,98
482.594,98
483.618,98
484.207,98
485.037,98
485.909,98
486.692,98
487.285,98
488.206,98
488.789,98
489.858,98
490.593,98
491.515,98
493.956,98
494.684,98
495.637,98
497.125,98
497.857,98
498.685,98
502.734,98
503.511,98
513.410,98
514.773,98
519.744,98
525.397,98
