df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.701,222912,175,227408
5.706,222915,173,227416
5.711,222896,174,227427
5.716,222917,173,227409
5.721,222906,175,227423
5.726,222896,173,227426
5.731,222923,173,227409
5.736,222906,173,227418
5.741,222911,174,227411
5.746,222950,177,227416
5.751,222927,180,227443
5.756,222933,179,227424
5.761,222934,181,227462
5.766,222931,173,227433
5.771,222954,170,227428
5.776,222942,173,227456
5.781,222936,174,227455
5.786,222960,173,227458
5.791,222965,174,227460
5.795,222976,175,227460
5.800,222981,177,227473
5.805,222968,176,227458
5.810,222975,176,227454
5.815,222983,176,227481
5.820,222993,178,227470
5.825,222986,177,227476
5.830,222975,177,227481
5.835,223009,176,227497
5.840,223012,179,227500
5.845,223012,173,227498
5.850,223009,181,227495
5.855,223025,172,227510
5.860,223019,173,227494
5.865,223024,172,227514
5.870,223036,173,227490
5.875,223045,173,227525
5.880,223058,174,227515
5.885,223035,174,227515
5.890,223065,174,227501
5.895,223052,176,227543
5.900,223058,179,227533
5.905,223067,179,227530
5.910,223060,179,227544
5.915,223096,177,227548
5.920,223088,179,227553
5.925,223093,178,227553
5.930,223084,179,227556
5.934,223080,177,227548
5.939,223100,179,227557
5.944,223099,175,227563
5.949,223106,176,227576
5.954,223109,174,227562
5.959,223121,175,227599
5.964,223144,174,227569
5.969,223128,174,227584
5.974,223153,173,227586
5.979,223142,174,227575
5.984,223172,173,227610
5.989,223173,176,227617
5.994,223173,178,227600
5.999,223172,179,227607
6.004,223157,179,227606
6.009,223178,180,227593
6.014,223173,179,227601
6.019,223176,180,227596
6.024,223147,179,227608
6.029,223159,179,227593
6.034,223139,178,227594
6.039,223146,175,227578
6.044,223130,178,227589
6.049,223110,177,227590
6.054,223113,176,227595
6.059,223104,178,227588
6.064,223080,179,227588
6.069,223085,179,227566
6.073,223060,178,227583
6.078,223033,180,227574
6.083,223045,181,227534
6.088,223014,175,227557
6.093,223002,175,227549
6.098,222999,177,227548
6.103,223007,178,227545
6.108,222970,178,227535
6.113,222982,179,227543
6.118,222978,181,227536
6.123,222963,173,227538
6.128,222954,173,227532
6.133,222971,173,227504
6.138,222945,176,227496
6.143,222931,176,227510
6.148,222922,176,227482
6.153,222922,176,227496
6.158,222897,175,227479
6.163,222933,176,227485
6.168,222906,176,227486
6.173,222892,175,227487
6.178,222900,175,227457
6.183,222876,179,227457
6.188,222870,173,227449
6.193,222877,174,227464
6.198,222889,174,227440
6.203,222839,176,227441
6.208,222859,175,227458
6.213,222841,175,227451
6.217,222831,175,227435
6.222,222844,176,227427
6.227,222822,175,227435
6.232,222817,178,227463
6.237,222816,174,227403
6.242,222813,175,227416
6.247,222815,174,227406
6.252,222818,174,227394
6.257,222786,174,227391
6.262,222795,175,227390
6.267,222805,173,227398
6.272,222799,173,227399
6.277,222781,173,227399
6.282,222764,177,227379
6.287,222779,177,227393
6.292,222788,177,227382
6.297,222795,176,227374
