df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
5.029,-0.480,0.863,0.029
5.039,-0.484,0.863,0.023
5.049,-0.480,0.859,0.023
5.059,-0.480,0.855,0.021
5.068,-0.477,0.848,0.023
5.078,-0.482,0.855,0.029
5.088,-0.479,0.859,0.027
5.098,-0.484,0.861,0.029
5.108,-0.486,0.865,0.023
5.118,-0.482,0.857,0.025
5.128,-0.475,0.850,0.029
5.138,-0.471,0.854,0.033
5.148,-0.477,0.857,0.031
5.158,-0.471,0.865,0.029
5.168,-0.477,0.877,0.025
5.178,-0.482,0.883,0.025
5.188,-0.492,0.879,0.025
5.197,-0.492,0.873,0.025
5.207,-0.482,0.863,0.031
5.217,-0.482,0.859,0.031
5.227,-0.484,0.852,0.031
5.237,-0.488,0.848,0.031
5.247,-0.482,0.848,0.033
5.257,-0.477,0.850,0.031
5.267,-0.475,0.854,0.031
5.277,-0.479,0.859,0.025
5.287,-0.480,0.854,0.029
5.297,-0.479,0.854,0.029
5.307,-0.473,0.861,0.031
5.317,-0.473,0.861,0.031
5.327,-0.482,0.867,0.031
5.336,-0.488,0.863,0.033
5.346,-0.486,0.863,0.031
5.356,-0.479,0.855,0.031
5.366,-0.475,0.850,0.035
5.376,-0.469,0.863,0.035
5.386,-0.477,0.865,0.027
5.396,-0.488,0.873,0.025
5.406,-0.484,0.869,0.025
5.416,-0.479,0.863,0.033
5.426,-0.473,0.863,0.035
5.436,-0.479,0.861,0.035
5.446,-0.482,0.867,0.033
5.456,-0.484,0.865,0.029
5.465,-0.480,0.863,0.031
5.475,-0.477,0.867,0.031
5.485,-0.477,0.857,0.029
5.495,-0.479,0.857,0.035
5.505,-0.477,0.859,0.033
5.515,-0.479,0.855,0.033
5.525,-0.479,0.857,0.031
5.535,-0.477,0.861,0.033
5.545,-0.480,0.857,0.029
5.555,-0.482,0.863,0.033
5.565,-0.482,0.867,0.035
5.575,-0.484,0.865,0.035
5.585,-0.479,0.867,0.029
5.595,-0.480,0.859,0.031
5.604,-0.479,0.855,0.033
5.614,-0.475,0.850,0.035
5.624,-0.471,0.852,0.035
5.634,-0.473,0.859,0.035
5.644,-0.482,0.867,0.031
5.654,-0.486,0.867,0.029
5.664,-0.490,0.861,0.031
5.674,-0.480,0.857,0.037
5.684,-0.473,0.857,0.035
5.694,-0.471,0.861,0.035
5.704,-0.477,0.865,0.033
5.714,-0.473,0.873,0.029
5.724,-0.471,0.877,0.027
5.734,-0.477,0.877,0.027
5.743,-0.488,0.875,0.029
5.753,-0.492,0.865,0.033
5.763,-0.477,0.855,0.037
5.773,-0.471,0.848,0.037
5.783,-0.473,0.852,0.033
5.793,-0.479,0.850,0.031
5.803,-0.480,0.859,0.031
5.813,-0.475,0.861,0.031
5.823,-0.473,0.859,0.031
5.833,-0.471,0.861,0.035
5.843,-0.477,0.855,0.033
5.853,-0.479,0.859,0.035
5.863,-0.473,0.867,0.033
5.872,-0.480,0.863,0.031
5.882,-0.484,0.854,0.031
5.892,-0.479,0.852,0.037
5.902,-0.473,0.854,0.037
5.912,-0.471,0.861,0.035
5.922,-0.475,0.873,0.033
5.932,-0.486,0.869,0.027
5.942,-0.486,0.869,0.027
5.952,-0.482,0.865,0.035
5.962,-0.475,0.861,0.039
5.972,-0.477,0.861,0.039
5.982,-0.482,0.861,0.035
5.992,-0.486,0.863,0.033
6.002,-0.484,0.859,0.023
6.011,-0.480,0.857,0.029
6.021,-0.477,0.857,0.029
6.031,-0.482,0.857,0.033
6.041,-0.480,0.859,0.037
6.051,-0.480,0.857,0.035
6.061,-0.482,0.859,0.033
6.071,-0.480,0.859,0.031
6.081,-0.480,0.861,0.031
6.091,-0.480,0.861,0.029
6.101,-0.480,0.857,0.031
6.111,-0.480,0.857,0.029
6.121,-0.480,0.859,0.029
6.131,-0.477,0.852,0.031
6.140,-0.477,0.855,0.035
6.150,-0.477,0.855,0.031
6.160,-0.479,0.857,0.031
6.170,-0.482,0.859,0.029
6.180,-0.484,0.863,0.031
6.190,-0.480,0.854,0.035
6.200,-0.480,0.857,0.037
6.210,-0.479,0.861,0.035
6.220,-0.480,0.867,0.033
6.230,-0.482,0.869,0.033
6.240,-0.477,0.869,0.035
6.250,-0.475,0.869,0.033
6.260,-0.486,0.871,0.033
6.270,-0.494,0.867,0.033
6.279,-0.494,0.859,0.035
6.289,-0.484,0.850,0.035
6.299,-0.479,0.852,0.035
6.309,-0.479,0.846,0.033
6.319,-0.482,0.850,0.033
6.329,-0.482,0.852,0.033
6.339,-0.477,0.854,0.033
6.349,-0.475,0.852,0.031
6.359,-0.480,0.857,0.037
6.369,-0.480,0.863,0.037
6.379,-0.479,0.863,0.035
6.389,-0.482,0.867,0.033
