df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.989,75,75,0
6.575,150,75,1
7.452,225,75,2
8.110,300,75,3
8.914,375,75,4
9.597,450,75,5
10.474,525,75,6
11.013,600,75,7
11.888,675,75,8
12.524,750,75,9
13.399,825,75,10
14.033,900,75,11
14.862,975,75,12
15.544,1050,75,13
16.373,1125,75,14
16.958,1200,75,15
17.884,1275,75,16
18.470,1350,75,17
19.347,1425,75,18
19.979,1500,75,19
20.858,1575,75,20
21.443,1650,75,21
22.390,1725,75,22
22.954,1800,75,23
23.880,1875,75,24
24.476,1950,75,25
25.343,2025,75,26
25.980,2100,75,27
26.806,2175,75,28
27.439,2250,75,29
28.297,2325,75,30
28.950,2400,75,31
29.828,2475,75,32
30.406,2550,75,33
31.392,2625,75,34
31.875,2700,75,35
32.753,2775,75,36
33.338,2850,75,37
34.286,2925,75,38
34.878,3000,75,39
35.727,3075,75,40
36.547,3150,75,41
37.238,3225,75,42
37.845,3300,75,43
38.724,3375,75,44
39.285,3450,75,45
40.215,3525,75,46
40.797,3600,75,47
41.774,3675,75,48
42.308,3750,75,49
43.185,3825,75,50
43.770,3900,75,51
44.718,3975,75,52
45.379,4050,75,53
46.159,4125,75,54
46.744,4200,75,55
47.622,4275,75,56
48.304,4350,75,57
49.155,4425,75,58
49.718,4500,75,59
50.644,4575,75,60
51.229,4650,75,61
52.108,4725,75,62
52.692,4800,75,63
53.634,4875,75,64
54.203,4950,75,65
55.080,5025,75,66
55.666,5100,75,67
56.593,5175,75,68
57.213,5250,75,69
58.054,5325,75,70
58.688,5400,75,71
59.566,5475,75,72
60.199,5550,75,73
61.052,5625,75,74
61.683,5700,75,75
62.588,5775,75,76
63.129,5850,75,77
64.099,5925,75,78
64.637,6000,75,79
65.659,6075,75,80
66.341,6150,75,81
67.024,6225,75,82
67.609,6300,75,83
68.535,6375,75,84
69.092,6450,75,85
69.999,6525,75,86
70.631,6600,75,87
71.468,6675,75,88
72.143,6750,75,89
72.971,6825,75,90
73.556,6900,75,91
74.483,6975,75,92
75.067,7050,75,93
75.985,7125,75,94
76.530,7200,75,95
77.456,7275,75,96
78.046,7350,75,97
78.938,7425,75,98
79.504,7500,75,99
80.461,7575,75,100
81.016,7650,75,101
81.988,7725,75,102
82.483,7800,75,103
83.404,7875,75,104
83.989,7950,75,105
84.892,8025,75,106
85.549,8100,75,107
86.378,8175,75,108
87.061,8250,75,109
87.848,8325,75,110
88.549,8400,75,111
89.400,8475,75,112
89.936,8550,75,113
90.911,8625,75,114
91.500,8700,75,115
92.374,8775,75,116
92.957,8850,75,117
93.856,8925,75,118
94.421,9000,75,119
95.299,9075,75,120
95.884,9150,75,121
96.859,9225,75,122
97.395,9300,75,123
98.370,9375,75,124
98.960,9450,75,125
99.832,9525,75,126
100.369,9600,75,127
101.276,9675,75,128
101.881,9750,75,129
102.767,9825,75,130
103.343,9900,75,131
104.273,9975,75,132
104.858,10050,75,133
105.830,10125,75,134
106.330,10200,75,135
107.411,10275,75,136
107.881,10350,75,137
108.802,10425,75,138
109.344,10500,75,139
110.236,10575,75,140
110.850,10650,75,141
111.681,10725,75,142
112.338,10800,75,143
113.209,10875,75,144
113.968,10950,75,145
114.840,11025,75,146
115.286,11100,75,147
116.409,11175,75,148
116.846,11250,75,149
117.680,11325,75,150
118.263,11400,75,151
119.142,11475,75,152
119.797,11550,75,153
120.649,11625,75,154
121.233,11700,75,155
122.160,11775,75,156
122.747,11850,75,157
123.702,11925,75,158
124.213,12000,75,159
125.134,12075,75,160
125.767,12150,75,161
126.672,12225,75,162
127.236,12300,75,163
128.133,12375,75,164
128.692,12450,75,165
129.570,12525,75,166
130.252,12600,75,167
131.081,12675,75,168
131.666,12750,75,169
132.569,12825,75,170
133.177,12900,75,171
134.055,12975,75,172
134.641,13050,75,173
135.517,13125,75,174
136.153,13200,75,175
137.069,13275,75,176
137.616,13350,75,177
138.540,13425,75,178
139.125,13500,75,179
140.002,13575,75,180
140.731,13650,75,181
141.709,13725,75,182
142.197,13800,75,183
143.236,13875,75,184
143.586,13950,75,185
144.487,14025,75,186
145.072,14100,75,187
145.950,14175,75,188
146.535,14250,75,189
147.461,14325,75,190
148.046,14400,75,191
148.925,14475,75,192
149.554,14550,75,193
150.474,14625,75,194
151.069,14700,75,195
151.897,14775,75,196
152.533,14850,75,197
153.416,14925,75,198
153.995,15000,75,199
154.871,15075,75,200
155.507,15150,75,201
156.389,15225,75,202
156.975,15300,75,203
157.927,15375,75,204
158.503,15450,75,205
159.426,15525,75,206
159.941,15600,75,207
160.821,15675,75,208
161.550,15750,75,209
162.330,15825,75,210
162.915,15900,75,211
163.841,15975,75,212
164.475,16050,75,213
165.330,16125,75,214
165.946,16200,75,215
166.815,16275,75,216
167.400,16350,75,217
168.277,16425,75,218
168.864,16500,75,219
169.790,16575,75,220
170.637,16650,75,221
171.258,16725,75,222
172.029,16800,75,223
173.006,16875,75,224
173.347,16950,75,225
174.225,17025,75,226
174.858,17100,75,227
175.736,17175,75,228
176.565,17250,75,229
177.199,17325,75,230
177.832,17400,75,231
178.711,17475,75,232
179.304,17550,75,233
180.221,17625,75,234
180.806,17700,75,235
181.742,17775,75,236
182.268,17850,75,237
183.195,17925,75,238
183.780,18000,75,239
184.852,18075,75,240
185.242,18150,75,241
186.168,18225,75,242
186.755,18300,75,243
187.631,18375,75,244
188.216,18450,75,245
189.142,18525,75,246
189.776,18600,75,247
190.669,18675,75,248
191.190,18750,75,249
192.116,18825,75,250
192.701,18900,75,251
193.579,18975,75,252
194.212,19050,75,253
195.104,19125,75,254
195.675,19200,75,255
196.552,19275,75,256
197.190,19350,75,257
198.085,19425,75,258
198.652,19500,75,259
199.575,19575,75,260
200.208,19650,75,261
201.089,19725,75,262
201.912,19800,75,263
202.548,19875,75,264
203.163,19950,75,265
204.011,20025,75,266
204.596,20100,75,267
205.525,20175,75,268
206.121,20250,75,269
206.988,20325,75,270
207.574,20400,75,271
208.496,20475,75,272
209.089,20550,75,273
209.962,20625,75,274
210.638,20700,75,275
211.494,20775,75,276
212.055,20850,75,277
212.932,20925,75,278
213.566,21000,75,279
214.451,21075,75,280
215.028,21150,75,281
215.955,21225,75,282
216.540,21300,75,283
217.467,21375,75,284
218.002,21450,75,285
218.929,21525,75,286
219.513,21600,75,287
220.429,21675,75,288
221.025,21750,75,289
221.904,21825,75,290
222.487,21900,75,291
223.368,21975,75,292
224.147,22050,75,293
224.877,22125,75,294
225.461,22200,75,295
226.439,22275,75,296
227.165,22350,75,297
227.898,22425,75,298
228.724,22500,75,299
229.361,22575,75,300
229.994,22650,75,301
230.823,22725,75,302
231.491,22800,75,303
232.335,22875,75,304
