df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,omega
81.502,0.502
81.897,0.495
82.482,0.502
82.922,0.495
83.699,0.493
85.162,0.502
86.552,0.502
87.750,0.502
91.453,0.493
92.081,0.493
93.544,0.493
94.725,0.488
95.217,0.490
97.255,0.490
97.985,0.490
98.424,0.499
98.958,0.499
99.446,0.506
100.571,0.506
102.763,0.510
103.686,0.514
104.272,0.521
104.857,0.527
105.457,0.527
105.735,0.539
106.327,0.551
106.863,0.551
107.306,0.554
107.879,0.554
108.416,0.554
109.003,0.556
109.486,0.561
110.172,0.561
111.049,0.561
111.588,0.561
112.337,0.561
112.703,0.554
113.830,0.548
119.141,0.548
121.539,0.548
121.670,0.548
123.671,0.550
125.683,0.550
126.065,0.558
126.668,0.558
127.235,0.550
127.818,0.557
128.420,0.557
128.942,0.557
130.981,0.561
131.475,0.557
132.009,0.550
133.712,0.550
136.985,0.557
138.005,0.557
139.857,0.557
140.989,0.557
141.469,0.557
142.878,0.557
143.031,0.558
144.151,0.555
146.198,0.552
146.837,0.552
148.443,0.552
150.143,0.552
153.415,0.552
157.174,0.541
165.258,0.541
165.943,0.552
168.525,0.552
169.658,0.558
170.377,0.558
171.888,0.552
172.376,0.541
172.764,0.530
173.307,0.530
176.078,0.530
176.670,0.530
177.738,0.523
178.577,0.512
184.804,0.512
185.782,0.502
186.906,0.498
190.279,0.491
190.901,0.481
191.385,0.446
191.971,0.416
192.465,0.416
193.059,0.416
193.535,0.416
194.536,0.412
195.102,0.412
195.919,0.412
197.776,0.412
199.482,0.412
200.511,0.411
200.989,0.416
201.627,0.416
209.252,0.416
223.951,0.441
224.443,0.441
225.032,0.453
226.388,0.470
232.878,0.470
237.701,0.470
238.051,0.470
238.625,0.475
239.748,0.475
240.488,0.469
244.525,0.469
245.022,0.475
246.185,0.469
247.307,0.456
291.131,0.456
329.203,0.469
329.787,0.475
347.586,0.484
349.170,0.489
