df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,perfusion_ir
81.260,0.180
81.892,0.180
82.477,0.180
82.916,0.180
83.693,0.180
85.159,0.180
86.544,0.180
87.742,0.180
91.447,0.180
91.984,0.180
93.541,0.180
94.719,0.180
95.204,0.180
97.252,0.180
97.981,0.180
98.420,0.180
98.955,0.180
99.442,0.180
100.564,0.180
102.758,0.180
103.682,0.190
104.268,0.190
104.854,0.190
105.450,0.190
105.731,0.190
106.321,0.190
106.858,0.190
107.298,0.190
107.876,0.190
108.412,0.190
108.996,0.190
109.482,0.190
110.167,0.190
111.045,0.190
111.584,0.190
112.330,0.190
112.699,0.190
113.827,0.190
119.137,0.190
121.528,0.190
121.595,0.190
123.436,0.190
125.676,0.190
126.060,0.190
126.658,0.190
127.232,0.190
127.815,0.190
128.400,0.190
128.936,0.180
130.887,0.180
131.471,0.180
132.005,0.180
133.666,0.180
136.981,0.180
138.001,0.180
139.854,0.180
140.982,0.170
141.465,0.170
142.459,0.170
143.026,0.170
144.146,0.170
146.194,0.170
146.827,0.170
148.439,0.170
150.139,0.180
153.408,0.180
157.167,0.170
165.252,0.170
165.937,0.170
168.521,0.170
169.643,0.160
170.370,0.160
171.884,0.160
172.372,0.160
172.759,0.160
173.302,0.150
176.074,0.150
176.665,0.150
177.735,0.150
178.561,0.150
184.801,0.150
185.778,0.150
186.900,0.150
190.265,0.140
190.897,0.140
191.382,0.140
191.967,0.140
192.460,0.140
193.054,0.130
193.530,0.130
194.517,0.130
195.091,0.130
195.916,0.130
197.773,0.130
199.477,0.130
200.507,0.130
200.964,0.130
201.622,0.130
209.227,0.120
223.947,0.120
224.437,0.120
225.027,0.120
226.384,0.120
232.873,0.120
237.697,0.110
238.040,0.110
238.620,0.110
239.744,0.110
240.474,0.110
244.519,0.110
245.011,0.110
246.179,0.110
247.301,0.110
291.127,0.110
329.199,0.110
329.784,0.110
347.581,0.110
349.166,0.110
