df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,rr_int
10.617,4000
10.911,1500
11.154,250
11.593,295
12.275,505
12.421,575
12.424,205
12.714,25
12.970,310
13.250,240
13.835,315
14.372,550
15.078,575
15.249,580
15.590,245
16.029,320
16.614,545
17.156,535
17.687,520
18.320,525
18.759,525
19.247,550
19.783,550
20.465,570
21.050,575
21.586,585
22.220,555
23.000,545
23.005,840
23.049,10
23.098,160
24.370,1100
24.465,230
24.468,10
24.472,10
24.902,280
25.201,205
25.974,360
26.486,585
26.608,635
27.001,170
27.635,360
28.119,570
28.411,540
28.415,255
28.655,10
29.145,260
29.683,525
30.221,540
30.361,540
30.508,235
30.511,10
31.485,315
32.019,565
32.026,630
32.165,10
32.168,150
32.314,10
33.287,905
33.293,265
33.531,10
33.735,250
33.826,180
33.969,40
34.129,10
34.652,300
35.238,540
35.675,560
36.364,515
36.750,850
37.430,305
37.722,640
37.728,240
38.017,10
38.259,305
38.555,285
39.092,275
39.673,565
40.360,515
40.794,550
40.892,520
41.189,245
41.819,270
42.649,540
42.841,535
43.134,530
43.137,300
43.427,240
44.272,570
44.401,505
45.522,575
46.059,535
46.595,525
47.180,570
47.863,595
48.400,600
49.130,635
49.666,655
50.209,565
50.788,590
51.330,555
51.646,535
51.762,255
52.299,265
52.883,540
53.429,535
53.960,555
54.542,570
55.224,580
55.521,595
55.760,270
56.394,300
56.899,565
57.030,545
57.320,255
57.857,280
58.149,540
58.441,240
59.128,280
59.514,545
60.098,550
60.343,550
60.635,260
60.927,285
61.220,280
61.756,275
62.293,580
63.317,550
63.560,1080
63.853,225
64.393,260
64.973,585
65.271,580
65.510,260
65.538,10
66.099,285
66.631,585
66.972,585
67.167,240
67.753,305
68.288,540
68.976,530
69.410,535
69.702,530
69.947,275
70.385,270
70.921,555
71.214,560
71.604,265
72.189,300
72.627,560
72.877,550
73.164,260
73.700,265
74.285,540
74.821,525
75.260,530
75.796,545
76.430,540
76.918,550
77.486,570
78.038,555
78.575,540
79.113,525
79.550,530
80.135,520
80.671,525
81.208,545
81.792,540
82.328,555
82.865,560
83.450,550
84.012,535
84.450,545
84.961,525
85.107,530
85.256,220
86.083,290
86.522,545
87.098,540
87.643,550
88.179,555
88.715,550
89.348,560
89.544,520
89.837,245
90.275,280
90.811,525
91.396,525
91.932,535
92.479,540
93.103,555
93.297,545
93.595,250
94.028,290
94.570,540
95.150,530
95.738,510
96.125,525
96.683,535
97.201,535
97.787,540
98.409,540
98.903,540
99.293,535
99.881,530
100.415,515
100.955,520
101.390,530
101.926,535
102.511,540
103.074,555
103.632,545
104.168,535
104.705,530
105.146,525
105.690,515
106.269,520
106.804,530
107.245,535
107.825,540
108.361,545
108.946,540
109.434,535
110.018,530
110.409,525
110.997,525
111.534,515
112.118,545
112.651,550
113.531,555
113.784,575
114.016,575
114.312,270
114.601,280
114.893,255
115.430,285
115.972,540
116.183,760
116.941,255
117.526,560
117.672,520
117.916,255
118.501,280
119.037,550
119.625,550
119.869,565
120.159,240
120.695,290
121.279,540
121.582,530
121.692,270
122.255,255
122.791,530
123.424,545
123.912,540
124.205,565
124.448,260
125.034,285
125.623,545
126.008,535
126.553,530
127.084,530
127.715,530
128.202,545
128.787,535
129.324,570
129.866,545
130.298,540
130.835,535
131.419,530
131.956,525
132.541,545
133.081,550
133.621,550
133.760,570
133.906,250
134.199,15
134.637,280
135.173,545
135.466,535
135.710,265
136.294,255
136.841,535
137.424,550
137.952,550
138.489,580
139.074,570
139.609,560
140.146,540
140.757,535
141.267,555
141.852,560
142.437,570
142.976,570
143.515,560
144.049,550
144.534,550
145.021,540
145.655,540
146.142,550
146.727,555
146.974,575
147.264,230
147.800,330
148.389,515
148.921,540
150.042,570
150.194,1085
150.578,255
151.164,300
151.704,575
151.879,570
152.285,240
152.821,325
153.357,550
153.796,535
154.917,525
155.161,1100
155.454,240
156.038,300
156.575,555
157.125,550
157.404,555
157.696,285
158.239,265
158.769,560
158.914,535
159.207,250
159.747,280
160.036,535
160.041,285
160.329,255
161.449,560
161.694,565
161.996,245
162.278,300
162.282,255
162.523,10
163.113,290
163.692,540
164.233,545
164.765,545
165.204,550
165.739,550
166.276,550
166.861,535
167.428,540
167.982,520
168.372,525
169.006,530
169.542,545
170.029,550
170.322,550
170.381,245
170.657,10
171.151,295
171.736,555
172.321,540
172.711,535
173.253,525
173.784,550
174.368,560
174.905,565
175.490,575
176.026,555
176.591,545
177.147,540
177.683,545
178.281,555
178.512,560
178.578,230
178.804,10
179.341,300
179.635,575
179.933,250
180.462,280
181.047,545
181.439,540
182.182,535
182.562,545
183.095,540
183.680,540
184.216,535
184.703,530
185.192,520
185.727,530
186.312,545
186.848,565
187.434,575
187.973,565
188.555,565
189.091,555
189.627,550
190.219,555
190.748,555
191.333,560
191.869,570
192.411,545
192.994,540
193.381,535
193.965,530
194.504,535
195.038,535
195.623,535
195.867,550
195.921,245
196.160,10
196.632,275
197.134,530
197.722,520
198.256,520
198.803,540
199.425,545
199.925,550
200.499,565
200.907,560
