df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,acc_mag
4.794,0.970
4.824,0.965
4.854,0.958
4.884,0.958
4.914,0.954
4.944,0.949
4.974,0.948
5.004,0.956
5.034,0.954
5.064,0.962
5.094,0.967
5.124,0.958
5.154,0.957
5.184,0.956
5.214,0.962
5.244,0.952
5.274,0.963
5.304,0.958
5.334,0.953
5.364,0.961
5.394,0.959
5.424,0.960
5.454,0.958
5.484,0.964
5.514,0.979
5.544,0.962
5.574,0.959
5.604,0.960
5.634,0.953
5.664,0.958
5.694,0.963
5.724,0.959
5.754,0.953
5.784,0.956
5.814,0.962
5.844,0.962
5.874,0.955
5.904,0.955
5.934,0.954
5.964,0.957
5.994,0.961
6.024,0.958
6.054,0.962
6.084,0.952
6.114,0.966
6.144,0.963
6.174,0.957
6.204,0.957
6.234,0.958
6.264,0.961
6.294,0.958
6.324,0.960
6.354,0.958
6.384,0.955
6.414,0.964
6.444,0.960
6.474,0.963
6.504,0.960
6.534,0.961
6.564,0.963
6.594,0.960
6.624,0.960
6.654,0.962
6.684,0.960
6.714,0.961
6.744,0.960
6.774,0.958
6.804,0.960
6.834,0.958
6.864,0.961
6.894,0.960
6.924,0.953
6.954,0.966
6.984,0.963
7.014,0.961
7.044,0.962
7.074,0.958
7.104,0.961
7.134,0.958
7.164,0.963
7.194,0.964
7.224,0.955
7.254,0.956
7.284,0.963
7.314,0.962
7.344,0.960
7.374,0.963
7.404,0.958
7.434,0.965
7.464,0.963
7.494,0.960
7.524,0.956
7.554,0.956
7.584,0.960
7.614,0.965
7.644,0.960
7.674,0.962
7.704,0.958
7.734,0.955
7.764,0.957
7.794,0.957
7.824,0.974
7.854,0.962
7.884,0.960
7.914,0.959
7.944,0.964
7.974,0.963
8.004,0.960
8.034,0.955
8.064,0.960
8.094,0.960
8.124,0.966
8.154,0.966
8.184,0.960
8.214,0.959
8.244,0.961
8.274,0.960
8.304,0.953
8.334,0.958
8.364,0.966
8.394,0.967
8.424,0.963
8.454,0.962
8.484,0.965
8.514,0.959
8.544,0.961
8.574,0.952
8.604,0.972
8.634,0.967
8.664,0.960
8.694,0.957
8.724,0.959
8.754,0.961
8.784,0.964
8.814,0.962
8.844,0.966
8.874,0.960
8.904,0.967
8.934,0.961
8.964,0.960
8.994,0.962
9.024,0.965
9.054,0.960
9.084,0.964
9.114,0.961
9.144,0.965
9.174,0.962
9.204,0.958
9.234,0.960
9.264,0.963
9.294,0.964
9.324,0.963
9.354,0.965
9.384,0.961
9.414,0.961
9.444,0.961
9.474,0.958
9.504,0.968
9.534,0.961
9.564,0.960
9.594,0.961
9.624,0.962
9.654,0.961
9.684,0.963
9.714,0.958
9.744,0.960
9.774,0.956
9.804,0.966
9.834,0.963
9.864,0.965
9.894,0.959
9.924,0.966
9.954,0.958
9.984,0.958
10.014,0.957
10.044,0.965
10.074,0.971
10.104,0.963
10.134,0.960
10.164,0.958
10.194,0.960
10.224,0.962
10.254,0.963
10.284,0.963
10.314,0.964
10.344,0.963
10.374,0.964
10.404,0.964
10.434,0.974
10.464,0.960
10.494,0.958
10.524,0.959
10.554,0.962
10.584,0.961
10.614,0.960
10.644,0.960
10.674,0.967
10.704,0.960
10.734,0.968
10.764,0.967
10.794,0.962
10.824,0.961
10.854,0.964
10.884,0.966
10.914,0.959
10.944,0.957
10.974,0.957
11.004,0.963
11.034,0.965
11.064,0.965
11.094,0.962
11.124,0.965
11.154,0.964
11.184,0.962
11.214,0.958
11.244,0.961
11.274,0.965
11.304,0.961
11.334,0.956
11.364,0.973
11.394,0.964
11.424,0.955
11.454,0.961
11.484,0.963
11.514,0.961
11.544,0.966
11.574,0.962
11.604,0.961
11.634,0.960
11.664,0.966
11.694,0.964
11.724,0.961
11.754,0.963
11.784,0.964
11.814,0.962
11.844,0.964
11.874,0.959
11.904,0.959
11.934,0.962
11.964,0.960
11.994,0.964
12.024,0.966
12.054,0.963
12.084,0.960
12.114,0.960
12.144,0.961
12.174,0.958
12.204,0.963
12.234,0.973
12.264,0.965
12.294,0.965
12.324,0.962
12.354,0.958
12.384,0.959
12.414,0.965
12.444,0.964
12.474,0.958
12.504,0.963
12.534,0.965
12.564,0.963
12.594,0.960
12.624,0.963
12.654,0.963
12.684,0.961
12.714,0.960
12.744,0.960
12.774,0.967
12.804,0.961
12.834,0.962
12.864,0.965
12.894,0.966
12.924,0.966
12.954,0.963
12.984,0.957
13.014,0.963
13.044,0.954
13.074,0.965
13.104,0.969
13.134,0.961
13.164,0.964
13.194,0.964
13.224,0.962
13.254,0.964
13.284,0.960
13.314,0.960
13.344,0.960
13.374,0.957
13.404,0.963
13.434,0.968
13.464,0.966
13.494,0.966
13.524,0.963
13.554,0.961
13.584,0.958
13.614,0.962
13.644,0.965
13.674,0.965
13.704,0.961
13.734,0.963
13.764,0.964
13.794,0.964
13.824,0.964
13.854,0.963
13.884,0.960
13.914,0.968
13.944,0.959
13.974,0.966
14.004,0.964
14.034,0.962
14.064,0.962
14.094,0.961
14.124,0.963
14.154,0.961
