df_hash,22ZHK4.EG2MBW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SYEB
person_label,V123
date_time_start,2026-04-06_14-06-02.091000_+03
date_time_start_unix,1775466362.091
date_time_end,2026-04-06_14-14-17.869000_+03
length_difference_noticed,no

time,quality
15.506,58
16.432,77
17.558,73
18.577,77
19.649,84
20.576,81
21.454,78
22.630,74
23.744,80
24.671,82
25.496,85
26.524,82
27.450,79
28.425,79
29.545,84
30.715,85
31.413,84
32.841,80
33.602,79
34.278,81
35.446,80
36.324,83
37.250,83
38.419,85
39.399,81
40.272,83
41.395,82
42.369,83
43.297,79
44.560,81
45.392,83
46.215,83
47.534,84
48.320,77
49.206,77
50.315,66
51.428,67
52.211,67
53.335,63
54.262,61
55.091,70
56.309,82
57.187,78
58.161,81
59.332,76
60.255,80
61.086,85
62.257,82
63.133,84
64.039,78
65.230,78
66.253,80
67.034,82
68.205,85
69.081,83
70.254,78
71.177,80
72.152,82
73.172,84
74.196,79
75.028,79
75.955,83
77.221,80
78.050,85
78.931,76
80.292,79
81.317,80
81.902,72
83.165,77
83.951,76
84.877,76
86.093,82
87.214,79
87.897,81
89.093,81
89.948,80
90.852,78
92.285,76
93.064,78
93.799,78
95.258,79
96.183,79
96.825,78
97.940,72
99.155,77
99.743,84
100.962,81
101.841,76
102.720,74
103.935,74
104.816,79
105.746,73
106.909,75
107.811,77
108.758,75
109.979,81
110.808,83
111.689,78
112.953,79
113.733,76
114.612,78
115.856,77
116.718,73
117.634,72
119.147,81
119.875,83
120.899,85
121.823,82
122.654,84
123.582,79
124.754,81
125.676,80
126.554,80
127.773,84
128.897,82
129.528,85
130.706,81
131.672,83
132.647,83
133.675,81
134.838,77
135.477,81
136.791,83
137.765,81
138.448,81
139.622,83
140.548,83
141.422,82
142.592,81
143.525,84
144.396,83
145.956,82
146.635,76
147.398,69
148.588,72
149.469,76
150.345,79
151.805,83
152.487,81
153.317,86
154.536,81
155.438,83
156.580,79
157.511,72
158.628,72
159.459,77
160.483,78
161.360,71
162.432,59
163.456,59
164.582,78
165.406,77
166.431,74
167.502,77
168.330,85
169.404,83
170.280,82
171.211,73
172.402,63
173.498,70
174.234,79
175.736,71
176.280,59
177.253,69
178.331,76
179.250,79
180.128,80
181.298,76
182.224,80
183.103,78
184.470,70
185.244,66
186.218,74
187.346,84
188.266,82
189.049,77
190.219,78
191.288,71
192.022,61
193.267,72
194.121,80
195.003,81
196.260,75
197.092,78
197.979,83
199.234,83
200.257,85
200.992,80
202.113,79
203.039,81
204.031,84
205.230,86
206.112,81
206.891,81
208.060,80
209.035,69
209.864,67
211.128,66
212.055,73
212.840,61
214.107,61
214.935,55
215.812,47
217.030,46
217.916,57
218.831,40
220.003,36
220.884,29
221.761,35
223.029,0
223.949,41
224.733,41
225.956,52
226.828,56
227.706,71
228.926,81
229.821,82
230.731,84
231.900,83
232.924,79
233.702,77
234.872,85
235.844,89
236.676,83
237.894,85
238.872,80
239.844,77
240.820,72
241.699,66
242.624,27
243.793,28
244.671,0
245.597,35
246.815,37
247.884,35
248.620,50
249.741,56
250.861,54
251.836,51
252.813,58
253.591,64
254.519,61
255.688,57
256.662,59
257.540,58
258.661,58
259.588,49
260.465,44
261.780,52
262.804,65
263.438,63
264.708,61
265.486,61
266.604,62
267.871,81
268.507,84
269.388,74
270.558,72
271.433,77
272.456,75
273.870,80
274.552,77
275.382,54
276.788,41
277.440,24
278.338,0
279.522,0
280.500,0
281.283,2
282.478,33
283.376,42
284.549,58
285.666,63
286.350,67
287.228,73
288.400,76
289.326,81
290.204,82
291.614,87
292.307,82
293.224,82
294.344,77
295.547,82
296.149,81
297.318,67
298.290,73
299.217,67
300.295,70
301.221,62
302.098,72
303.707,79
304.240,76
305.072,77
306.370,74
307.165,68
308.043,51
309.259,50
310.233,59
311.065,61
312.238,50
313.116,60
314.231,70
315.355,76
316.086,82
316.964,76
318.229,60
319.060,47
319.938,29
321.156,32
322.238,37
323.103,37
324.130,60
325.253,70
325.885,76
327.106,79
327.981,76
328.859,70
330.078,78
330.957,72
331.880,67
333.051,72
333.928,75
334.806,46
336.025,34
336.926,0
337.779,0
339.096,2
339.879,0
340.899,0
341.975,41
342.857,48
343.727,60
344.968,59
345.823,59
346.702,58
347.921,57
348.799,43
349.769,46
351.185,39
351.770,30
352.648,0
353.867,29
354.744,38
355.914,40
356.840,54
357.718,65
358.644,74
359.864,71
360.788,67
361.861,70
362.788,66
363.709,67
364.592,67
365.907,50
366.639,44
367.565,43
368.735,38
369.612,49
370.636,74
371.757,81
372.837,81
373.512,45
374.758,50
375.560,55
376.486,57
377.656,56
378.582,54
379.505,55
380.629,65
381.609,71
382.457,75
383.606,77
384.678,78
385.407,77
386.626,80
387.548,80
388.672,80
389.552,81
390.766,83
391.595,82
392.573,77
393.454,78
394.330,76
395.550,69
396.470,58
397.450,57
398.813,62
399.638,57
400.277,56
401.494,61
402.373,63
403.543,69
404.471,65
405.345,86
406.464,76
407.685,74
408.416,64
409.245,68
410.419,63
411.292,59
412.413,61
413.389,67
414.266,72
415.144,69
416.459,64
417.288,44
418.117,35
419.531,33
420.457,32
421.091,29
422.312,32
423.196,58
424.114,58
425.332,64
426.215,57
427.089,52
428.696,25
429.180,21
