df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.377,75,75,0
6.011,150,75,1
6.889,225,75,2
7.474,300,75,3
8.400,375,75,4
8.985,450,75,5
9.862,525,75,6
10.448,600,75,7
11.373,675,75,8
11.960,750,75,9
12.836,825,75,10
13.422,900,75,11
14.347,975,75,12
14.934,1050,75,13
15.810,1125,75,14
16.395,1200,75,15
17.321,1275,75,16
17.955,1350,75,17
18.784,1425,75,18
19.369,1500,75,19
20.295,1575,75,20
20.880,1650,75,21
21.758,1725,75,22
22.343,1800,75,23
23.288,1875,75,24
23.854,1950,75,25
24.731,2025,75,26
25.365,2100,75,27
26.292,2175,75,28
26.828,2250,75,29
27.705,2325,75,30
28.339,2400,75,31
29.217,2475,75,32
30.043,2550,75,33
30.679,2625,75,34
31.313,2700,75,35
32.199,2775,75,36
32.784,2850,75,37
33.703,2925,75,38
34.287,3000,75,39
35.164,3075,75,40
35.784,3150,75,41
36.676,3225,75,42
37.260,3300,75,43
38.138,3375,75,44
38.723,3450,75,45
39.649,3525,75,46
40.235,3599,74,47
41.117,3674,75,48
41.697,3749,75,49
42.867,3824,75,50
43.208,3899,75,51
44.086,3974,75,52
44.727,4049,75,53
45.597,4124,75,54
46.241,4199,75,55
47.303,4274,75,56
47.693,4349,75,57
48.572,4424,75,58
49.156,4499,75,59
50.033,4574,75,60
50.668,4649,75,61
51.548,4724,75,62
52.129,4799,75,63
53.056,4874,75,64
53.662,4949,75,65
54.528,5024,75,66
55.145,5099,75,67
56.030,5174,75,68
56.614,5249,75,69
57.499,5324,75,70
58.079,5399,75,71
59.003,5474,75,72
59.588,5549,75,73
60.466,5624,75,74
61.052,5699,75,75
61.977,5774,75,76
62.562,5849,75,77
63.440,5924,75,78
64.025,5999,75,79
64.975,6074,75,80
65.536,6149,75,81
66.436,6224,75,82
67.047,6299,75,83
67.926,6374,75,84
68.510,6449,75,85
69.411,6522,73,86
70.022,6597,75,87
70.900,6672,75,88
71.915,6747,75,89
72.444,6822,75,90
72.995,6897,75,91
73.913,6972,75,92
74.458,7047,75,93
75.405,7122,75,94
75.969,7197,75,95
76.846,7272,75,96
77.433,7347,75,97
78.309,7422,75,98
78.943,7497,75,99
79.820,7572,75,100
80.405,7647,75,101
81.283,7722,75,102
81.916,7797,75,103
82.794,7872,75,104
83.419,7947,75,105
84.256,8022,75,106
84.891,8097,75,107
85.795,8172,75,108
86.353,8247,75,109
87.279,8322,75,110
87.867,8397,75,111
88.742,8472,75,112
89.326,8547,75,113
90.350,8622,75,114
90.838,8697,75,115
91.764,8772,75,116
92.302,8847,75,117
93.227,8922,75,118
93.908,8997,75,119
94.689,9072,75,120
95.274,9147,75,121
96.221,9222,75,122
96.787,9297,75,123
97.663,9372,75,124
98.312,9447,75,125
99.174,9522,75,126
99.760,9597,75,127
100.637,9672,75,128
101.223,9747,75,129
102.197,9822,75,130
102.777,9897,75,131
103.661,9972,75,132
104.244,10047,75,133
105.123,10122,75,134
105.707,10197,75,135
106.633,10272,75,136
107.218,10347,75,137
108.097,10422,75,138
108.680,10497,75,139
109.558,10572,75,140
110.192,10647,75,141
111.069,10722,75,142
111.654,10797,75,143
112.581,10872,75,144
113.166,10947,75,145
114.043,11019,72,146
114.628,11094,75,147
115.555,11169,75,148
116.139,11244,75,149
117.018,11319,75,150
117.633,11394,75,151
118.528,11469,75,152
119.185,11544,75,153
120.040,11619,75,154
120.576,11694,75,155
121.502,11769,75,156
122.089,11844,75,157
122.964,11919,75,158
123.550,11994,75,159
124.476,12069,75,160
125.065,12144,75,161
125.947,12219,75,162
126.572,12294,75,163
127.475,12369,75,164
128.035,12444,75,165
128.912,12519,75,166
129.547,12594,75,167
130.424,12669,75,168
131.008,12744,75,169
131.911,12819,75,170
132.520,12893,74,171
133.401,12968,75,172
133.991,13043,75,173
134.909,13118,75,174
135.500,13193,75,175
136.371,13268,75,176
136.957,13343,75,177
138.124,13418,75,178
138.467,13493,75,179
139.345,13568,75,180
139.979,13643,75,181
140.857,13718,75,182
141.441,13793,75,183
142.343,13868,75,184
142.958,13943,75,185
143.830,14018,75,186
144.415,14093,75,187
145.293,14168,75,188
145.926,14243,75,189
146.810,14318,75,190
147.392,14393,75,191
148.315,14468,75,192
148.900,14543,75,193
149.778,14618,75,194
150.363,14693,75,195
151.240,14768,75,196
151.874,14843,75,197
152.997,14918,75,198
153.336,14993,75,199
154.263,15068,75,200
154.848,15143,75,201
155.725,15218,75,202
156.313,15293,75,203
157.239,15368,75,204
157.821,15443,75,205
158.720,15518,75,206
159.284,15593,75,207
160.210,15668,75,208
160.799,15743,75,209
161.673,15818,75,210
162.261,15893,75,211
163.184,15968,75,212
163.772,16043,75,213
164.647,16118,75,214
165.269,16193,75,215
166.158,16268,75,216
166.743,16343,75,217
167.620,16418,75,218
168.206,16493,75,219
169.132,16568,75,220
169.717,16643,75,221
170.617,16718,75,222
171.231,16793,75,223
172.105,16868,75,224
172.739,16943,75,225
173.569,17018,75,226
174.202,17093,75,227
175.083,17168,75,228
175.664,17243,75,229
176.542,17318,75,230
177.180,17393,75,231
178.053,17468,75,232
178.638,17543,75,233
179.564,17618,75,234
180.149,17693,75,235
181.124,17768,75,236
181.670,17843,75,237
182.489,17918,75,238
183.125,17993,75,239
184.027,18068,75,240
184.586,18143,75,241
185.463,18218,75,242
186.099,18293,75,243
186.974,18368,75,244
187.563,18443,75,245
188.486,18518,75,246
189.071,18593,75,247
189.948,18668,75,248
190.554,18743,75,249
191.460,18818,75,250
192.237,18893,75,251
192.922,18968,75,252
193.530,19043,75,253
194.433,19118,75,254
195.018,19193,75,255
195.896,19268,75,256
196.481,19343,75,257
197.407,19418,75,258
198.004,19493,75,259
198.870,19568,75,260
199.455,19643,75,261
200.622,19718,75,262
200.966,19793,75,263
201.844,19868,75,264
202.429,19943,75,265
203.414,20018,75,266
203.966,20093,75,267
204.844,20168,75,268
205.402,20243,75,269
206.328,20318,75,270
206.915,20393,75,271
207.791,20468,75,272
208.376,20543,75,273
209.351,20618,75,274
209.887,20693,75,275
210.768,20768,75,276
211.399,20843,75,277
212.279,20918,75,278
212.920,20993,75,279
213.741,21068,75,280
214.427,21143,75,281
215.288,21218,75,282
215.836,21293,75,283
216.712,21368,75,284
217.346,21443,75,285
218.224,21518,75,286
218.809,21593,75,287
219.735,21668,75,288
220.320,21743,75,289
221.198,21818,75,290
221.804,21893,75,291
222.709,21968,75,292
223.295,22043,75,293
224.171,22118,75,294
224.756,22193,75,295
225.777,22268,75,296
226.268,22343,75,297
227.145,22418,75,298
227.765,22493,75,299
228.656,22568,75,300
229.241,22643,75,301
230.143,22718,75,302
230.704,22793,75,303
231.664,22868,75,304
232.313,22943,75,305
233.093,23018,75,306
233.726,23093,75,307
234.604,23168,75,308
235.189,23243,75,309
236.095,23318,75,310
236.651,23393,75,311
237.578,23468,75,312
238.212,23543,75,313
239.067,23618,75,314
239.625,23693,75,315
240.552,23768,75,316
241.136,23843,75,317
242.014,23918,75,318
242.648,23993,75,319
243.525,24068,75,320
244.403,24143,75,321
244.988,24218,75,322
245.622,24293,75,323
246.523,24368,75,324
247.088,24443,75,325
247.962,24518,75,326
248.596,24593,75,327
249.473,24668,75,328
250.060,24743,75,329
250.987,24818,75,330
251.569,24893,75,331
252.740,24968,75,332
253.031,25043,75,333
253.958,25118,75,334
254.544,25193,75,335
255.421,25268,75,336
256.008,25343,75,337
256.932,25418,75,338
257.517,25493,75,339
258.397,25568,75,340
258.989,25643,75,341
259.906,25718,75,342
260.490,25793,75,343
261.368,25868,75,344
261.957,25943,75,345
262.880,26018,75,346
263.464,26093,75,347
264.360,26168,75,348
265.000,26243,75,349
265.853,26318,75,350
266.439,26393,75,351
267.318,26468,75,352
267.940,26543,75,353
268.831,26618,75,354
269.440,26693,75,355
270.338,26768,75,356
270.923,26843,75,357
271.801,26918,75,358
272.386,26993,75,359
273.361,27068,75,360
274.219,27143,75,361
274.778,27218,75,362
275.360,27293,75,363
276.237,27368,75,364
276.871,27443,75,365
277.751,27518,75,366
278.334,27593,75,367
279.211,27668,75,368
279.845,27743,75,369
280.722,27818,75,370
281.307,27893,75,371
282.282,27968,75,372
282.851,28043,75,373
283.719,28118,75,374
284.281,28193,75,375
285.207,28268,75,376
285.795,28343,75,377
286.670,28418,75,378
287.255,28493,75,379
288.194,28568,75,380
288.771,28643,75,381
289.644,28718,75,382
290.567,28793,75,383
291.204,28868,75,384
291.740,28943,75,385
292.666,29018,75,386
293.251,29093,75,387
294.131,29168,75,388
294.714,29243,75,389
295.591,29318,75,390
296.251,29393,75,391
297.102,29468,75,392
297.736,29543,75,393
298.568,29618,75,394
299.199,29693,75,395
300.079,29768,75,396
300.661,29843,75,397
301.544,29918,75,398
302.172,29993,75,399
303.067,30068,75,400
303.635,30143,75,401
304.563,30218,75,402
305.146,30293,75,403
306.028,30368,75,404
306.609,30443,75,405
307.486,30518,75,406
308.120,30593,75,407
309.043,30668,75,408
309.585,30743,75,409
310.460,30818,75,410
311.094,30893,75,411
311.971,30968,75,412
312.556,31043,75,413
313.461,31118,75,414
314.074,31193,75,415
314.945,31268,75,416
315.530,31343,75,417
316.457,31418,75,418
317.090,31493,75,419
317.919,31568,75,420
318.504,31643,75,421
319.430,31718,75,422
320.015,31793,75,423
320.893,31868,75,424
321.478,31943,75,425
322.404,32018,75,426
322.989,32093,75,427
323.867,32168,75,428
324.454,32243,75,429
325.619,32318,75,430
325.963,32393,75,431
326.841,32468,75,432
327.450,32543,75,433
328.352,32618,75,434
328.937,32693,75,435
329.814,32768,75,436
330.402,32843,75,437
331.326,32918,75,438
331.933,32993,75,439
332.788,33068,75,440
333.422,33143,75,441
334.299,33218,75,442
334.933,33293,75,443
335.810,33368,75,444
336.417,33443,75,445
337.273,33518,75,446
337.858,33593,75,447
338.735,33668,75,448
339.369,33743,75,449
340.282,33818,75,450
340.832,33893,75,451
341.758,33968,75,452
342.343,34043,75,453
343.221,34118,75,454
343.805,34193,75,455
344.732,34268,75,456
345.326,34343,75,457
346.194,34418,75,458
346.801,34493,75,459
347.706,34568,75,460
348.316,34643,75,461
349.172,34718,75,462
349.753,34793,75,463
350.679,34868,75,464
351.265,34943,75,465
352.145,35018,75,466
352.727,35093,75,467
353.654,35168,75,468
354.238,35243,75,469
355.527,35318,75,470
355.749,35393,75,471
356.651,35468,75,472
357.212,35543,75,473
358.089,35618,75,474
358.723,35693,75,475
359.648,35768,75,476
360.186,35843,75,477
361.356,35918,75,478
361.701,35993,75,479
362.596,36068,75,480
363.234,36143,75,481
364.039,36218,75,482
364.671,36293,75,483
365.548,36368,75,484
366.138,36443,75,485
367.060,36518,75,486
367.645,36593,75,487
368.522,36668,75,488
369.107,36743,75,489
370.033,36818,75,490
370.618,36893,75,491
371.517,36968,75,492
372.081,37043,75,493
373.014,37118,75,494
373.592,37193,75,495
374.470,37268,75,496
375.247,37343,75,497
375.986,37418,75,498
376.566,37493,75,499
377.735,37568,75,500
378.030,37643,75,501
378.958,37718,75,502
379.781,37793,75,503
380.417,37868,75,504
381.051,37943,75,505
381.932,38018,75,506
382.514,38093,75,507
383.401,38168,75,508
383.976,38243,75,509
384.902,38318,75,510
385.487,38393,75,511
386.388,38468,75,512
386.953,38543,75,513
387.899,38618,75,514
388.464,38693,75,515
389.339,38768,75,516
390.019,38843,75,517
390.850,38918,75,518
391.435,38993,75,519
392.313,39068,75,520
392.946,39143,75,521
393.824,39218,75,522
394.441,39293,75,523
395.287,39368,75,524
395.920,39443,75,525
396.798,39518,75,526
397.383,39593,75,527
398.309,39668,75,528
398.894,39743,75,529
399.794,39818,75,530
400.356,39893,75,531
401.283,39968,75,532
401.916,40043,75,533
402.780,40118,75,534
403.332,40193,75,535
404.256,40268,75,536
404.841,40343,75,537
405.721,40418,75,538
406.304,40493,75,539
407.230,40568,75,540
407.815,40643,75,541
408.693,40718,75,542
409.326,40793,75,543
410.204,40868,75,544
410.789,40943,75,545
411.672,41018,75,546
412.300,41093,75,547
413.199,41168,75,548
413.763,41243,75,549
414.689,41318,75,550
415.274,41393,75,551
416.158,41468,75,552
416.737,41543,75,553
417.855,41618,75,554
418.253,41693,75,555
419.161,41768,75,556
419.710,41843,75,557
420.588,41918,75,558
421.225,41993,75,559
422.099,42068,75,560
422.712,42143,75,561
423.610,42218,75,562
424.195,42293,75,563
425.073,42367,74,564
425.805,42442,75,565
426.584,42517,75,566
427.200,42592,75,567
428.051,42667,75,568
428.632,42742,75,569
429.581,42817,75,570
430.143,42892,75,571
431.020,42967,75,572
431.606,43042,75,573
432.533,43117,75,574
433.117,43192,75,575
433.995,43267,75,576
434.579,43342,75,577
435.530,43417,75,578
436.091,43492,75,579
436.968,43567,75,580
437.554,43642,75,581
438.479,43717,75,582
439.064,43792,75,583
439.991,43867,75,584
440.576,43942,75,585
441.453,44017,75,586
442.038,44092,75,587
442.916,44167,75,588
443.501,44242,75,589
444.427,44317,75,590
445.012,44392,75,591
445.889,44467,75,592
446.474,44542,75,593
447.401,44617,75,594
447.986,44692,75,595
448.877,44767,75,596
449.456,44842,75,597
450.374,44917,75,598
450.966,44992,75,599
451.837,45067,75,600
452.471,45142,75,601
453.397,45217,75,602
453.934,45292,75,603
454.811,45367,75,604
455.396,45442,75,605
456.323,45517,75,606
456.931,45592,75,607
457.785,45667,75,608
458.370,45742,75,609
459.296,45817,75,610
459.881,45892,75,611
460.778,45967,75,612
461.343,46042,75,613
462.282,46117,75,614
462.855,46192,75,615
463.732,46267,75,616
464.317,46342,75,617
465.244,46417,75,618
465.828,46492,75,619
466.706,46567,75,620
467.291,46642,75,621
468.217,46717,75,622
468.802,46792,75,623
469.727,46867,75,624
470.265,46942,75,625
471.196,47017,75,626
471.776,47092,75,627
472.653,47167,75,628
473.674,47242,75,629
474.165,47317,75,630
474.750,47392,75,631
475.634,47467,75,632
476.214,47542,75,633
477.139,47617,75,634
477.822,47692,75,635
478.601,47767,75,636
479.186,47842,75,637
480.113,47917,75,638
480.697,47992,75,639
481.575,48067,75,640
482.255,48142,75,641
483.086,48217,75,642
483.672,48292,75,643
484.549,48367,75,644
485.184,48442,75,645
486.061,48517,75,646
486.645,48592,75,647
487.523,48667,75,648
488.156,48742,75,649
489.093,48817,75,650
489.619,48892,75,651
490.496,48967,75,652
491.130,49042,75,653
492.103,49117,75,654
