df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,acc_mag
4.549,1.077
4.579,1.075
4.609,1.076
4.639,1.078
4.669,1.086
4.699,1.079
4.729,1.069
4.759,1.074
4.789,1.076
4.819,1.074
4.849,1.079
4.879,1.078
4.909,1.074
4.939,1.080
4.969,1.080
4.999,1.072
5.029,1.075
5.059,1.072
5.089,1.077
5.119,1.077
5.149,1.077
5.179,1.074
5.209,1.076
5.239,1.084
5.269,1.071
5.299,1.068
5.329,1.074
5.359,1.082
5.389,1.079
5.419,1.076
5.449,1.073
5.479,1.075
5.509,1.080
5.539,1.080
5.569,1.076
5.599,1.072
5.629,1.075
5.659,1.079
5.689,1.082
5.719,1.077
5.749,1.072
5.779,1.075
5.809,1.079
5.839,1.076
5.869,1.069
5.899,1.079
5.929,1.078
5.959,1.075
5.989,1.074
6.019,1.072
6.049,1.079
6.079,1.078
6.109,1.075
6.139,1.079
6.169,1.077
6.199,1.075
6.229,1.072
6.259,1.080
6.289,1.079
6.319,1.078
6.349,1.074
6.379,1.076
6.409,1.080
6.439,1.072
6.469,1.072
6.499,1.073
6.529,1.079
6.559,1.084
6.589,1.074
6.619,1.072
6.649,1.072
6.679,1.083
6.709,1.078
6.739,1.084
6.769,1.076
6.799,1.075
6.829,1.069
6.859,1.080
6.889,1.082
6.919,1.073
6.949,1.070
6.979,1.084
7.009,1.085
7.039,1.073
7.069,1.072
7.099,1.079
7.129,1.078
7.159,1.076
7.189,1.076
7.219,1.074
7.249,1.079
7.279,1.076
7.309,1.074
7.339,1.080
7.369,1.076
7.399,1.072
7.429,1.080
7.459,1.076
7.489,1.070
7.519,1.071
7.549,1.085
7.579,1.078
7.609,1.072
7.639,1.073
7.669,1.077
7.699,1.077
7.729,1.077
7.759,1.077
7.789,1.072
7.819,1.077
7.849,1.076
7.879,1.077
7.909,1.083
7.939,1.075
7.969,1.070
7.999,1.077
8.029,1.080
8.059,1.069
8.089,1.072
8.119,1.073
8.149,1.079
8.179,1.075
8.209,1.075
8.239,1.077
8.269,1.075
8.299,1.074
8.329,1.076
8.359,1.076
8.389,1.077
8.419,1.074
8.449,1.076
8.479,1.085
8.509,1.081
8.539,1.076
8.569,1.073
8.599,1.079
8.629,1.071
8.659,1.067
8.689,1.086
8.719,1.084
8.749,1.075
8.779,1.067
8.809,1.074
8.839,1.078
8.869,1.081
8.899,1.074
8.929,1.082
8.959,1.077
8.989,1.070
9.019,1.075
9.049,1.080
9.079,1.082
9.109,1.075
9.139,1.075
9.169,1.077
9.199,1.080
9.229,1.071
9.259,1.076
9.289,1.079
9.319,1.081
9.349,1.070
9.379,1.071
9.409,1.076
9.439,1.076
9.469,1.076
9.499,1.075
9.529,1.072
9.559,1.074
9.589,1.074
9.619,1.078
9.649,1.078
9.679,1.075
9.709,1.075
9.739,1.076
9.769,1.069
9.799,1.075
9.829,1.075
9.859,1.082
9.889,1.071
9.919,1.078
9.949,1.079
9.979,1.078
10.009,1.075
10.039,1.074
10.069,1.080
10.099,1.081
10.129,1.075
10.159,1.078
10.189,1.074
10.219,1.078
10.249,1.072
10.279,1.080
10.309,1.074
10.339,1.079
10.369,1.074
10.399,1.073
10.429,1.077
10.459,1.073
10.489,1.081
10.519,1.080
10.549,1.072
10.579,1.070
10.609,1.081
10.639,1.082
10.669,1.079
10.699,1.066
10.729,1.069
10.759,1.076
10.789,1.082
10.819,1.073
10.849,1.078
10.879,1.077
10.909,1.076
10.939,1.072
10.969,1.077
10.999,1.079
11.029,1.074
11.059,1.072
11.089,1.080
11.119,1.075
11.149,1.075
11.179,1.069
11.209,1.080
11.239,1.076
11.269,1.079
11.299,1.072
11.329,1.070
11.359,1.076
11.389,1.078
11.419,1.078
11.449,1.073
11.479,1.074
11.509,1.080
11.539,1.080
11.569,1.070
11.599,1.079
11.629,1.080
11.659,1.080
11.689,1.074
11.719,1.079
11.749,1.077
11.779,1.071
11.809,1.078
11.839,1.078
11.869,1.077
11.899,1.074
11.929,1.074
11.959,1.076
11.989,1.078
12.019,1.075
12.049,1.077
12.079,1.081
12.109,1.075
12.139,1.071
12.169,1.072
12.199,1.078
12.229,1.079
12.259,1.077
12.289,1.073
12.319,1.073
12.349,1.076
12.379,1.080
12.409,1.073
12.439,1.079
12.469,1.084
12.499,1.073
12.529,1.077
12.559,1.078
12.589,1.074
12.619,1.076
12.649,1.077
12.679,1.077
12.709,1.075
12.739,1.076
12.769,1.080
12.799,1.079
12.829,1.071
12.859,1.074
12.889,1.077
12.919,1.077
12.949,1.082
12.979,1.073
13.009,1.074
13.039,1.077
13.069,1.075
13.099,1.076
13.129,1.075
13.159,1.076
13.189,1.077
13.219,1.074
13.249,1.077
13.279,1.073
13.309,1.080
13.339,1.071
13.369,1.075
13.399,1.075
13.429,1.077
13.459,1.079
13.489,1.077
13.519,1.066
13.549,1.072
13.579,1.079
13.609,1.079
13.639,1.077
13.669,1.073
13.699,1.071
13.729,1.078
13.759,1.077
13.789,1.080
13.819,1.077
13.849,1.077
13.879,1.070
13.909,1.070
