df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,omega
22.552,0.652
23.331,0.646
23.933,0.651
24.503,0.646
25.187,0.651
25.868,0.646
26.549,0.650
27.389,0.654
28.076,0.650
28.688,0.654
33.182,0.652
34.012,0.655
34.647,0.658
35.324,0.658
36.110,0.662
36.743,0.658
37.564,0.662
38.103,0.659
38.786,0.659
39.560,0.658
40.298,0.655
40.985,0.656
41.464,0.657
42.165,0.666
42.881,0.666
43.515,0.666
44.148,0.675
44.783,0.666
45.466,0.675
46.106,0.675
46.833,0.675
47.561,0.675
48.341,0.666
49.023,0.668
49.611,0.668
50.434,0.677
51.273,0.668
51.945,0.672
52.387,0.676
53.082,0.676
53.705,0.676
54.574,0.676
55.179,0.676
55.753,0.671
56.529,0.663
57.116,0.671
61.459,0.671
62.039,0.676
66.579,0.671
67.993,0.663
68.918,0.670
69.207,0.670
69.986,0.670
71.157,0.663
71.839,0.663
72.537,0.663
73.255,0.663
73.936,0.667
79.889,0.667
80.324,0.667
81.390,0.667
83.899,0.667
84.563,0.677
85.243,0.681
85.880,0.681
86.474,0.681
87.045,0.678
87.933,0.678
88.416,0.681
89.096,0.683
89.791,0.683
90.367,0.684
91.189,0.684
91.973,0.684
92.555,0.684
93.142,0.683
93.825,0.683
94.567,0.681
95.287,0.678
95.972,0.678
96.601,0.678
97.141,0.675
98.060,0.675
98.541,0.672
99.293,0.672
100.013,0.669
100.619,0.667
101.335,0.667
102.023,0.666
102.726,0.666
103.382,0.666
104.114,0.662
105.287,0.662
106.061,0.660
106.744,0.660
107.437,0.660
108.109,0.660
108.794,0.662
109.620,0.666
110.351,0.667
111.128,0.666
111.568,0.666
112.301,0.663
112.984,0.663
113.663,0.663
114.303,0.666
115.033,0.666
115.627,0.663
116.300,0.663
116.982,0.660
117.728,0.663
118.397,0.663
119.172,0.663
119.771,0.663
120.978,0.659
123.466,0.659
123.953,0.656
124.538,0.654
125.232,0.653
125.464,0.653
127.219,0.653
127.850,0.651
128.533,0.651
129.463,0.653
131.071,0.653
131.705,0.651
133.082,0.651
133.802,0.651
135.173,0.651
136.577,0.651
139.309,0.649
140.479,0.649
141.161,0.651
142.391,0.651
143.115,0.654
143.795,0.651
144.526,0.651
147.161,0.649
147.842,0.649
149.839,0.649
151.162,0.649
151.834,0.648
152.421,0.648
152.959,0.648
154.225,0.647
154.768,0.647
157.541,0.647
158.465,0.647
159.199,0.647
159.635,0.645
160.272,0.643
160.915,0.643
161.654,0.643
162.319,0.645
163.193,0.645
163.499,0.646
164.319,0.644
165.053,0.644
165.488,0.641
166.169,0.641
166.701,0.644
167.295,0.644
168.751,0.644
169.245,0.644
169.778,0.648
170.558,0.644
171.152,0.641
171.972,0.641
172.559,0.641
173.337,0.639
173.926,0.640
174.555,0.640
175.287,0.638
175.971,0.638
176.597,0.637
178.118,0.637
180.066,0.635
181.289,0.635
181.984,0.635
183.379,0.637
184.063,0.637
184.650,0.638
185.535,0.636
186.062,0.638
187.434,0.638
188.206,0.639
188.264,0.641
192.106,0.639
192.937,0.639
194.495,0.639
195.369,0.638
195.908,0.642
196.592,0.642
197.374,0.643
198.108,0.644
198.835,0.644
200.292,0.644
200.981,0.647
201.466,0.644
202.150,0.648
202.790,0.644
203.522,0.640
208.337,0.644
209.073,0.640
209.510,0.640
211.459,0.638
212.826,0.638
214.644,0.638
216.579,0.635
217.992,0.635
218.677,0.636
220.089,0.635
221.549,0.635
222.185,0.635
222.832,0.635
223.547,0.635
224.869,0.635
225.549,0.635
227.593,0.634
228.912,0.634
229.461,0.634
230.228,0.635
231.106,0.634
232.287,0.635
233.010,0.635
234.470,0.636
234.958,0.635
235.887,0.635
236.323,0.635
237.681,0.635
238.529,0.635
239.153,0.637
239.794,0.637
240.516,0.637
242.410,0.637
243.197,0.637
243.876,0.637
244.536,0.637
245.208,0.638
246.120,0.637
247.397,0.637
248.866,0.637
249.538,0.637
250.503,0.637
250.901,0.637
252.361,0.638
252.857,0.638
253.538,0.639
255.345,0.639
262.999,0.640
263.770,0.638
264.217,0.636
270.058,0.636
271.475,0.633
273.665,0.631
274.348,0.630
276.249,0.631
277.371,0.634
278.394,0.631
279.516,0.631
280.299,0.635
280.783,0.639
281.672,0.636
283.221,0.636
284.387,0.636
285.710,0.636
286.435,0.636
286.878,0.632
287.562,0.636
288.242,0.632
290.874,0.636
291.946,0.639
294.482,0.636
300.438,0.636
300.774,0.636
301.308,0.636
301.990,0.630
305.170,0.630
305.648,0.630
306.328,0.625
307.111,0.625
307.791,0.624
308.252,0.620
308.983,0.616
311.643,0.620
312.276,0.616
312.954,0.620
313.704,0.620
319.198,0.620
322.080,0.621
322.808,0.621
325.923,0.616
327.685,0.621
328.412,0.623
330.216,0.621
333.044,0.623
333.577,0.623
335.529,0.623
346.268,0.623
349.229,0.624
356.738,0.624
357.283,0.624
358.053,0.631
358.638,0.639
359.230,0.640
362.389,0.640
364.106,0.640
365.415,0.645
366.194,0.645
368.826,0.645
369.460,0.640
371.260,0.645
372.385,0.652
372.533,0.653
