df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,acc_mag
4.421,0.957
4.451,0.967
4.481,0.966
4.511,0.943
4.541,0.955
4.571,0.979
4.601,0.950
4.631,0.952
4.661,0.953
4.691,0.952
4.721,0.967
4.751,0.956
4.781,0.961
4.811,0.968
4.841,0.956
4.871,0.958
4.901,0.957
4.931,0.956
4.961,0.957
4.991,0.965
5.021,0.958
5.051,0.944
5.081,0.961
5.111,0.975
5.141,0.952
5.171,0.956
5.201,0.962
5.231,0.958
5.261,0.962
5.291,0.948
5.321,0.964
5.351,0.973
5.381,0.955
5.411,0.956
5.441,0.948
5.471,0.948
5.501,0.959
5.531,0.959
5.561,0.947
5.591,0.958
5.621,0.979
5.651,0.957
5.681,0.947
5.711,0.958
5.741,0.958
5.771,0.951
5.801,0.965
5.831,0.946
5.861,0.969
5.891,0.960
5.921,0.956
5.951,0.954
5.981,0.957
6.011,0.954
6.041,0.961
6.071,0.963
6.101,0.949
6.131,0.952
6.161,0.972
6.191,0.951
6.221,0.949
6.251,0.957
6.281,0.960
6.311,0.956
6.341,0.952
6.371,0.948
6.401,0.961
6.431,0.951
6.461,0.961
6.491,0.958
6.521,0.953
6.551,0.966
6.581,0.968
6.611,0.941
6.641,0.937
6.671,0.942
6.701,0.974
6.731,0.964
6.761,0.945
6.791,0.957
6.821,0.954
6.851,0.955
6.881,0.957
6.911,0.953
6.941,1.010
6.971,0.945
7.001,0.954
7.031,0.933
7.061,0.954
7.091,0.949
7.121,0.965
7.151,0.969
7.181,0.961
7.211,0.952
7.241,0.966
7.271,0.966
7.301,0.962
7.331,0.958
7.361,0.958
7.391,0.960
7.421,0.961
7.451,0.947
7.481,0.946
7.511,0.958
7.541,0.958
7.571,0.960
7.601,0.954
7.631,0.956
7.661,0.958
7.691,0.962
7.721,0.962
7.751,0.951
7.781,0.959
7.811,0.950
7.841,0.968
7.871,0.969
7.901,0.963
7.931,0.958
7.961,0.954
7.991,0.958
8.021,0.957
8.051,0.954
8.081,0.961
8.111,0.956
8.141,0.958
8.171,0.952
8.201,0.955
8.231,0.956
8.261,0.959
8.291,0.960
8.321,0.960
8.351,0.954
8.381,0.948
8.411,0.963
8.441,0.961
8.471,0.957
8.501,0.964
8.531,0.958
8.561,0.942
8.591,0.943
8.621,0.945
8.651,0.952
8.681,0.957
8.711,0.944
8.741,0.947
8.771,0.959
8.801,0.964
8.831,0.966
8.861,0.955
8.891,0.964
8.921,0.966
8.951,0.964
8.981,0.948
9.011,0.958
9.041,0.959
9.071,0.954
9.101,0.959
9.131,0.970
9.161,0.976
9.191,0.972
9.221,0.945
9.251,0.948
9.281,0.963
9.311,0.971
9.341,0.996
9.371,0.939
9.401,0.968
9.431,0.943
9.461,0.948
9.491,0.963
9.521,0.960
9.551,0.956
9.581,0.961
9.611,0.956
9.641,0.958
9.671,0.952
9.701,0.946
9.731,0.955
9.761,0.967
9.791,0.953
9.821,0.954
9.851,0.957
9.881,0.961
9.911,0.967
9.941,0.970
9.971,0.944
10.001,0.942
10.031,0.989
10.061,0.975
10.091,0.958
10.121,0.941
10.151,0.954
10.181,0.943
10.211,0.935
10.241,0.958
10.271,0.961
10.301,0.967
10.331,0.961
10.361,0.952
10.391,0.957
10.421,0.947
10.451,0.957
10.481,0.958
10.511,0.956
10.541,0.955
10.571,0.961
10.601,0.958
10.631,0.958
10.661,0.955
10.691,0.970
10.721,0.967
10.751,0.950
10.781,0.950
10.811,0.956
10.841,0.987
10.871,0.956
10.901,0.967
10.931,0.952
10.961,0.951
10.991,0.952
11.021,0.951
11.051,0.949
11.081,0.971
11.111,0.971
11.141,0.952
11.171,0.949
11.201,0.948
11.231,0.974
11.261,0.950
11.291,0.950
11.321,0.950
11.351,0.959
11.381,0.963
11.411,0.954
11.441,0.969
11.471,0.950
11.501,0.962
11.531,0.966
11.561,0.959
11.591,0.968
11.621,0.967
11.651,0.952
11.681,0.947
11.711,0.934
11.741,0.977
11.771,0.967
11.801,0.961
11.831,0.951
11.861,0.958
11.891,0.956
11.921,0.951
11.951,0.944
11.981,0.920
12.011,0.945
12.041,0.949
12.071,0.944
12.101,0.944
12.131,0.947
12.161,0.945
12.191,0.965
12.221,0.970
12.251,0.982
12.281,0.983
12.311,0.951
12.341,0.959
12.371,0.955
12.401,0.968
12.431,0.957
12.461,0.953
12.491,0.940
12.521,0.964
12.551,0.958
12.581,0.954
12.611,0.963
12.641,0.966
12.671,0.966
12.701,0.958
12.731,0.973
12.761,0.963
12.791,0.973
12.821,0.955
12.851,0.965
12.881,0.988
12.911,0.969
12.941,0.952
12.971,0.909
13.001,0.946
13.031,0.943
13.061,0.960
13.091,0.963
13.121,0.964
13.151,0.958
13.181,0.913
13.211,0.976
13.241,0.950
13.271,0.953
13.301,0.949
13.331,0.963
13.361,0.967
13.391,0.977
13.421,0.983
13.451,0.947
13.481,0.938
13.511,0.937
13.541,0.939
13.571,0.936
13.601,0.949
13.631,0.959
13.661,0.962
13.691,0.952
13.721,0.969
13.751,0.956
13.781,0.971
