df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.421,-0.648,0.701,0.053
4.431,-0.652,0.707,0.057
4.441,-0.646,0.715,0.051
4.451,-0.645,0.719,0.051
4.461,-0.645,0.713,0.053
4.471,-0.645,0.711,0.053
4.481,-0.652,0.711,0.055
4.490,-0.648,0.707,0.051
4.500,-0.643,0.699,0.059
4.510,-0.633,0.697,0.055
4.520,-0.629,0.713,0.057
4.530,-0.627,0.719,0.053
4.540,-0.631,0.715,0.051
4.550,-0.645,0.721,0.053
4.560,-0.656,0.729,0.053
4.570,-0.654,0.727,0.055
4.580,-0.650,0.711,0.059
4.590,-0.646,0.703,0.057
4.600,-0.639,0.701,0.057
4.610,-0.639,0.701,0.061
4.619,-0.639,0.703,0.059
4.629,-0.637,0.705,0.057
4.639,-0.641,0.709,0.057
4.649,-0.639,0.709,0.053
4.659,-0.637,0.707,0.059
4.669,-0.639,0.713,0.055
4.679,-0.643,0.715,0.059
4.689,-0.635,0.707,0.051
4.699,-0.637,0.711,0.057
4.709,-0.637,0.711,0.057
4.719,-0.645,0.719,0.055
4.729,-0.646,0.717,0.057
4.739,-0.646,0.711,0.061
4.749,-0.639,0.709,0.053
4.758,-0.635,0.707,0.053
4.768,-0.641,0.705,0.055
4.778,-0.645,0.711,0.051
4.788,-0.654,0.711,0.055
4.798,-0.654,0.717,0.057
4.808,-0.648,0.717,0.053
4.818,-0.641,0.721,0.051
4.828,-0.641,0.719,0.053
4.838,-0.635,0.713,0.053
4.848,-0.641,0.715,0.055
4.858,-0.646,0.715,0.047
4.868,-0.639,0.713,0.053
4.878,-0.635,0.709,0.049
4.887,-0.641,0.711,0.051
4.897,-0.645,0.705,0.049
4.907,-0.641,0.705,0.047
4.917,-0.641,0.713,0.047
4.927,-0.639,0.709,0.049
4.937,-0.641,0.711,0.051
4.947,-0.639,0.711,0.049
4.957,-0.641,0.709,0.053
4.967,-0.639,0.717,0.049
4.977,-0.641,0.719,0.051
4.987,-0.641,0.721,0.049
4.997,-0.639,0.717,0.047
5.007,-0.641,0.709,0.049
5.017,-0.643,0.709,0.045
5.026,-0.639,0.715,0.047
5.036,-0.637,0.703,0.049
5.046,-0.631,0.701,0.049
5.056,-0.633,0.711,0.051
5.066,-0.633,0.715,0.039
5.076,-0.635,0.721,0.045
5.086,-0.650,0.725,0.047
5.096,-0.654,0.727,0.053
5.106,-0.650,0.725,0.053
5.116,-0.646,0.715,0.051
5.126,-0.641,0.711,0.055
5.136,-0.637,0.705,0.057
5.146,-0.633,0.701,0.053
5.155,-0.635,0.705,0.049
5.165,-0.639,0.709,0.051
5.175,-0.637,0.709,0.047
5.185,-0.643,0.711,0.051
5.195,-0.645,0.713,0.049
5.205,-0.641,0.713,0.045
5.215,-0.637,0.709,0.049
5.225,-0.639,0.713,0.045
5.235,-0.639,0.713,0.043
5.245,-0.643,0.715,0.045
5.255,-0.643,0.715,0.047
5.265,-0.643,0.715,0.047
5.275,-0.639,0.709,0.047
5.284,-0.631,0.707,0.039
5.294,-0.631,0.709,0.041
5.304,-0.633,0.711,0.037
5.314,-0.635,0.725,0.043
5.324,-0.645,0.736,0.045
5.334,-0.643,0.734,0.047
5.344,-0.641,0.730,0.043
5.354,-0.637,0.725,0.047
5.364,-0.625,0.715,0.045
5.374,-0.625,0.721,0.049
5.384,-0.631,0.723,0.047
5.394,-0.633,0.723,0.047
5.404,-0.631,0.717,0.045
5.414,-0.631,0.717,0.049
5.423,-0.629,0.715,0.047
5.433,-0.625,0.711,0.047
5.443,-0.629,0.715,0.045
5.453,-0.629,0.711,0.043
5.463,-0.623,0.713,0.041
5.473,-0.629,0.717,0.045
5.483,-0.631,0.719,0.045
5.493,-0.629,0.723,0.047
5.503,-0.631,0.719,0.045
5.513,-0.635,0.719,0.045
5.523,-0.633,0.719,0.047
5.533,-0.631,0.711,0.045
5.543,-0.633,0.715,0.047
5.552,-0.631,0.705,0.045
5.562,-0.627,0.707,0.049
5.572,-0.625,0.719,0.041
5.582,-0.621,0.729,0.041
5.592,-0.619,0.727,0.037
5.602,-0.625,0.729,0.043
5.612,-0.639,0.740,0.047
5.622,-0.639,0.738,0.041
5.632,-0.633,0.734,0.039
5.642,-0.623,0.725,0.043
5.652,-0.623,0.717,0.043
5.662,-0.623,0.707,0.045
5.672,-0.625,0.711,0.035
5.682,-0.629,0.721,0.041
5.691,-0.633,0.725,0.041
5.701,-0.629,0.723,0.035
5.711,-0.623,0.721,0.043
5.721,-0.623,0.723,0.041
5.731,-0.621,0.729,0.039
5.741,-0.621,0.725,0.043
5.751,-0.627,0.717,0.043
5.761,-0.631,0.711,0.041
5.771,-0.631,0.723,0.039
5.781,-0.635,0.721,0.041
5.791,-0.639,0.723,0.047
5.801,-0.637,0.717,0.043
5.811,-0.627,0.709,0.037
5.820,-0.627,0.707,0.037
5.830,-0.625,0.715,0.037
5.840,-0.631,0.725,0.035
5.850,-0.635,0.730,0.041
5.860,-0.629,0.732,0.039
5.870,-0.627,0.732,0.049
5.880,-0.631,0.723,0.037
5.890,-0.627,0.721,0.045
5.900,-0.627,0.721,0.039
5.910,-0.627,0.721,0.043
5.920,-0.621,0.723,0.041
5.930,-0.623,0.723,0.041
5.940,-0.623,0.721,0.045
5.950,-0.623,0.723,0.039
5.959,-0.625,0.725,0.039
5.969,-0.629,0.721,0.037
5.979,-0.621,0.719,0.035
5.989,-0.619,0.719,0.039
5.999,-0.619,0.725,0.039
6.009,-0.623,0.723,0.037
6.019,-0.631,0.721,0.039
6.029,-0.629,0.727,0.037
6.039,-0.629,0.727,0.039
6.049,-0.627,0.725,0.035
6.059,-0.627,0.730,0.037
6.069,-0.631,0.729,0.039
6.079,-0.629,0.725,0.041
6.088,-0.621,0.717,0.043
6.098,-0.621,0.725,0.041
6.108,-0.617,0.719,0.035
6.118,-0.623,0.719,0.037
6.128,-0.631,0.732,0.041
6.138,-0.639,0.738,0.043
6.148,-0.635,0.734,0.043
6.158,-0.627,0.730,0.043
6.168,-0.619,0.723,0.041
6.178,-0.621,0.719,0.045
6.188,-0.619,0.715,0.039
6.198,-0.621,0.715,0.041
6.208,-0.621,0.717,0.037
6.218,-0.621,0.719,0.039
6.227,-0.621,0.725,0.039
6.237,-0.621,0.727,0.041
6.247,-0.623,0.729,0.037
6.257,-0.627,0.729,0.041
6.267,-0.635,0.719,0.041
6.277,-0.631,0.719,0.035
6.287,-0.629,0.721,0.035
6.297,-0.627,0.721,0.037
6.307,-0.627,0.723,0.037
6.317,-0.629,0.723,0.041
6.327,-0.621,0.721,0.039
6.337,-0.623,0.715,0.039
6.347,-0.619,0.715,0.039
6.356,-0.615,0.721,0.027
6.366,-0.617,0.727,0.037
6.376,-0.623,0.734,0.035
6.386,-0.619,0.734,0.035
6.396,-0.621,0.730,0.039
6.406,-0.621,0.725,0.029
6.416,-0.615,0.725,0.033
6.426,-0.615,0.727,0.035
6.436,-0.617,0.730,0.039
6.446,-0.623,0.730,0.037
6.456,-0.621,0.729,0.035
6.466,-0.615,0.730,0.033
6.476,-0.613,0.734,0.035
6.486,-0.611,0.738,0.033
6.495,-0.625,0.736,0.041
6.505,-0.613,0.729,0.037
6.515,-0.615,0.752,0.043
6.525,-0.637,0.742,0.041
6.535,-0.639,0.725,0.033
6.545,-0.633,0.721,0.041
6.555,-0.635,0.723,0.043
6.565,-0.643,0.723,0.037
6.575,-0.633,0.711,0.043
6.585,-0.619,0.709,0.035
6.595,-0.613,0.713,0.045
6.605,-0.613,0.725,0.043
6.615,-0.613,0.717,0.043
6.624,-0.604,0.715,0.045
6.634,-0.604,0.725,0.037
6.644,-0.605,0.725,0.033
6.654,-0.605,0.721,0.035
6.664,-0.627,0.732,0.037
6.674,-0.629,0.746,0.039
6.684,-0.627,0.744,0.037
6.694,-0.623,0.736,0.039
6.704,-0.625,0.727,0.039
6.714,-0.635,0.725,0.037
6.724,-0.627,0.713,0.025
6.734,-0.621,0.713,0.031
6.744,-0.627,0.707,0.031
6.754,-0.629,0.707,0.033
6.763,-0.639,0.713,0.033
6.773,-0.629,0.721,0.033
6.783,-0.629,0.725,0.031
