df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,omega
26.458,2.520
27.101,2.512
27.680,2.500
28.366,2.488
28.948,2.473
29.732,2.458
32.416,2.473
33.106,2.458
35.380,2.452
36.017,2.445
40.607,2.444
41.233,2.436
41.714,2.423
42.357,2.390
42.845,2.360
44.501,2.355
45.184,2.334
45.865,2.334
46.405,2.245
48.549,2.171
50.107,2.140
51.433,2.085
52.007,2.025
52.939,1.982
54.348,1.960
55.036,1.943
55.326,1.943
60.636,1.927
61.321,1.927
62.189,1.912
65.754,1.927
66.388,1.912
66.474,1.907
71.019,1.907
72.237,1.902
72.827,1.901
73.115,1.901
73.903,1.901
74.433,1.906
75.014,1.907
75.554,1.907
76.189,1.907
76.966,1.907
80.336,1.907
80.866,1.901
81.501,1.884
82.134,1.867
82.723,1.855
83.308,1.840
83.990,1.840
84.379,1.833
85.977,1.833
87.447,1.824
88.864,1.811
92.191,1.791
92.916,1.755
93.445,1.753
94.125,1.753
95.298,1.725
96.184,1.712
96.610,1.708
97.441,1.700
97.589,1.693
99.148,1.687
99.787,1.677
100.513,1.664
106.308,1.664
106.417,1.664
108.169,1.664
108.705,1.651
134.882,1.641
136.249,1.641
136.506,1.641
143.322,1.631
145.122,1.625
147.364,1.610
148.632,1.579
152.917,1.551
154.047,1.518
154.480,1.471
156.093,1.446
206.984,1.444
207.859,1.446
209.402,1.471
209.908,1.496
210.791,1.556
213.513,1.574
214.056,1.583
214.686,1.583
215.271,1.583
215.953,1.591
216.496,1.591
217.172,1.583
217.961,1.583
218.305,1.589
219.219,1.591
220.390,1.591
221.168,1.587
221.713,1.582
222.341,1.582
224.677,1.582
230.527,1.582
237.228,1.577
255.539,1.571
297.189,1.571
305.849,1.571
307.068,1.565
310.478,1.565
311.114,1.561
311.699,1.561
312.528,1.561
320.711,1.555
321.254,1.546
392.039,1.587
407.246,1.618
407.882,1.602
420.121,1.612
421.787,1.615
424.414,1.618
428.557,1.615
429.287,1.612
430.061,1.615
430.366,1.618
430.815,1.629
434.558,1.615
439.279,1.615
441.618,1.629
442.447,1.641
442.984,1.642
443.422,1.642
444.109,1.642
445.776,1.645
447.037,1.655
452.980,1.655
453.564,1.655
454.395,1.664
455.077,1.669
455.764,1.669
456.293,1.674
462.240,1.674
464.287,1.674
467.453,1.674
477.743,1.674
