df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,temperature
4.535,34.406
5.541,34.438
6.565,34.500
7.540,34.562
8.515,34.594
9.539,34.625
10.514,34.625
11.538,34.625
12.513,34.656
13.537,34.719
14.529,34.750
15.535,34.750
16.805,34.719
17.534,34.750
18.509,34.719
19.533,34.719
20.711,34.750
21.599,34.781
22.535,34.812
23.537,34.812
24.505,34.812
25.529,34.875
26.750,34.875
27.536,34.875
28.503,34.906
29.527,34.906
30.502,34.906
31.525,34.906
32.703,34.906
33.524,34.906
34.508,34.938
35.525,34.938
36.498,34.969
37.531,35.031
38.497,35.031
39.520,35.031
40.544,35.062
41.519,35.094
42.786,35.062
43.520,35.094
44.542,35.000
45.568,35.000
46.591,35.000
47.515,35.000
48.905,35.000
49.514,35.031
50.548,35.062
51.513,35.062
52.539,35.094
53.512,35.125
54.536,35.188
55.510,35.188
56.534,35.188
57.561,35.156
58.533,35.125
59.508,35.156
60.580,35.125
61.515,35.125
62.680,35.125
63.508,35.094
64.529,35.094
65.532,35.062
66.549,35.031
67.508,35.094
68.527,35.125
69.502,35.094
70.525,35.094
71.519,35.062
72.524,35.125
73.791,35.156
74.523,35.125
75.890,35.125
76.522,35.125
77.497,35.125
78.542,35.125
79.742,35.125
80.519,35.125
81.543,35.125
82.518,35.094
83.788,35.062
84.517,35.094
85.492,35.125
86.516,35.125
87.491,35.094
88.716,35.062
89.784,35.062
90.515,35.094
91.537,35.062
92.514,35.094
93.538,35.094
94.511,35.094
95.541,35.000
96.509,35.031
97.533,35.062
98.509,35.062
99.532,35.188
100.656,35.156
101.531,35.188
102.506,35.156
103.529,35.156
104.651,35.188
105.529,35.250
106.503,35.219
107.527,35.250
108.502,35.219
109.591,35.094
110.744,35.094
111.524,35.094
112.499,35.062
113.523,35.125
114.501,35.125
115.522,35.125
116.497,35.125
117.521,35.094
118.788,35.094
119.520,35.125
120.495,35.125
121.537,35.125
122.493,35.188
123.517,35.188
124.492,35.125
125.541,35.156
126.494,35.156
127.515,35.156
128.490,35.156
129.513,35.156
130.490,35.188
131.512,35.125
132.733,35.125
133.511,35.125
134.486,35.125
135.513,35.125
136.679,35.125
137.508,35.125
138.702,35.125
139.507,35.125
140.582,35.125
141.507,35.125
142.530,35.062
143.505,35.062
144.528,35.094
145.503,35.062
146.527,35.062
147.502,35.062
148.526,35.062
149.698,35.062
150.524,35.062
151.500,35.094
152.523,35.156
153.498,35.188
154.522,35.156
155.497,35.156
156.540,35.188
157.496,35.188
158.555,35.250
159.495,35.219
160.518,35.281
161.642,35.281
162.566,35.250
163.593,35.250
164.516,35.250
165.491,35.219
166.515,35.188
167.635,35.188
168.514,35.125
169.501,35.125
170.512,35.125
171.487,35.125
172.529,35.156
173.494,35.125
174.509,35.156
175.533,35.188
176.508,35.250
177.632,35.250
178.518,35.312
179.482,35.312
180.511,35.312
181.481,35.312
182.556,35.281
183.483,35.312
184.504,35.281
185.479,35.281
186.502,35.281
187.626,35.281
188.501,35.281
189.525,35.250
190.500,35.281
191.525,35.188
192.499,35.219
193.523,35.250
194.497,35.281
195.521,35.312
196.496,35.312
197.519,35.406
198.641,35.375
199.527,35.406
200.537,35.375
201.517,35.500
202.492,35.500
203.516,35.438
204.491,35.438
205.563,35.406
206.490,35.438
207.514,35.312
208.784,35.344
209.513,35.312
210.731,35.344
211.511,35.312
212.486,35.312
213.514,35.344
214.485,35.375
215.509,35.375
216.584,35.375
217.508,35.406
218.558,35.438
219.542,35.406
220.728,35.438
221.505,35.438
222.480,35.438
223.503,35.469
224.479,35.406
225.503,35.406
226.478,35.406
227.505,35.438
228.476,35.406
229.525,35.438
230.529,35.438
231.499,35.438
232.474,35.469
233.498,35.469
234.473,35.500
235.740,35.500
236.523,35.500
237.495,35.469
238.518,35.469
239.493,35.469
240.518,35.406
241.493,35.406
242.516,35.438
243.491,35.438
244.515,35.438
245.557,35.438
246.514,35.438
247.489,35.469
248.513,35.531
249.488,35.531
250.511,35.594
251.486,35.594
252.532,35.594
253.534,35.594
254.509,35.562
255.633,35.531
256.509,35.531
257.483,35.531
258.506,35.469
259.482,35.500
260.511,35.469
261.741,35.500
262.505,35.469
263.484,35.500
264.648,35.500
265.477,35.531
266.502,35.562
267.576,35.562
268.500,35.625
269.479,35.625
270.503,35.625
271.628,35.625
272.498,35.594
273.473,35.625
274.497,35.625
275.472,35.625
276.690,35.625
277.470,35.625
278.545,35.625
279.469,35.625
280.495,35.625
281.491,35.656
282.494,35.656
283.467,35.656
284.490,35.656
285.515,35.656
286.538,35.625
287.513,35.625
288.488,35.625
289.512,35.625
290.487,35.625
291.524,35.625
292.731,35.594
293.509,35.625
294.484,35.625
295.507,35.688
296.483,35.719
297.507,35.719
298.482,35.719
299.505,35.688
300.484,35.688
301.504,35.688
302.479,35.750
303.519,35.719
304.478,35.781
305.502,35.719
306.477,35.688
307.501,35.719
308.531,35.750
309.499,35.812
310.479,35.812
311.498,35.812
312.623,35.812
313.497,35.812
314.472,35.812
315.496,35.844
316.483,35.875
317.592,35.844
