df_hash,22ZHK4.P47WVA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G7T5
person_label,v134
date_time_start,2026-04-07_18-55-51.502000_+03
date_time_start_unix,1775570151.502
date_time_end,2026-04-07_19-04-08.964000_+03
length_difference_noticed,no

time,ppg_quality
57.557,65
59.577,53
61.597,53
62.607,50
64.627,51
66.647,66
68.657,77
70.677,88
71.687,85
73.707,84
74.717,82
75.727,76
76.737,73
77.747,70
79.767,64
81.787,56
82.797,58
83.807,57
84.817,58
86.837,54
88.857,54
90.877,56
91.887,53
93.907,39
94.917,37
97.947,20
99.967,19
101.987,28
104.007,49
106.027,63
107.037,74
108.047,82
109.057,83
110.067,85
111.077,85
113.097,90
115.117,84
117.137,82
118.147,77
119.157,73
120.167,66
121.177,66
122.187,61
123.197,58
124.207,57
126.227,59
128.247,50
129.257,48
130.267,50
131.277,50
133.297,49
135.317,56
137.337,62
139.357,78
141.377,87
142.387,87
144.407,79
146.427,62
148.447,53
150.467,56
152.487,53
153.497,55
154.507,59
155.517,68
157.537,83
159.557,82
161.577,81
163.597,74
164.607,70
166.627,64
168.647,63
170.667,61
172.687,66
173.697,70
175.717,74
176.727,77
177.737,78
179.757,77
181.777,75
183.797,59
185.817,54
188.847,55
189.857,55
190.867,52
192.887,61
193.897,69
194.907,76
195.917,73
196.927,71
198.947,73
201.977,52
202.987,51
203.997,46
206.017,43
208.037,38
210.057,45
211.067,53
212.077,62
213.087,62
215.107,63
217.127,68
219.147,73
221.167,73
223.187,70
224.197,71
225.207,70
226.217,68
228.237,51
230.257,45
231.267,44
232.277,36
233.287,29
234.297,25
235.307,30
236.317,34
237.327,45
239.347,69
241.367,72
243.387,71
245.407,63
248.437,54
250.457,44
252.477,42
254.497,42
256.517,40
257.527,33
258.537,18
259.547,7
261.567,3
263.587,4
267.627,13
269.647,31
270.657,38
271.667,37
272.677,36
274.697,54
276.717,67
277.727,64
278.737,57
279.747,57
280.757,56
281.767,51
282.777,44
283.787,34
285.807,26
287.827,12
289.847,3
291.867,6
292.877,13
293.887,15
294.897,27
296.917,35
298.937,31
300.957,42
301.967,45
303.987,48
306.007,35
307.017,34
308.027,49
310.047,46
312.067,50
314.087,48
317.117,54
319.137,61
321.157,75
323.177,64
324.187,72
325.197,78
326.207,83
327.217,80
328.227,74
330.247,64
332.267,59
333.277,43
334.287,44
335.297,39
336.307,34
337.317,29
338.327,31
340.347,35
341.357,39
342.367,43
343.377,59
345.397,54
347.417,53
349.437,51
352.467,54
354.487,58
356.507,80
358.527,94
359.537,95
360.547,99
362.567,87
363.577,72
365.597,60
367.617,54
369.637,65
371.657,66
372.667,67
374.687,82
375.697,94
376.707,102
378.727,112
380.747,112
382.767,104
384.787,91
385.797,78
387.807,55
389.827,47
390.837,38
391.847,37
392.857,25
393.867,22
395.887,33
397.907,32
399.927,17
463.611,39
465.631,48
467.651,32
468.661,26
469.671,19
470.681,18
471.691,27
472.701,27
474.711,20
476.731,30
478.751,41
480.771,48
482.791,44
483.801,45
485.821,62
486.831,68
487.841,73
489.861,52
