df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
5.962,-0.238,0.957,-0.027
5.972,-0.234,0.979,-0.035
5.982,-0.236,0.980,-0.039
5.992,-0.234,0.979,-0.031
6.002,-0.225,0.951,-0.043
6.012,-0.209,0.910,-0.039
6.021,-0.207,0.879,-0.049
6.031,-0.232,0.875,-0.053
6.041,-0.254,0.854,-0.041
6.051,-0.258,0.850,-0.020
6.061,-0.227,0.869,-0.027
6.071,-0.215,0.889,-0.051
6.081,-0.189,0.906,-0.037
6.091,-0.182,0.910,-0.031
6.101,-0.191,0.930,-0.027
6.111,-0.186,0.955,-0.012
6.121,-0.195,0.975,-0.010
6.131,-0.195,0.986,0.002
6.141,-0.193,0.965,0.018
6.150,-0.189,0.990,0.031
6.160,-0.217,0.969,0.027
6.170,-0.217,0.943,0.059
6.180,-0.230,0.932,0.068
6.190,-0.254,0.936,0.066
6.200,-0.262,0.943,0.072
6.210,-0.234,0.961,0.076
6.220,-0.199,0.980,0.078
6.230,-0.160,0.992,0.072
6.240,-0.121,0.996,0.076
6.250,-0.121,0.996,0.076
6.260,-0.080,1.000,0.072
6.270,-0.039,0.990,0.059
6.280,-0.002,0.980,0.068
6.289,0.020,0.955,0.064
6.299,0.021,0.932,0.057
6.309,0.027,0.920,0.053
6.319,0.025,0.924,0.047
6.329,0.023,0.930,0.041
6.339,0.010,0.928,0.049
6.349,0.012,0.934,0.062
6.359,0.018,0.924,0.064
6.369,-0.002,0.908,0.066
6.379,-0.025,0.893,0.078
6.389,-0.035,0.900,0.078
6.399,-0.037,0.891,0.066
6.409,-0.039,0.887,0.082
6.418,-0.033,0.904,0.082
6.428,-0.020,0.916,0.084
6.438,-0.014,0.922,0.088
6.448,-0.021,0.926,0.092
6.458,-0.010,0.926,0.086
6.468,-0.023,0.930,0.078
6.478,-0.045,0.930,0.088
6.488,-0.053,0.934,0.094
6.498,-0.062,0.943,0.096
6.508,-0.076,0.977,0.098
6.518,-0.080,1.006,0.096
6.528,-0.066,1.012,0.096
6.538,-0.057,0.998,0.098
6.547,-0.062,0.988,0.090
6.557,-0.070,0.979,0.082
6.567,-0.080,0.973,0.082
6.577,-0.084,0.959,0.078
6.587,-0.096,0.959,0.074
6.597,-0.096,0.949,0.078
6.607,-0.090,0.949,0.078
6.617,-0.082,0.961,0.070
6.627,-0.076,0.963,0.076
6.637,-0.078,0.934,0.076
6.647,-0.082,0.912,0.080
6.657,-0.084,0.900,0.090
6.667,-0.090,0.891,0.084
6.676,-0.098,0.883,0.084
6.686,-0.098,0.883,0.086
6.696,-0.092,0.891,0.084
6.706,-0.066,0.891,0.080
6.716,-0.051,0.898,0.094
6.726,-0.039,0.908,0.094
6.736,-0.039,0.924,0.096
6.746,-0.045,0.934,0.094
6.756,-0.055,0.945,0.100
6.766,-0.045,0.947,0.100
6.776,-0.041,0.951,0.098
6.786,-0.041,0.953,0.102
6.796,-0.037,0.967,0.105
6.805,-0.041,0.977,0.107
6.815,-0.041,0.982,0.109
6.825,-0.047,0.979,0.109
6.835,-0.053,0.986,0.109
6.845,-0.055,0.986,0.111
6.855,-0.047,0.990,0.109
6.865,-0.037,0.979,0.109
6.875,-0.035,0.984,0.115
6.885,-0.018,0.979,0.109
6.895,-0.021,0.973,0.104
6.905,-0.043,0.971,0.098
6.915,-0.055,0.969,0.100
6.925,-0.055,0.951,0.100
6.935,-0.064,0.941,0.094
6.944,-0.076,0.926,0.096
6.954,-0.076,0.932,0.096
6.964,-0.078,0.924,0.088
6.974,-0.066,0.924,0.088
6.984,-0.066,0.930,0.084
6.994,-0.057,0.914,0.076
7.004,-0.070,0.910,0.078
7.014,-0.080,0.910,0.080
7.024,-0.074,0.912,0.080
7.034,-0.059,0.916,0.086
7.044,-0.045,0.922,0.084
7.054,-0.039,0.936,0.074
7.064,-0.035,0.941,0.076
7.073,-0.031,0.941,0.076
7.083,-0.035,0.928,0.078
7.093,-0.051,0.928,0.074
7.103,-0.074,0.926,0.080
7.113,-0.066,0.926,0.094
7.123,-0.053,0.934,0.092
7.133,-0.055,0.953,0.090
7.143,-0.053,0.971,0.094
7.153,-0.033,0.973,0.102
7.163,-0.033,0.984,0.102
7.173,-0.043,0.992,0.100
7.183,-0.061,1.000,0.102
7.193,-0.057,0.998,0.109
7.202,-0.035,1.008,0.107
7.212,-0.053,1.021,0.088
7.222,-0.061,1.035,0.086
7.232,-0.039,1.037,0.092
7.242,-0.023,1.029,0.070
7.252,-0.020,1.004,0.066
7.262,-0.018,0.967,0.078
7.272,-0.006,0.953,0.086
7.282,-0.010,0.930,0.078
7.292,-0.027,0.912,0.068
7.302,-0.039,0.896,0.076
7.312,-0.070,0.857,0.072
7.322,-0.105,0.857,0.061
7.331,-0.139,0.863,0.047
7.341,-0.154,0.883,0.043
7.351,-0.146,0.896,0.043
7.361,-0.143,0.908,0.027
7.371,-0.137,0.928,0.029
7.381,-0.139,0.936,0.027
7.391,-0.135,0.932,0.039
7.401,-0.123,0.930,0.047
7.411,-0.127,0.932,0.045
7.421,-0.129,0.936,0.055
7.431,-0.133,0.949,0.051
7.441,-0.135,0.957,0.049
7.451,-0.127,0.961,0.049
7.460,-0.127,0.957,0.051
7.470,-0.109,0.959,0.057
7.480,-0.098,0.961,0.061
7.490,-0.088,0.969,0.057
7.500,-0.092,0.969,0.059
7.510,-0.086,0.961,0.057
7.520,-0.080,0.953,0.059
7.530,-0.086,0.943,0.059
7.540,-0.086,0.934,0.064
7.550,-0.074,0.924,0.061
7.560,-0.078,0.920,0.061
7.570,-0.080,0.922,0.061
7.580,-0.082,0.922,0.059
7.590,-0.080,0.916,0.059
7.599,-0.084,0.912,0.061
7.609,-0.082,0.912,0.062
7.619,-0.078,0.918,0.062
7.629,-0.082,0.922,0.057
7.639,-0.088,0.926,0.057
7.649,-0.092,0.930,0.055
7.659,-0.096,0.938,0.057
7.669,-0.082,0.938,0.059
7.679,-0.088,0.938,0.055
7.689,-0.104,0.945,0.055
7.699,-0.102,0.957,0.055
7.709,-0.102,0.955,0.053
7.719,-0.107,0.959,0.051
