df_hash,22ZHK4.UJ02M7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WYNA
person_label,V35
date_time_start,2025-10-27_12-12-22.778000_+03
date_time_start_unix,1761552742.778
date_time_end,2025-10-27_12-15-29.729000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.910,181560,171,157044
5.915,181575,169,157049
5.920,181585,168,157065
5.925,181599,168,157066
5.930,181590,168,157082
5.935,181619,169,157087
5.940,181644,168,157089
5.945,181636,168,157109
5.950,181647,170,157104
5.955,181680,169,157119
5.960,181679,168,157119
5.965,181690,172,157117
5.970,181680,170,157121
5.975,181663,169,157104
5.980,181642,170,157094
5.985,181620,169,157088
5.990,181620,168,157081
5.995,181599,168,157064
6.000,181601,171,157069
6.005,181574,169,157060
6.010,181575,168,157063
6.015,181548,168,157051
6.020,181544,171,157063
6.025,181532,169,157053
6.030,181532,170,157057
6.035,181513,169,157051
6.040,181508,168,157066
6.045,181506,171,157039
6.050,181506,170,157061
6.055,181493,169,157049
6.060,181474,168,157050
6.065,181467,171,157047
6.070,181463,169,157053
6.075,181465,168,157058
6.080,181470,169,157059
6.085,181455,168,157045
6.090,181460,171,157052
6.095,181464,170,157073
6.100,181461,169,157070
6.105,181473,168,157072
6.110,181474,172,157071
6.115,181484,170,157074
6.120,181500,169,157100
6.125,181500,168,157086
6.130,181507,172,157115
6.135,181519,171,157114
6.140,181529,169,157122
6.145,181553,168,157132
6.150,181548,168,157144
6.155,181556,171,157151
6.160,181558,170,157138
6.165,181569,169,157152
6.170,181583,168,157161
6.175,181588,169,157119
6.180,181584,168,157152
6.185,181579,172,157169
6.190,181590,170,157162
6.195,181603,169,157160
6.200,181646,168,157189
6.205,181636,168,157208
6.210,181665,171,157207
6.215,181673,169,157222
6.220,181689,169,157211
6.225,181674,169,157207
6.230,181686,169,157215
6.235,181689,168,157213
6.240,181652,171,157214
6.245,181671,169,157208
6.250,181669,168,157202
6.255,181668,168,157202
6.260,181661,171,157209
6.265,181660,169,157189
6.270,181651,168,157194
6.275,181648,169,157189
6.280,181656,168,157203
6.285,181648,172,157197
6.290,181653,169,157202
6.295,181651,168,157180
6.300,181660,172,157188
6.305,181633,169,157186
6.310,181628,168,157184
6.315,181627,171,157183
6.320,181649,169,157170
6.325,181643,171,157178
6.330,181650,169,157167
6.335,181645,168,157171
6.340,181625,168,157161
6.345,181626,170,157156
6.350,181632,169,157163
6.355,181642,168,157162
6.360,181627,171,157156
6.365,181641,170,157161
6.370,181641,169,157150
6.375,181621,168,157162
6.380,181627,168,157153
6.385,181634,171,157147
6.390,181614,170,157163
6.395,181638,168,157165
6.400,181645,168,157152
6.405,181640,171,157155
6.410,181627,169,157160
6.415,181637,168,157170
6.420,181642,168,157154
6.425,181648,168,157146
6.430,181638,168,157152
6.435,181654,170,157153
6.440,181655,169,157156
6.445,181672,168,157162
6.450,181676,168,157153
6.455,181666,170,157157
6.460,181671,169,157158
6.465,181683,168,157166
6.470,181674,168,157161
6.475,181696,168,157162
6.480,181691,168,157160
6.485,181682,171,157172
6.490,181690,170,157165
6.495,181699,168,157167
6.500,181705,168,157162
6.505,181718,171,157175
6.510,181701,170,157171
6.515,181723,169,157178
6.520,181749,169,157189
6.525,181732,169,157189
6.530,181755,168,157188
6.535,181765,172,157174
6.540,181763,171,157201
6.545,181768,169,157197
6.550,181784,168,157195
6.555,181787,168,157210
6.560,181796,171,157220
6.565,181820,170,157219
6.570,181816,171,157217
6.575,181812,170,157220
6.580,181825,169,157228
6.585,181836,168,157232
6.590,181833,168,157222
6.595,181828,171,157222
6.600,181811,170,157207
6.605,181795,169,157191
6.610,181797,168,157176
6.615,181736,168,157137
6.620,181720,169,157136
6.625,181706,168,157132
6.630,181678,168,157113
6.635,181664,171,157103
6.640,181631,170,157086
6.645,181617,169,157068
6.650,181601,168,157065
6.655,181579,168,157056
6.660,181563,171,157055
6.665,181545,170,157043
6.670,181537,172,157037
6.675,181511,170,157015
6.680,181486,169,157027
6.685,181462,168,157005
6.690,181447,168,156993
6.695,181427,171,156984
6.700,181433,169,156977
6.705,181411,169,156962
6.710,181404,168,156968
6.715,181397,171,156968
6.720,181386,168,156931
6.725,181378,172,156925
6.730,181392,170,156932
6.735,181371,169,156939
6.740,181365,168,156932
6.745,181362,171,156914
6.750,181375,170,156926
6.755,181355,169,156925
6.760,181370,168,156922
6.765,181373,169,156911
6.770,181353,171,156910
6.775,181345,169,156926
6.780,181372,169,156915
6.785,181345,168,156925
6.790,181348,171,156907
6.795,181344,170,156888
6.800,181329,169,156872
6.805,181325,168,156879
6.810,181319,172,156870
6.815,181322,168,156851
6.820,181313,169,156862
6.825,181304,168,156841
6.830,181306,168,156842
6.835,181327,171,156850
6.840,181310,169,156834
6.845,181309,168,156841
6.850,181322,168,156842
6.855,181303,171,156833
6.860,181289,170,156822
6.865,181278,172,156816
6.870,181272,171,156792
6.875,181277,170,156791
6.880,181270,169,156782
6.885,181252,168,156769
6.890,181257,168,156757
6.895,181240,171,156744
6.900,181234,170,156749
6.905,181217,169,156727
6.910,181216,168,156718
6.915,181219,169,156721
6.920,181200,168,156713
6.925,181183,171,156699
6.930,181174,170,156687
6.935,181180,169,156678
6.940,181176,168,156666
6.945,181160,168,156688
6.950,181161,171,156664
6.955,181152,170,156649
6.960,181155,169,156635
6.965,181149,170,156641
6.970,181135,169,156639
6.975,181137,168,156635
6.980,181142,168,156624
6.985,181125,172,156622
6.990,181127,170,156631
6.995,181147,170,156615
7.000,181136,169,156608
7.005,181120,168,156597
7.010,181123,168,156635
7.015,181134,168,156585
7.020,181122,172,156581
7.025,181127,170,156578
7.030,181134,169,156570
7.035,181133,169,156554
7.040,181133,168,156553
7.045,181137,172,156569
7.050,181136,171,156548
7.055,181125,169,156556
7.060,181164,171,156551
7.065,181142,168,156548
7.070,181127,168,156536
7.075,181132,168,156531
7.080,181138,171,156524
7.085,181139,170,156529
7.090,181135,169,156515
7.095,181133,169,156523
7.100,181133,168,156522
7.105,181150,172,156511
7.110,181151,168,156511
7.115,181166,168,156526
7.120,181167,172,156507
7.125,181179,170,156525
7.130,181181,169,156526
7.135,181194,169,156512
7.140,181197,168,156519
7.145,181197,168,156518
7.150,181190,171,156521
7.155,181211,169,156519
7.160,181220,171,156510
7.165,181252,170,156510
7.170,181256,169,156518
7.175,181265,168,156505
7.180,181270,172,156511
7.185,181272,170,156516
7.190,181283,169,156515
7.195,181296,168,156522
7.200,181302,172,156528
7.205,181321,171,156521
7.210,181341,171,156524
7.215,181318,170,156506
7.220,181330,169,156500
7.225,181327,168,156485
7.230,181316,168,156466
7.235,181290,171,156457
7.240,181255,170,156438
7.245,181249,169,156395
7.250,181236,168,156381
7.255,181201,168,156360
7.260,181179,169,156344
7.265,181175,168,156337
7.270,181171,168,156332
7.275,181146,172,156301
7.280,181139,170,156290
7.285,181125,169,156278
7.290,181140,168,156273
7.295,181133,168,156272
7.300,181138,172,156271
7.305,181138,171,156251
7.310,181125,172,156248
7.315,181140,170,156252
7.320,181133,169,156246
7.325,181130,168,156226
7.330,181136,168,156228
7.335,181148,171,156213
7.340,181148,170,156218
7.345,181163,169,156216
7.350,181174,168,156221
7.355,181190,169,156204
7.360,181219,169,156202
7.365,181208,168,156215
7.370,181222,171,156227
7.375,181235,169,156219
7.380,181272,169,156221
7.385,181272,168,156221
7.390,181308,168,156223
7.395,181321,172,156230
7.400,181321,170,156235
7.405,181360,171,156234
7.410,181375,169,156244
7.415,181402,168,156248
7.420,181426,168,156253
7.425,181450,171,156257
7.430,181462,169,156258
7.435,181504,168,156281
7.440,181541,168,156281
7.445,181569,171,156298
7.450,181598,170,156316
7.455,181627,172,156332
7.460,181677,170,156336
7.465,181691,169,156353
7.470,181714,168,156360
7.475,181753,168,156371
7.480,181761,171,156392
7.485,181779,170,156372
7.490,181805,169,156390
7.495,181839,168,156399
7.500,181839,172,156392
7.505,181881,170,156408
7.510,181900,169,156415
7.515,181930,168,156417
7.520,181935,168,156426
7.525,181985,171,156444
7.530,181990,170,156442
7.535,182012,169,156459
7.540,182019,168,156459
7.545,182047,172,156466
7.550,182064,171,156467
7.555,182064,172,156475
7.560,182092,170,156482
7.565,182107,169,156477
7.570,182137,168,156485
7.575,182133,168,156500
7.580,182160,171,156505
7.585,182175,169,156514
7.590,182198,169,156521
7.595,182214,168,156522
7.600,182251,168,156544
7.605,182246,168,156554
7.610,182281,168,156565
7.615,182301,172,156559
7.620,182307,171,156578
7.625,182334,170,156582
7.630,182321,169,156578
7.635,182337,168,156573
7.640,182366,168,156579
7.645,182380,171,156592
7.650,182409,168,156600
7.655,182423,169,156617
7.660,182440,169,156616
7.665,182458,168,156616
7.670,182484,168,156626
7.675,182483,172,156643
7.680,182509,170,156633
7.685,182538,170,156651
7.690,182549,169,156655
7.695,182567,168,156651
7.700,182588,169,156675
7.705,182590,168,156663
7.710,182591,168,156682
7.715,182609,168,156678
7.720,182614,168,156680
7.725,182651,172,156671
7.730,182664,171,156687
7.735,182658,171,156691
7.740,182676,170,156681
7.745,182705,169,156697
7.750,182705,170,156705
7.755,182718,169,156717
7.760,182743,168,156719
7.765,182760,168,156723
7.770,182783,171,156727
7.775,182792,170,156737
7.780,182821,169,156745
7.785,182830,168,156742
7.790,182847,172,156754
7.795,182856,169,156757
7.800,182870,171,156761
7.805,182888,169,156774
7.810,182891,169,156762
7.815,182920,168,156773
7.820,182934,173,156771
7.825,182967,171,156787
7.830,182952,170,156785
7.835,182938,169,156770
7.840,182945,168,156769
7.845,182942,169,156748
7.850,182914,169,156741
7.855,182898,168,156720
7.860,182888,168,156718
7.865,182873,172,156699
7.870,182860,171,156700
7.875,182866,170,156683
7.880,182832,169,156679
7.885,182821,168,156669
7.890,182818,168,156667
7.895,182804,168,156635
7.900,182788,171,156658
7.905,182791,170,156655
7.910,182776,169,156652
7.915,182773,169,156637
7.920,182748,168,156629
7.925,182743,168,156631
7.930,182731,168,156616
7.935,182740,168,156608
7.940,182726,168,156626
7.945,182704,168,156608
7.950,182698,168,156589
7.955,182677,168,156596
7.960,182692,168,156588
7.965,182689,172,156584
7.970,182701,172,156580
7.975,182705,172,156586
7.980,182685,171,156586
7.985,182702,171,156576
7.990,182701,170,156587
7.995,182702,168,156590
8.000,182710,172,156598
8.005,182723,171,156597
8.010,182729,170,156608
8.015,182736,170,156594
8.020,182717,169,156614
8.025,182730,168,156587
8.030,182723,168,156610
8.035,182729,172,156606
8.040,182714,170,156588
8.045,182711,168,156589
8.050,182695,168,156583
8.055,182703,172,156570
8.060,182699,171,156581
8.065,182710,170,156573
8.070,182707,169,156577
8.075,182709,168,156573
8.080,182692,168,156583
8.085,182684,168,156569
8.090,182704,168,156573
8.095,182696,168,156563
8.100,182692,168,156557
8.105,182671,168,156551
8.110,182657,171,156533
8.115,182654,170,156542
8.120,182652,170,156532
8.125,182646,169,156525
8.130,182632,168,156537
8.135,182638,168,156515
8.140,182610,170,156518
8.145,182623,168,156508
8.150,182622,168,156508
8.155,182615,172,156491
8.160,182597,171,156514
8.165,182600,170,156504
8.170,182614,170,156492
8.175,182592,169,156502
8.180,182599,168,156491
8.185,182601,168,156502
8.190,182620,169,156495
8.195,182602,170,156510
8.200,182607,169,156509
8.205,182609,168,156507
8.210,182603,172,156505
8.215,182625,170,156522
8.220,182625,169,156518
8.225,182611,169,156515
8.230,182627,168,156524
8.235,182610,172,156516
8.240,182633,170,156516
8.245,182628,169,156526
8.250,182626,169,156524
8.255,182630,168,156526
8.260,182645,171,156528
8.265,182665,170,156528
8.270,182679,169,156542
8.275,182677,168,156560
8.280,182690,171,156558
8.285,182703,170,156563
8.290,182717,171,156566
