df_hash,22ZHK4.2TBHGE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HAY6
person_label,V36
date_time_start,2025-10-27_12-32-17.207000_+03
date_time_start_unix,1761553937.207
date_time_end,2025-10-27_12-39-34.139000_+03
length_difference_noticed,no

time,heart_rate
15.414,77
16.255,76
17.483,76
18.339,76
19.271,76
20.388,75
21.315,75
22.225,75
23.414,75
24.336,75
25.217,76
26.481,76
27.261,76
28.142,76
29.361,76
30.531,75
31.113,75
32.490,75
33.232,76
34.086,77
35.304,78
36.187,78
37.109,77
38.287,76
39.156,75
40.082,73
41.252,72
42.178,71
43.056,70
44.226,69
45.445,69
46.049,69
47.200,69
48.077,69
49.035,69
50.173,69
51.247,69
52.075,70
53.147,71
54.073,72
54.951,73
56.170,72
57.047,73
57.973,74
59.095,74
60.216,75
60.907,75
62.070,74
63.005,73
63.872,72
65.091,71
65.977,71
66.851,71
68.065,70
68.942,70
69.966,70
71.038,71
71.958,73
72.841,74
74.012,74
74.890,74
75.767,73
76.986,72
77.867,72
78.792,72
79.960,72
80.837,71
81.767,71
82.934,71
83.811,71
84.742,72
85.916,73
86.820,73
87.711,72
88.881,71
89.763,70
90.685,69
91.855,68
93.031,68
93.664,69
94.858,70
95.755,70
96.632,71
97.803,70
98.732,69
99.606,69
100.825,69
101.706,69
102.580,71
103.750,73
104.676,71
105.576,71
106.724,71
107.650,71
108.527,76
109.697,80
110.629,82
111.501,81
112.720,81
113.893,81
114.475,81
115.748,77
116.572,79
117.449,73
118.668,71
119.545,66
120.423,64
121.691,63
122.519,63
123.396,62
124.619,62
125.492,61
126.419,60
127.589,60
128.466,61
129.441,61
130.563,61
131.440,62
132.613,62
133.536,62
134.480,62
135.340,62
136.510,62
137.387,62
138.314,63
139.484,65
140.459,66
141.385,66
142.458,65
143.391,64
144.261,64
145.439,64
146.358,64
147.240,62
148.411,62
149.331,63
150.221,63
151.769,64
152.305,64
153.208,64
154.401,64
155.279,63
156.159,63
157.375,64
158.255,64
159.130,65
160.349,66
161.232,66
162.479,65
163.323,66
164.229,66
165.127,66
166.296,66
167.183,67
168.100,66
169.270,66
170.197,71
171.074,69
172.244,69
173.129,69
174.048,70
175.218,71
176.144,72
177.023,72
178.217,71
179.154,70
180.049,69
181.250,69
182.140,69
182.971,69
184.139,68
185.114,69
185.946,69
187.113,69
188.060,70
188.941,70
190.135,70
191.101,69
192.231,68
193.110,66
193.987,65
194.864,65
196.132,65
196.989,66
197.841,65
199.103,65
199.983,65
200.865,63
202.030,62
202.908,63
203.836,63
205.004,63
205.882,63
206.808,63
207.979,63
208.856,64
209.782,64
210.958,65
211.978,66
212.759,67
213.925,68
214.803,68
215.729,68
216.899,66
217.826,65
218.703,64
219.873,64
220.751,64
221.680,64
222.852,66
223.773,67
224.651,68
225.821,69
226.993,70
227.624,71
228.794,71
229.723,71
230.598,71
231.768,71
232.694,71
233.572,72
234.791,73
235.672,75
236.644,76
237.764,76
238.645,76
239.543,75
240.743,75
241.616,75
242.493,75
243.712,75
244.590,75
245.496,75
246.690,75
247.563,75
248.489,78
249.659,81
250.537,82
251.463,80
252.633,80
253.534,80
254.437,80
255.632,80
256.484,80
257.411,80
258.583,81
259.508,82
260.433,83
261.578,85
262.481,87
263.358,89
264.649,90
265.455,91
266.332,93
267.507,94
268.428,96
269.306,97
270.573,96
271.402,97
272.286,96
273.498,96
274.406,96
275.253,96
276.472,97
277.393,97
278.276,97
279.456,97
280.346,96
281.250,94
282.446,94
283.303,94
284.223,94
285.393,94
286.272,94
287.197,90
288.367,89
289.245,87
290.171,86
291.343,86
292.218,87
293.145,87
294.315,87
295.241,87
296.118,87
297.290,87
298.215,87
299.092,87
300.262,86
301.233,86
302.066,86
303.285,86
304.162,86
305.040,86
306.259,86
307.136,88
308.014,88
309.232,89
310.110,89
310.987,89
312.206,88
313.084,88
314.000,86
315.277,85
316.057,85
316.935,85
318.176,84
319.031,84
319.957,85
321.127,86
322.012,87
322.931,87
324.101,86
324.985,85
325.908,84
327.085,83
327.954,83
328.879,83
330.049,83
331.025,83
331.855,83
333.022,83
333.900,83
334.875,83
335.996,83
337.023,83
337.800,82
338.997,82
339.896,82
340.920,77
341.944,73
342.870,76
343.747,75
344.981,78
345.849,80
346.722,80
347.891,81
348.821,82
349.695,84
350.924,85
351.794,86
352.669,87
353.887,88
354.765,88
355.646,89
356.877,90
357.764,89
358.616,92
359.835,92
360.713,92
361.590,91
362.811,90
363.691,90
364.565,91
365.808,90
366.663,90
367.538,87
368.758,86
369.638,84
370.713,83
371.737,83
372.608,83
373.534,83
374.732,83
375.581,83
376.508,83
377.678,83
378.578,83
379.487,83
380.706,83
381.579,84
382.459,84
383.823,84
384.576,84
385.429,84
386.648,83
387.583,82
388.403,82
389.573,82
390.503,82
391.376,85
392.602,86
393.473,86
394.350,85
395.569,85
396.447,85
397.349,85
398.543,85
399.420,85
400.347,78
401.517,77
402.394,76
403.564,75
404.490,76
405.417,76
406.294,75
407.464,75
408.343,75
409.268,75
410.440,76
411.364,78
412.249,81
413.412,78
414.396,82
415.216,83
416.426,85
417.312,83
418.191,83
419.359,83
420.285,83
421.163,81
422.382,82
423.275,81
424.479,81
425.366,83
426.233,84
427.110,83
428.329,83
429.207,80
430.084,78
431.306,75
