df_hash,22ZHK4.2TBHGE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HAY6
person_label,V36
date_time_start,2025-10-27_12-32-17.207000_+03
date_time_start_unix,1761553937.207
date_time_end,2025-10-27_12-39-34.139000_+03
length_difference_noticed,no

time,ppg_quality
58.306,92
59.316,90
61.336,88
63.356,95
65.376,93
67.396,94
68.406,96
69.416,98
70.426,98
72.446,97
73.456,98
74.466,97
75.476,97
76.486,97
77.496,98
78.506,99
79.516,98
81.536,97
83.556,96
85.576,97
87.596,95
89.616,94
90.626,94
92.646,92
94.666,91
95.676,95
96.686,96
98.706,92
100.726,89
102.746,91
105.776,72
107.796,66
109.816,67
110.826,67
111.836,66
112.846,66
113.856,66
116.886,85
118.906,93
120.926,94
122.946,94
123.956,96
124.966,101
126.986,98
127.996,97
130.016,95
132.036,98
134.056,100
136.076,100
138.096,103
139.106,105
141.126,109
143.146,107
144.156,106
146.176,107
147.186,107
148.196,104
150.216,97
151.226,97
152.236,98
154.256,100
156.276,99
157.286,99
159.306,103
161.326,98
163.346,94
165.366,94
167.386,91
168.396,89
170.416,93
172.436,96
174.456,95
176.476,97
178.496,95
179.506,95
181.526,95
182.536,98
183.546,99
185.566,93
187.586,88
188.596,90
189.606,91
190.616,89
192.636,83
194.656,87
196.676,94
198.696,96
200.716,96
201.726,99
203.746,101
205.766,97
207.786,94
208.796,93
209.806,93
210.816,93
212.836,96
214.856,96
216.876,96
218.896,97
220.916,93
221.926,89
222.936,85
225.966,92
226.976,94
227.986,100
230.006,103
232.026,99
234.046,93
235.056,91
237.076,85
239.096,77
241.116,102
242.126,116
244.146,118
245.156,114
246.166,104
248.186,84
250.206,68
252.226,42
253.236,53
254.246,39
256.266,38
257.276,55
259.296,66
260.306,64
261.316,61
263.336,53
265.356,69
267.376,60
269.396,48
270.406,48
271.416,52
272.426,51
274.446,46
276.466,64
277.476,69
278.486,61
279.496,64
281.516,57
283.536,40
285.556,16
288.586,11
290.606,18
292.626,18
294.646,28
295.656,41
296.666,48
298.686,42
299.696,35
300.706,35
301.716,45
302.726,48
303.736,57
304.746,53
305.756,54
307.776,64
309.796,71
311.816,71
312.826,75
313.836,79
314.846,74
315.856,61
316.866,43
317.876,49
318.886,42
320.906,39
322.926,31
324.946,31
325.956,38
327.976,46
329.996,48
332.016,32
333.026,33
335.046,25
336.056,19
337.066,16
339.086,15
341.106,29
343.126,34
344.136,38
346.156,48
347.166,55
348.176,57
349.186,57
350.196,55
352.216,62
353.226,67
354.236,70
356.256,83
358.276,82
359.286,70
361.306,70
362.316,72
363.326,68
364.336,66
365.346,64
366.356,59
367.366,58
369.386,67
372.416,70
374.436,91
376.456,91
378.476,88
379.486,86
381.506,75
383.526,57
385.546,25
387.556,23
389.576,11
390.586,10
391.596,10
392.606,17
394.626,34
396.646,41
398.666,37
400.686,47
401.696,42
402.706,42
404.726,43
405.736,47
407.756,66
409.776,61
410.786,72
411.796,92
412.806,107
413.816,104
416.846,93
418.866,96
420.886,73
422.906,45
423.916,50
424.926,50
425.936,46
427.956,20
429.976,33
431.996,39
