df_hash,22ZHK4.QRA2JK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J83X
person_label,V39
date_time_start,2025-10-27_13-20-19.994000_+03
date_time_start_unix,1761556819.994
date_time_end,2025-10-27_13-28-31.380000_+03
length_difference_noticed,no

time,battery
13.817,49
23.762,49
33.761,49
43.763,49
53.744,49
63.789,49
73.781,49
83.774,49
93.768,49
103.810,49
113.756,49
123.785,49
133.743,49
143.785,49
153.790,49
163.773,49
173.767,49
183.766,49
193.754,49
203.797,49
213.742,49
223.785,49
233.730,49
243.724,49
253.766,49
263.760,48
273.754,48
283.748,48
293.745,48
303.741,48
313.829,48
323.745,48
334.254,48
343.711,48
353.753,48
363.750,48
373.741,48
383.790,48
393.729,48
403.726,48
413.816,48
423.781,48
433.857,48
443.758,48
453.886,48
464.007,48
473.754,48
483.722,48
