df_hash,22ZHK4.QRA2JK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J83X
person_label,V39
date_time_start,2025-10-27_13-20-19.994000_+03
date_time_start_unix,1761556819.994
date_time_end,2025-10-27_13-28-31.380000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.920,213,74,2
6.330,287,74,3
6.603,361,74,4
7.044,435,74,5
7.385,509,74,6
7.677,583,74,7
8.067,657,74,8
8.555,731,74,9
8.847,805,74,10
9.189,879,74,11
9.627,953,74,12
9.924,1027,74,13
10.363,1101,74,14
10.602,1175,74,15
10.992,1249,74,16
11.477,1323,74,17
11.724,1397,74,18
12.209,1471,74,19
12.554,1545,74,20
12.801,1619,74,21
13.236,1693,74,22
13.625,1767,74,23
13.966,1841,74,24
14.356,1915,74,25
14.746,1989,74,26
15.201,2063,74,27
15.526,2137,74,28
15.776,2211,74,29
16.160,2285,74,30
16.550,2359,74,31
16.842,2433,74,32
17.282,2507,74,33
17.671,2581,74,34
17.967,2655,74,35
18.354,2729,74,36
18.792,2803,74,37
19.134,2877,74,38
19.526,2951,74,39
19.914,3025,74,40
20.207,3099,74,41
20.694,3173,74,42
20.937,3247,74,43
21.279,3321,74,44
21.717,3395,74,45
22.059,3469,74,46
22.449,3543,74,47
22.842,3617,74,48
23.131,3691,74,49
23.568,3765,74,50
23.911,3839,74,51
24.287,3913,74,52
24.646,3987,74,53
25.032,4061,74,54
25.325,4135,74,55
25.796,4209,74,56
26.007,4283,74,57
26.446,4357,74,58
27.101,4431,74,59
27.272,4505,74,60
27.572,4579,74,61
27.959,4653,74,62
28.250,4727,74,63
28.738,4801,74,64
29.088,4875,74,65
29.374,4949,74,66
29.810,5023,74,67
30.201,5097,74,68
30.493,5171,74,69
30.980,5245,74,70
31.190,5319,74,71
31.616,5393,74,72
32.007,5467,74,73
32.296,5541,74,74
32.686,5615,74,75
33.271,5689,74,76
33.369,5763,74,77
33.808,5837,74,78
34.246,5911,74,79
34.490,5985,74,80
34.932,6059,74,81
35.322,6133,74,82
35.617,6207,74,83
36.073,6281,74,84
36.342,6355,74,85
36.732,6429,74,86
37.126,6503,74,87
37.415,6577,74,88
37.869,6651,74,89
38.390,6725,74,90
38.536,6799,74,91
38.930,6873,74,92
39.366,6947,74,93
39.660,7021,74,94
40.052,7095,74,95
40.584,7169,74,96
40.730,7243,74,97
41.169,7317,74,98
41.559,7391,74,99
42.047,7465,74,100
42.385,7539,74,101
42.533,7613,74,102
42.973,7687,74,103
43.411,7761,74,104
43.659,7835,74,105
44.338,7909,74,106
44.486,7983,74,107
44.776,8057,74,108
45.270,8131,74,109
45.612,8205,74,110
46.041,8279,74,111
46.310,8353,74,112
46.584,8427,74,113
47.068,8501,74,114
47.409,8575,74,115
47.942,8649,74,116
48.140,8723,74,117
48.822,8797,74,118
48.847,8871,74,119
49.215,8945,74,120
49.700,9019,74,121
49.944,9093,74,122
50.334,9167,74,123
50.774,9241,74,124
51.017,9315,74,125
51.455,9389,74,126
51.754,9463,74,127
52.138,9537,74,128
52.576,9611,74,129
52.820,9685,74,130
53.280,9759,74,131
53.700,9833,74,132
53.976,9907,74,133
54.380,9981,74,134
54.871,10055,74,135
55.069,10129,74,136
55.501,10203,74,137
55.892,10277,74,138
56.184,10351,74,139
56.581,10425,74,140
56.946,10499,74,141
57.305,10573,74,142
57.695,10647,74,143
57.988,10721,74,144
58.379,10795,74,145
58.919,10869,74,146
59.112,10943,74,147
59.499,11017,74,148
59.940,11091,74,149
60.181,11165,74,150
60.721,11239,74,151
61.059,11313,74,152
61.303,11387,74,153
61.839,11461,74,154
62.034,11535,74,155
62.424,11609,74,156
62.961,11683,74,157
63.121,11757,74,158
63.697,11831,74,159
63.938,11905,74,160
64.228,11979,74,161
64.666,12053,74,162
65.057,12127,74,163
65.355,12201,74,164
65.739,12275,74,165
66.278,12349,74,166
66.522,12423,74,167
66.863,12497,74,168
67.156,12571,74,169
67.640,12645,74,170
68.079,12719,74,171
68.274,12793,74,172
68.666,12867,74,173
69.103,12941,74,174
69.452,13015,74,175
69.966,13089,74,176
70.230,13163,74,177
70.480,13237,74,178
70.911,13311,74,179
71.300,13385,74,180
71.735,13459,74,181
72.028,13533,74,182
72.275,13607,74,183
72.710,13681,74,184
73.100,13755,74,185
73.490,13829,74,186
73.832,13903,74,187
74.229,13977,74,188
74.514,14051,74,189
75.002,14125,74,190
75.347,14199,74,191
75.635,14273,74,192
76.025,14347,74,193
76.464,14421,74,194
76.757,14495,74,195
77.150,14569,74,196
77.439,14643,74,197
77.837,14717,74,198
78.317,14791,74,199
78.611,14865,74,200
78.950,14939,74,201
79.438,15013,74,202
79.634,15087,74,203
80.072,15161,74,204
80.462,15235,74,205
80.849,15309,74,206
81.194,15383,74,207
81.648,15457,74,208
81.875,15531,74,209
82.363,15605,74,210
82.558,15679,74,211
83.000,15753,74,212
83.391,15827,74,213
83.702,15901,74,214
84.079,15975,74,215
84.610,16049,74,216
84.837,16123,74,217
85.190,16197,74,218
85.686,16271,74,219
85.970,16345,74,220
86.317,16419,74,221
86.751,16493,74,222
86.994,16567,74,223
87.484,16641,74,224
87.725,16715,74,225
88.407,16789,74,226
88.572,16863,74,227
88.798,16937,74,228
89.285,17011,74,229
89.724,17085,74,230
90.019,17159,74,231
90.370,17233,74,232
90.748,17307,74,233
91.089,17381,74,234
91.430,17455,74,235
91.869,17529,74,236
92.162,17603,74,237
92.649,17677,74,238
92.847,17751,74,239
93.332,17825,74,240
93.722,17899,74,241
93.965,17973,74,242
94.418,18047,74,243
94.844,18121,74,244
95.135,18195,74,245
95.477,18269,74,246
95.916,18343,74,247
96.171,18417,74,248
96.647,18491,74,249
96.988,18565,74,250
97.284,18639,74,251
97.720,18713,74,252
97.966,18787,74,253
98.450,18861,74,254
98.795,18935,74,255
99.084,19009,74,256
99.532,19083,74,257
99.914,19157,74,258
100.255,19231,74,259
100.595,19305,74,260
101.177,19379,74,261
101.332,19453,74,262
101.765,19527,74,263
102.159,19601,74,264
102.496,19675,74,265
102.838,19749,74,266
103.131,19823,74,267
103.569,19897,74,268
104.008,19971,74,269
104.300,20045,74,270
104.642,20119,74,271
105.084,20193,74,272
105.324,20267,74,273
105.768,20341,74,274
106.153,20415,74,275
106.456,20489,74,276
106.933,20563,74,277
107.334,20637,74,278
107.615,20711,74,279
107.957,20785,74,280
108.249,20859,74,281
108.688,20933,74,282
109.148,21007,74,283
109.452,21081,74,284
109.861,21155,74,285
110.199,21229,74,286
110.492,21303,74,287
110.883,21377,74,288
111.369,21451,74,289
111.662,21525,74,290
112.003,21599,74,291
112.442,21673,74,292
112.735,21747,74,293
113.140,21821,74,294
113.467,21895,74,295
113.807,21969,74,296
114.489,22042,73,297
114.538,22113,71,298
114.977,22187,74,299
115.367,22261,74,300
115.610,22335,74,301
116.049,22409,74,302
116.345,22483,74,303
116.783,22557,74,304
117.171,22631,74,305
117.512,22705,74,306
117.874,22779,74,307
118.243,22853,74,308
118.585,22927,74,309
118.974,23001,74,310
119.400,23075,74,311
119.674,23149,74,312
120.063,23223,74,313
120.485,23297,74,314
120.779,23371,74,315
121.230,23445,74,316
121.461,23519,74,317
121.903,23593,74,318
122.289,23667,74,319
122.583,23741,74,320
122.972,23815,74,321
123.459,23889,74,322
123.749,23963,74,323
124.096,24037,74,324
124.581,24111,74,325
124.776,24185,74,326
125.214,24259,74,327
125.653,24333,74,328
125.898,24407,74,329
126.383,24481,74,330
126.583,24555,74,331
127.035,24629,74,332
127.457,24703,74,333
127.776,24777,74,334
128.139,24851,74,335
128.529,24925,74,336
128.822,24999,74,337
129.648,25073,74,338
129.797,25147,74,339
129.993,25221,74,340
130.333,25295,74,341
130.772,25369,74,342
131.259,25443,74,343
131.599,25517,74,344
131.844,25591,74,345
132.148,25665,74,346
132.771,25739,74,347
132.868,25813,74,348
133.264,25887,74,349
133.697,25961,74,350
133.997,26035,74,351
134.379,26109,74,352
134.770,26183,74,353
135.111,26257,74,354
135.501,26331,74,355
136.034,26405,74,356
136.622,26479,74,357
136.645,26553,74,358
136.960,26627,74,359
137.309,26701,74,360
137.746,26775,74,361
138.133,26849,74,362
138.429,26923,74,363
138.864,26997,74,364
139.117,27071,74,365
139.498,27145,74,366
140.033,27219,74,367
140.253,27293,74,368
140.667,27367,74,369
141.107,27441,74,370
141.351,27515,74,371
141.784,27589,74,372
142.082,27663,74,373
142.472,27737,74,374
142.862,27811,74,375
143.112,27885,74,376
143.546,27959,74,377
143.986,28033,74,378
144.276,28107,74,379
144.714,28181,74,380
145.057,28255,74,381
145.492,28329,74,382
145.789,28403,74,383
146.177,28477,74,384
146.469,28551,74,385
147.054,28625,74,386
147.153,28699,74,387
147.591,28773,74,388
148.029,28847,74,389
148.273,28921,74,390
148.668,28995,74,391
149.102,29069,74,392
149.394,29143,74,393
149.835,29217,74,394
150.223,29291,74,395
150.467,29365,74,396
150.907,29439,74,397
151.494,29513,74,398
151.637,29587,74,399
152.076,29661,74,400
152.320,29735,74,401
152.777,29809,74,402
153.148,29883,74,403
153.587,29957,74,404
153.882,30031,74,405
154.513,30105,74,406
154.657,30179,74,407
154.952,30253,74,408
155.343,30327,74,409
155.635,30401,74,410
156.174,30475,74,411
156.515,30549,74,412
156.757,30623,74,413
157.146,30697,74,414
157.438,30771,74,415
157.886,30845,74,416
158.267,30919,74,417
158.712,30993,74,418
159.020,31067,74,419
159.388,31141,74,420
159.785,31215,74,421
160.071,31289,74,422
160.554,31363,74,423
160.806,31437,74,424
161.579,31511,74,425
161.631,31585,74,426
161.972,31659,74,427
162.318,31733,74,428
162.798,31807,74,429
163.000,31881,74,430
163.386,31955,74,431
163.678,32029,74,432
164.124,32103,74,433
164.517,32177,74,434
164.894,32251,74,435
165.231,32325,74,436
165.628,32399,74,437
165.921,32473,74,438
166.313,32547,74,439
166.845,32621,74,440
167.103,32695,74,441
167.575,32769,74,442
167.731,32843,74,443
168.163,32917,74,444
168.553,32991,74,445
168.843,33065,74,446
169.236,33139,74,447
169.778,33213,74,448
169.918,33287,74,449
170.359,33361,74,450
170.748,33435,74,451
171.044,33509,74,452
171.479,33583,74,453
171.917,33657,74,454
172.160,33731,74,455
172.551,33805,74,456
172.843,33879,74,457
173.282,33953,74,458
173.672,34027,74,459
174.013,34101,74,460
174.356,34175,74,461
174.793,34249,74,462
175.088,34323,74,463
175.479,34397,74,464
175.915,34471,74,465
176.158,34545,74,466
176.601,34619,74,467
177.036,34693,74,468
177.382,34767,74,469
177.816,34841,74,470
177.962,34915,74,471
178.585,34989,74,472
178.845,35063,74,473
179.087,35137,74,474
179.771,35211,74,475
179.912,35285,74,476
180.206,35359,74,477
180.643,35433,74,478
181.033,35507,74,479
181.326,35581,74,480
181.725,35655,74,481
182.155,35729,74,482
182.496,35803,74,483
182.837,35877,74,484
183.130,35951,74,485
183.663,36025,74,486
184.010,36099,74,487
184.251,36173,74,488
184.641,36247,74,489
185.128,36321,74,490
185.327,36395,74,491
185.787,36469,74,492
186.152,36543,74,493
186.446,36617,74,494
186.933,36691,74,495
187.273,36765,74,496
187.566,36839,74,497
188.010,36913,74,498
188.297,36987,74,499
188.692,37061,74,500
189.079,37135,74,501
189.370,37209,74,502
189.808,37283,74,503
190.271,37357,74,504
190.491,37431,74,505
190.892,37505,74,506
191.417,37579,74,507
191.612,37653,74,508
192.003,37727,74,509
192.445,37801,74,510
192.878,37875,74,511
193.133,37949,74,512
193.416,38023,74,513
193.840,38097,74,514
194.293,38171,74,515
194.635,38245,74,516
194.976,38319,74,517
195.366,38393,74,518
195.658,38467,74,519
196.049,38541,74,520
196.444,38615,74,521
196.731,38689,74,522
197.171,38763,74,523
197.560,38837,74,524
197.901,38911,74,525
198.291,38985,74,526
198.684,39059,74,527
199.168,39133,74,528
199.364,39207,74,529
199.656,39281,74,530
200.046,39355,74,531
200.486,39429,74,532
200.877,39503,74,533
201.167,39577,74,534
201.903,39651,74,535
201.993,39725,74,536
202.289,39799,74,537
202.732,39873,74,538
203.030,39947,74,539
203.462,40021,74,540
203.702,40095,74,541
204.145,40169,74,542
204.531,40243,74,543
204.775,40317,74,544
205.311,40391,74,545
205.611,40465,74,546
206.139,40539,74,547
206.335,40613,74,548
206.728,40687,74,549
207.018,40761,74,550
207.408,40835,74,551
207.849,40909,74,552
208.139,40983,74,553
208.576,41057,74,554
208.821,41131,74,555
209.357,41205,74,556
209.842,41279,74,557
209.942,41353,74,558
210.381,41427,74,559
210.778,41501,74,560
211.069,41575,74,561
211.502,41649,74,562
211.941,41723,74,563
212.185,41797,74,564
212.575,41871,74,565
212.965,41945,74,566
213.257,42019,74,567
213.696,42093,74,568
213.989,42167,74,569
214.523,42241,74,570
214.770,42315,74,571
215.061,42389,74,572
215.549,42463,74,573
215.890,42537,74,574
216.184,42611,74,575
216.868,42685,74,576
217.011,42759,74,577
217.362,42833,74,578
217.694,42907,74,579
218.135,42981,74,580
218.425,43055,74,581
218.819,43129,74,582
219.131,43203,74,583
219.546,43277,74,584
220.034,43351,74,585
220.326,43425,74,586
220.618,43499,74,587
221.057,43573,74,588
221.301,43647,74,589
221.742,43721,74,590
222.141,43795,74,591
222.444,43869,74,592
222.861,43943,74,593
223.544,44017,74,594
223.688,44091,74,595
