df_hash,22ZHK4.QRA2JK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J83X
person_label,V39
date_time_start,2025-10-27_13-20-19.994000_+03
date_time_start_unix,1761556819.994
date_time_end,2025-10-27_13-28-31.380000_+03
length_difference_noticed,no

time,quality
8.997,100
9.823,100
11.013,0
11.919,0
12.797,3
14.061,0
15.042,64
15.868,80
17.002,80
17.867,73
18.744,77
19.963,78
20.840,73
21.861,80
22.985,82
23.860,79
24.691,74
25.910,71
27.092,75
27.717,79
29.079,67
29.914,65
30.880,73
31.859,81
32.739,79
33.756,79
34.834,82
35.711,84
36.637,79
37.860,73
38.684,73
39.612,49
40.782,0
41.702,18
42.585,28
43.755,0
44.681,0
45.605,22
46.727,22
47.698,16
48.532,17
49.798,33
50.628,34
51.747,47
52.677,62
53.695,55
54.478,52
55.648,45
56.575,43
57.498,33
58.622,24
59.548,20
60.426,19
61.644,20
62.522,18
63.414,35
64.618,34
65.496,32
66.518,24
67.667,28
68.470,27
69.444,24
70.568,28
71.444,46
72.321,42
73.543,52
74.417,71
75.343,71
76.513,78
77.390,74
78.357,52
79.487,46
80.413,64
81.287,50
82.510,27
83.386,35
84.605,37
85.678,70
86.365,72
87.239,58
88.557,37
89.312,52
90.214,72
91.382,65
92.275,44
93.187,38
94.356,35
95.233,38
96.160,33
97.330,32
98.223,48
99.179,28
100.349,29
101.326,36
102.107,60
103.278,47
104.203,42
105.130,45
106.304,72
107.329,74
108.055,46
109.434,31
110.151,53
111.028,75
112.199,73
113.125,79
114.340,82
115.223,15
116.104,12
116.979,15
118.195,0
119.074,1
119.952,0
121.221,0
122.149,5
122.923,0
124.188,26
125.020,0
125.946,30
127.116,35
127.994,0
128.965,0
130.090,0
131.076,0
132.140,0
133.258,38
133.993,34
134.864,0
136.180,0
137.207,0
137.889,26
139.108,37
139.888,29
140.817,29
141.987,33
143.105,35
143.883,33
144.959,35
145.836,0
146.858,30
147.933,0
148.957,33
149.785,39
151.305,35
151.784,31
152.710,43
154.082,63
154.901,57
155.685,73
156.998,74
157.829,35
158.853,23
159.839,20
160.755,26
161.872,0
162.847,0
163.730,3
164.610,5
165.775,41
166.752,47
167.724,45
168.794,57
169.871,64
170.552,71
171.724,64
172.652,33
173.526,25
174.696,0
175.623,0
176.597,0
177.767,0
178.840,0
179.766,15
180.742,15
181.570,27
182.527,31
183.717,24
184.544,20
185.421,24
186.832,0
187.529,0
188.687,28
189.614,26
190.783,30
191.446,41
192.588,68
193.465,60
194.344,45
195.561,42
196.439,33
197.366,28
198.535,31
199.414,36
200.339,22
201.603,36
202.387,38
203.362,55
204.485,62
205.603,51
206.286,63
207.463,75
208.336,80
209.400,84
210.771,85
211.310,84
212.236,83
213.404,86
214.379,71
215.209,67
216.381,67
217.304,68
218.230,63
219.401,61
220.361,58
221.156,34
222.432,36
223.253,37
224.130,38
225.299,36
226.225,36
227.103,31
228.417,67
229.199,78
230.078,72
231.302,72
232.173,69
233.051,65
234.270,33
235.147,31
236.070,25
237.243,18
238.166,15
239.039,18
240.218,33
241.096,17
241.972,24
243.192,0
244.116,0
244.952,0
246.164,0
247.092,0
247.968,0
249.139,0
250.371,21
251.039,33
252.207,37
253.282,19
253.918,29
255.142,33
255.967,59
256.891,65
258.061,79
259.278,72
259.957,50
261.034,29
262.154,35
262.838,34
264.009,34
264.933,16
265.811,26
266.980,9
267.953,7
268.882,7
270.001,6
271.127,8
271.759,0
272.977,0
273.951,46
274.732,60
276.045,58
276.828,73
277.705,68
279.119,77
279.803,76
280.774,27
281.898,24
282.822,18
283.654,30
284.873,30
285.752,25
286.867,29
287.848,0
288.750,32
289.603,36
290.865,40
291.697,50
292.728,44
293.795,43
294.671,56
295.548,25
296.861,31
297.836,26
298.523,31
299.748,25
300.619,26
301.513,0
302.767,0
303.735,30
304.667,26
305.688,22
306.566,0
307.492,0
308.662,0
309.541,0
310.470,44
311.637,57
312.513,70
313.680,80
314.610,69
315.776,67
316.414,66
317.583,58
318.609,55
319.387,48
320.658,37
321.483,31
322.361,0
323.532,3
324.465,0
325.335,0
326.599,0
327.431,25
328.308,30
329.479,38
330.502,48
331.331,47
332.699,41
333.380,36
334.405,32
335.426,52
336.353,54
337.421,42
338.451,48
339.328,67
340.496,66
341.475,62
342.355,58
343.178,52
344.396,53
345.567,55
346.346,57
347.371,57
348.391,50
349.280,59
350.780,61
351.221,35
352.101,0
353.320,30
354.197,30
355.238,55
356.293,41
357.169,30
358.146,0
359.338,0
360.145,19
361.070,0
362.239,0
363.117,0
364.045,0
365.213,21
366.187,0
367.165,0
368.284,29
369.064,25
370.036,33
371.160,34
372.334,21
372.966,22
374.136,28
375.065,0
376.083,0
377.157,0
378.036,0
378.960,0
380.520,45
381.018,44
381.885,37
383.057,27
384.128,31
384.861,66
386.321,32
387.295,32
387.878,29
389.049,0
389.929,0
390.859,0
391.976,17
393.198,21
393.780,28
395.000,2
395.876,33
396.900,0
397.927,36
398.900,4
399.728,14
400.946,0
401.824,0
402.701,34
404.015,0
404.798,1
405.675,0
406.894,0
407.824,0
408.650,12
410.065,6
410.791,6
411.623,0
413.088,17
413.768,38
414.597,62
415.819,66
416.787,69
417.619,43
418.837,0
419.667,0
420.641,0
421.788,0
422.783,0
423.718,0
