df_hash,22ZHK4.WCZFFA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XKHD
person_label,V44
date_time_start,2025-10-27_14-47-56.312000_+03
date_time_start_unix,1761562076.312
date_time_end,2025-10-27_14-56-44.155000_+03
length_difference_noticed,no

time,ppg_quality
57.862,74
58.872,73
60.892,74
62.912,75
64.932,79
66.952,79
68.962,78
70.982,76
71.992,75
74.012,76
76.032,76
78.052,76
80.072,78
82.092,77
83.102,75
85.122,74
86.132,74
87.142,74
89.162,73
90.172,72
91.182,72
93.202,75
94.212,76
96.232,78
98.252,79
100.272,77
101.272,75
102.282,75
103.292,75
104.302,74
105.312,72
107.332,71
108.342,69
109.352,65
111.372,63
113.392,62
114.402,62
115.412,62
116.422,61
117.432,61
118.442,63
120.462,73
122.482,76
123.492,75
124.502,75
125.512,75
126.522,76
129.552,76
131.572,75
133.582,76
134.592,76
135.602,77
137.622,76
138.632,75
140.652,76
142.672,76
143.682,75
144.692,74
146.712,74
148.732,65
151.762,61
153.782,61
154.792,63
155.802,60
157.822,63
159.842,69
161.862,69
162.872,69
164.892,66
166.912,66
168.932,68
170.952,68
171.962,68
172.972,66
173.982,67
176.002,69
178.022,66
180.042,56
182.062,60
185.092,67
186.102,68
187.112,68
189.132,79
190.142,83
191.152,80
192.162,80
193.172,78
196.202,76
198.222,75
200.242,75
202.262,75
203.272,76
204.282,76
205.292,75
207.312,70
209.332,71
211.352,68
213.372,66
215.392,67
216.402,69
218.422,72
220.442,73
222.462,77
224.482,76
226.502,75
228.522,77
229.532,75
231.552,73
233.572,74
235.592,76
237.612,73
239.632,88
240.642,84
242.662,70
243.672,67
244.682,68
246.702,76
248.722,49
249.732,44
250.742,50
251.752,59
253.772,64
254.782,66
255.792,60
257.812,52
258.822,56
260.842,60
261.852,62
262.862,67
264.882,52
266.902,51
268.922,53
269.932,52
271.952,49
272.962,41
273.972,49
275.992,56
278.012,65
280.032,66
282.052,53
283.062,50
284.072,38
285.082,31
287.102,25
289.122,7
291.142,1
293.162,3
295.182,14
296.192,20
297.202,23
298.212,34
300.232,50
302.252,61
303.262,68
305.282,71
306.292,76
307.302,72
309.322,71
311.342,76
313.362,79
315.382,85
316.392,81
317.402,82
318.412,76
320.432,67
322.452,46
323.462,31
324.472,28
326.492,33
328.512,34
329.522,30
331.542,19
332.552,18
333.562,16
342.652,21
344.672,35
345.682,38
346.692,33
348.712,38
350.732,39
351.742,31
352.752,25
355.782,40
356.792,40
357.802,43
359.822,30
360.832,35
361.842,42
362.852,56
363.862,50
364.872,48
366.892,41
368.912,33
370.932,53
372.952,45
373.962,51
374.972,60
375.982,71
376.992,69
378.002,65
380.022,43
382.042,29
383.052,31
384.062,20
385.072,9
386.082,8
388.102,16
389.112,20
390.122,29
391.132,31
393.152,25
395.172,31
397.192,29
398.202,32
399.212,26
402.242,27
403.252,42
405.272,31
406.282,28
408.302,29
409.312,43
411.332,49
412.342,45
413.352,42
415.372,65
417.392,71
419.412,77
422.442,74
424.462,39
426.482,23
428.502,15
430.522,10
431.532,14
433.552,20
434.562,22
435.572,28
437.592,33
439.612,8
441.632,16
443.652,8
445.672,19
446.682,14
449.712,19
450.722,13
451.732,13
452.742,21
454.762,31
456.782,35
458.802,60
459.812,67
460.822,71
461.832,75
463.852,75
465.872,72
466.882,71
467.892,70
469.912,75
470.922,77
471.932,77
472.942,76
474.962,75
475.972,74
477.992,72
479.002,67
480.012,63
482.032,55
483.042,54
484.052,55
486.072,61
488.092,63
490.112,77
492.132,80
494.152,82
495.162,79
497.182,79
499.202,78
501.222,70
503.242,70
505.262,53
506.272,47
507.282,44
508.292,32
509.302,55
510.312,45
511.322,47
512.332,52
514.352,46
516.372,53
518.392,60
520.412,32
523.442,43
524.452,52
