df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,omega
32.959,0.553
35.985,0.544
36.569,0.553
37.399,0.562
38.660,0.553
39.540,0.544
40.226,0.540
40.905,0.544
41.585,0.548
43.050,0.544
46.654,0.548
48.897,0.540
49.736,0.543
50.217,0.545
50.941,0.556
52.699,0.556
54.018,0.545
54.706,0.556
55.434,0.550
56.166,0.545
57.043,0.537
57.630,0.537
58.355,0.534
60.747,0.534
61.292,0.531
61.675,0.535
64.260,0.536
65.134,0.531
66.600,0.531
67.182,0.536
67.815,0.536
70.785,0.536
71.663,0.536
73.712,0.539
74.689,0.536
75.175,0.536
76.105,0.542
78.204,0.542
80.195,0.537
81.611,0.542
83.123,0.542
84.636,0.542
85.221,0.542
85.950,0.538
87.751,0.538
91.014,0.538
92.584,0.538
94.921,0.538
104.719,0.538
107.498,0.538
108.277,0.537
116.180,0.537
117.680,0.536
117.743,0.534
119.728,0.534
120.514,0.534
121.196,0.527
122.318,0.516
125.583,0.516
127.058,0.510
129.246,0.507
129.971,0.510
131.342,0.507
136.602,0.499
137.188,0.507
138.016,0.507
138.747,0.510
139.576,0.510
140.258,0.507
141.331,0.507
141.730,0.510
142.503,0.512
146.352,0.514
147.620,0.514
148.346,0.512
149.081,0.514
149.862,0.514
150.635,0.514
151.195,0.514
151.954,0.515
152.787,0.516
153.470,0.518
154.346,0.520
155.089,0.522
156.642,0.520
157.221,0.520
158.052,0.522
161.076,0.522
163.268,0.522
164.878,0.522
166.976,0.522
167.800,0.520
169.177,0.520
170.825,0.522
172.636,0.522
175.017,0.520
176.573,0.521
177.311,0.522
178.088,0.524
179.840,0.524
180.966,0.524
181.696,0.522
182.525,0.521
186.425,0.519
192.031,0.521
192.909,0.521
194.958,0.521
196.477,0.522
197.341,0.522
197.835,0.522
200.129,0.522
201.095,0.525
201.849,0.525
204.804,0.525
207.781,0.528
208.405,0.532
209.143,0.536
209.968,0.532
210.754,0.536
211.583,0.537
212.310,0.539
213.136,0.540
216.850,0.542
217.673,0.542
218.258,0.543
221.280,0.543
222.013,0.546
222.694,0.546
224.057,0.546
224.788,0.546
225.668,0.548
226.345,0.550
227.082,0.550
227.856,0.552
243.551,0.558
247.706,0.567
253.274,0.573
263.739,0.573
264.280,0.573
265.843,0.573
266.564,0.574
267.938,0.574
269.982,0.573
272.323,0.584
279.925,0.597
283.198,0.597
289.103,0.597
304.938,0.602
308.622,0.607
319.219,0.612
321.122,0.619
444.899,0.659
446.361,0.654
447.330,0.641
448.699,0.630
452.747,0.630
456.556,0.625
457.424,0.618
460.113,0.619
460.988,0.628
463.228,0.628
465.431,0.628
466.901,0.619
467.569,0.619
468.296,0.613
468.442,0.613
474.730,0.601
475.416,0.592
476.337,0.601
477.072,0.592
481.949,0.590
482.777,0.575
483.467,0.561
484.584,0.575
485.950,0.577
486.824,0.577
