df_hash,22ZHK4.S8VSPF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9DLG
person_label,V46
date_time_start,2025-10-27_15-17-34.481000_+03
date_time_start_unix,1761563854.481
date_time_end,2025-10-27_15-25-50.085000_+03
length_difference_noticed,no

time,quality
19.638,100
20.466,100
21.756,100
22.609,0
23.490,0
25.049,0
25.537,62
26.710,79
27.683,86
28.545,92
29.389,89
30.859,80
31.531,77
32.413,79
33.731,70
34.652,62
35.363,79
36.701,85
37.482,88
38.359,90
39.578,85
40.481,79
41.721,84
42.579,81
43.430,73
44.308,81
45.477,86
46.405,84
47.281,83
48.498,82
49.470,84
50.351,86
51.518,84
52.596,88
53.471,90
54.736,85
55.448,84
56.431,89
57.517,91
58.343,87
59.328,85
60.443,88
61.369,89
62.243,89
63.368,85
64.293,80
65.266,77
66.438,79
67.459,81
68.199,86
69.316,86
70.312,85
71.171,84
72.388,85
73.455,84
74.095,82
75.406,80
76.239,81
77.066,84
78.330,89
79.208,85
80.383,82
81.402,86
82.136,87
83.361,86
84.233,89
85.256,89
86.426,87
87.207,84
88.327,83
89.010,85
90.229,86
91.145,84
92.034,85
93.203,86
94.129,89
94.963,85
96.229,85
97.064,86
98.026,84
99.494,70
100.030,65
101.006,56
102.173,39
103.096,30
103.977,37
105.100,38
106.074,42
107.193,62
108.073,74
108.951,81
109.969,83
111.121,82
112.164,85
113.092,86
114.019,80
115.137,83
115.823,83
117.044,82
117.970,85
118.847,87
120.062,86
120.893,81
121.842,78
122.989,78
123.867,79
124.792,80
126.360,84
126.842,86
127.767,86
128.938,87
129.818,85
130.743,83
131.956,80
132.790,82
133.714,82
134.884,82
135.807,82
136.688,81
137.858,78
139.076,83
139.663,82
140.977,79
141.760,79
142.781,84
143.906,83
145.223,84
145.706,87
147.270,86
147.900,85
148.631,79
149.806,81
150.822,84
151.579,83
152.781,81
153.658,88
154.871,89
155.751,89
156.627,80
157.793,83
158.769,84
159.896,83
160.527,83
161.843,85
162.623,70
163.503,45
164.671,40
165.691,32
166.474,43
168.085,30
168.570,35
169.450,42
170.719,78
171.544,84
172.422,79
173.640,82
174.758,83
175.444,83
176.709,82
177.492,85
178.512,87
179.634,84
180.611,81
181.684,78
182.566,79
183.441,79
184.606,81
185.537,82
186.754,80
187.385,84
188.554,85
189.436,79
190.359,81
191.483,83
192.409,81
193.287,82
194.457,84
195.383,81
196.261,81
197.529,82
198.368,81
199.380,81
200.453,85
201.331,86
202.256,81
203.454,82
204.312,86
205.377,83
206.595,83
207.278,83
208.396,80
209.375,77
210.350,80
211.180,83
212.348,82
213.227,84
214.247,78
215.368,69
216.343,63
217.172,29
218.296,32
219.365,30
220.100,30
221.318,0
222.242,0
223.074,0
224.317,0
225.172,37
226.336,37
227.266,32
228.144,41
229.070,29
230.240,39
231.117,54
232.046,44
233.220,46
234.136,58
235.019,52
236.189,52
237.065,51
237.991,47
239.163,23
240.088,0
241.060,3
242.135,14
243.305,9
243.939,2
245.200,0
246.035,0
246.957,21
248.090,24
249.203,37
250.127,27
251.151,27
251.983,20
252.906,33
254.078,26
254.957,20
255.834,32
257.052,24
258.073,38
258.999,55
260.123,45
260.904,43
261.830,42
263.000,44
263.882,39
264.806,27
266.009,35
266.851,31
267.827,29
269.142,25
270.218,21
270.751,32
271.922,0
272.847,0
273.725,0
274.897,0
275.824,0
276.747,2
277.917,0
278.890,38
279.673,30
280.891,34
281.769,31
282.669,24
283.867,26
284.755,31
285.620,0
286.841,30
287.716,24
288.643,24
289.817,26
290.858,22
291.812,31
292.787,22
293.907,0
294.590,0
295.762,0
296.732,0
297.661,32
298.733,33
299.660,30
300.537,0
301.951,42
302.777,47
303.814,44
304.731,59
305.608,44
306.485,23
307.709,28
308.630,22
309.507,29
310.680,29
311.581,22
312.481,29
313.797,0
314.536,1
315.601,0
316.625,0
317.503,12
318.526,9
319.598,20
320.564,6
321.403,0
322.596,0
323.501,0
324.473,21
325.549,0
326.473,23
327.351,38
328.570,36
329.447,0
330.324,0
331.546,36
332.463,38
333.298,0
334.520,0
335.686,29
336.366,29
337.491,28
338.706,46
339.245,52
340.468,52
341.345,28
342.313,31
343.487,28
344.316,26
345.531,21
346.411,36
347.387,23
348.216,26
349.827,0
350.363,27
351.335,0
352.554,26
353.385,22
354.165,21
355.333,0
356.261,0
357.139,45
358.309,51
359.237,58
360.115,67
361.354,73
362.287,76
363.086,67
364.305,52
365.182,47
366.299,42
367.278,23
368.196,25
369.032,30
370.345,25
371.129,28
372.151,20
373.224,0
374.248,0
375.031,0
376.375,0
377.322,0
378.003,0
379.172,0
380.098,19
380.984,0
382.146,38
383.073,36
383.949,33
385.120,0
386.046,44
387.167,53
388.095,42
389.020,44
389.943,29
391.116,31
391.994,0
392.878,0
394.090,0
394.968,30
395.845,3
397.390,30
397.990,31
398.867,19
400.232,23
400.915,18
401.889,24
403.157,23
403.888,28
405.110,0
406.228,22
406.911,0
407.788,0
408.959,0
409.885,26
410.770,27
411.932,28
412.858,29
413.737,29
414.957,0
415.834,0
416.714,0
417.953,0
418.808,20
419.687,19
420.905,32
421.826,0
422.801,0
423.878,23
424.770,32
425.683,0
427.091,0
427.730,33
428.656,34
429.828,38
430.749,30
431.629,46
432.843,42
433.772,34
