df_hash,22ZHK4.S8VSPF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9DLG
person_label,V46
date_time_start,2025-10-27_15-17-34.481000_+03
date_time_start_unix,1761563854.481
date_time_end,2025-10-27_15-25-50.085000_+03
length_difference_noticed,no

time,rr_int
21.380,4030
22.121,1830
22.616,835
22.806,545
23.097,10
23.584,400
24.023,500
25.058,440
25.973,985
27.001,970
27.777,935
28.800,910
29.488,890
30.313,810
31.384,825
32.069,885
33.063,955
34.088,990
35.041,955
35.967,940
36.845,920
37.674,940
38.501,875
39.477,830
40.257,855
41.134,880
42.109,930
43.084,935
44.011,950
44.937,945
45.717,910
46.795,855
47.521,895
48.349,915
49.324,880
50.359,950
51.274,970
52.192,935
52.931,880
53.906,875
54.743,900
55.733,900
56.981,875
57.761,890
58.347,935
59.416,935
60.172,880
61.121,900
61.951,920
62.828,905
63.706,815
64.583,820
65.314,840
66.387,905
67.118,900
67.946,880
68.921,920
69.753,905
70.628,900
71.506,820
72.437,865
73.463,895
74.236,915
75.214,935
76.042,960
77.015,925
77.892,885
78.820,885
79.683,915
80.480,885
81.513,865
82.328,900
82.385,885
83.368,10
84.182,860
84.937,905
85.790,930
86.716,875
87.642,875
88.665,925
89.468,890
90.274,860
91.200,905
92.078,885
92.859,845
93.735,850
94.568,885
94.580,845
95.345,10
96.349,840
97.245,900
97.538,910
98.032,300
98.510,545
99.001,320
99.244,600
99.250,180
99.293,55
99.740,15
100.463,525
100.468,700
101.292,10
101.493,750
101.782,270
101.877,15
102.950,440
103.827,960
104.656,990
105.634,900
106.508,895
107.464,920
108.166,840
109.239,880
109.975,920
110.947,855
111.627,850
112.461,875
113.431,855
114.260,860
115.142,900
116.063,900
116.941,865
117.867,905
118.697,935
119.573,860
120.552,880
121.475,925
122.352,955
123.376,905
124.302,945
125.179,945
125.963,885
126.934,915
127.910,935
128.739,890
129.567,875
130.542,915
131.372,895
132.350,895
133.321,940
134.150,945
135.124,895
136.003,935
136.782,865
137.611,840
138.440,890
139.317,855
140.243,860
141.174,900
141.950,865
142.924,880
143.753,915
144.731,915
145.557,915
146.533,920
147.361,875
148.190,845
149.018,885
149.993,895
150.828,890
151.798,895
152.675,910
153.457,870
154.430,885
155.282,900
156.088,840
156.970,825
157.801,875
158.623,895
159.451,820
160.426,875
161.255,895
161.405,850
161.573,230
161.578,10
161.596,15
161.600,10
162.084,10
162.669,655
163.643,545
164.326,930
165.009,635
165.696,740
166.666,770
167.644,960
168.470,915
169.595,915
170.322,925
171.151,870
171.980,845
172.955,890
173.930,930
174.766,905
175.734,915
176.714,980
177.543,925
178.520,885
179.341,910
180.170,840
180.998,875
182.005,910
182.802,930
183.632,870
184.614,870
185.435,915
186.313,875
187.141,840
188.117,875
188.945,875
189.776,835
190.602,865
191.431,900
192.262,860
193.235,835
194.064,870
194.893,870
195.770,830
196.579,860
197.427,900
198.403,870
199.280,855
200.060,900
200.889,880
201.864,855
202.692,890
203.570,890
204.350,860
205.179,855
206.183,850
207.130,895
207.958,965
208.936,915
209.762,880
210.737,940
211.711,960
212.540,915
213.469,895
214.251,875
214.636,870
215.076,300
216.196,525
216.348,1100
216.586,345
217.854,875
218.000,490
218.004,35
218.051,15
218.055,15
218.268,15
219.121,250
219.370,875
219.804,150
220.633,595
222.046,805
222.290,1415
222.349,310
223.564,500
224.240,710
225.069,735
225.901,765
226.341,820
226.727,510
227.604,350
228.433,885
229.311,865
230.090,840
230.929,820
231.748,750
232.479,855
233.405,750
234.283,930
234.819,890
235.112,565
235.358,255
235.794,240
236.623,520
237.744,765
238.037,1140
238.866,275
239.402,930
241.065,470
241.742,1655
243.314,720
243.546,1520
244.813,295
244.817,1280
245.133,10
245.155,260
245.401,15
245.934,340
246.081,510
246.373,140
246.763,210
247.592,530
248.275,755
249.541,695
250.133,1295
250.810,585
251.345,660
252.028,565
253.149,770
253.154,1015
253.296,10
253.734,230
253.737,375
253.786,15
253.789,25
253.832,10
253.835,30
253.886,10
254.284,10
255.128,485
255.684,765
256.513,675
257.195,750
258.082,730
259.005,775
259.536,1075
259.682,530
259.688,160
259.732,35
261.096,10
261.339,1270
261.632,305
262.464,350
262.900,795
263.045,620
264.273,935
264.752,270
265.532,465
265.970,755
266.946,525
267.189,895
267.195,250
267.338,40
267.774,10
268.164,610
269.725,370
270.456,1520
271.677,700
272.064,1255
273.576,410
274.550,1590
275.428,1025
275.967,815
276.112,660
277.622,715
278.895,800
279.575,1300
281.083,665
281.964,1590
283.180,835
284.447,1275
284.453,1200
284.495,50
284.503,10
284.508,15
284.647,20
284.983,35
286.397,515
286.402,1400
287.616,15
288.200,1135
288.204,620
288.252,20
288.493,245
290.877,1520
290.979,870
290.985,130
293.466,1315
294.051,1225
294.295,520
295.124,305
295.562,820
296.245,435
296.738,720
297.074,350
297.809,465
298.049,710
298.878,285
299.608,800
299.611,720
300.291,10
301.127,760
301.956,780
302.782,805
303.508,830
304.337,795
305.459,855
305.849,1095
306.531,345
307.262,805
308.481,675
308.920,1180
309.922,420
310.285,1040
311.162,445
312.527,845
314.044,1330
314.769,1515
314.773,775
315.606,10
316.719,665
317.946,1205
318.087,1340
318.426,10
319.206,370
320.589,850
321.841,1395
322.134,1140
322.424,450
323.109,250
