df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,battery
11.553,19
21.547,19
31.567,19
41.534,19
51.533,19
61.522,19
71.614,19
81.551,19
91.552,18
101.545,18
111.540,18
121.534,18
131.527,18
141.524,18
151.515,18
161.508,18
171.502,18
181.545,18
191.539,18
201.532,18
211.526,18
221.520,18
231.514,18
241.508,18
251.606,18
261.496,18
271.490,18
281.532,18
291.526,18
301.520,18
311.563,18
321.605,17
331.502,17
341.545,17
351.490,17
361.485,17
371.526,17
381.520,17
391.514,17
401.508,17
411.502,17
421.496,17
431.587,17
441.483,17
451.480,17
461.617,17
471.465,17
481.509,17
