df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.901,212,74,2
6.317,286,74,3
6.583,360,74,4
7.022,434,74,5
7.411,508,74,6
7.704,576,68,7
8.143,647,71,8
8.387,721,74,9
8.843,795,74,10
9.215,869,74,11
9.508,943,74,12
9.947,1017,74,13
10.190,1091,74,14
10.629,1165,74,15
11.019,1239,74,16
11.312,1313,74,17
11.754,1387,74,18
12.141,1461,74,19
12.433,1535,74,20
12.871,1609,74,21
13.262,1683,74,22
13.554,1757,74,23
13.944,1831,74,24
14.383,1905,74,25
14.675,1979,74,26
15.065,2053,74,27
15.359,2127,74,28
15.748,2201,74,29
16.194,2275,74,30
16.479,2349,74,31
16.869,2423,74,32
17.308,2497,74,33
17.552,2571,74,34
18.041,2645,74,35
18.429,2719,74,36
18.675,2793,74,37
19.112,2867,74,38
19.502,2941,74,39
19.794,3015,74,40
20.233,3089,74,41
20.477,3163,74,42
20.920,3237,74,43
21.305,3311,74,44
21.598,3385,74,45
22.037,3459,74,46
22.427,3533,74,47
22.741,3607,74,48
23.158,3681,74,49
23.548,3755,74,50
23.841,3829,74,51
24.233,3903,74,52
24.671,3977,74,53
25.010,4051,74,54
25.356,4125,74,55
25.644,4199,74,56
26.034,4273,74,57
26.473,4347,74,58
26.768,4421,74,59
27.155,4495,74,60
27.594,4569,74,61
27.888,4643,74,62
28.277,4717,74,63
28.715,4791,74,64
28.959,4865,74,65
29.398,4939,74,66
29.791,5013,74,67
30.086,5087,74,68
30.522,5161,74,69
30.763,5235,74,70
31.202,5309,74,71
31.640,5383,74,72
31.887,5457,74,73
32.323,5531,74,74
32.713,5605,74,75
33.005,5679,74,76
33.444,5753,74,77
33.835,5827,74,78
34.127,5901,74,79
34.517,5975,74,80
34.955,6049,74,81
35.248,6123,74,82
35.644,6197,74,83
35.938,6271,74,84
36.369,6345,74,85
36.769,6419,74,86
37.052,6493,74,87
37.442,6567,74,88
37.885,6641,74,89
38.222,6715,74,90
38.565,6789,74,91
39.002,6863,74,92
39.294,6937,74,93
39.691,7011,74,94
40.124,7085,74,95
40.367,7159,74,96
40.806,7233,74,97
41.101,7307,74,98
41.497,7381,74,99
41.976,7455,74,100
42.219,7529,74,101
42.657,7603,74,102
43.048,7677,74,103
43.292,7751,74,104
43.732,7825,74,105
44.121,7899,74,106
44.413,7973,74,107
