df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,quality
23.987,50
24.767,50
25.939,39
26.817,37
27.752,49
28.911,70
30.080,66
30.714,66
32.031,62
32.811,49
33.689,64
34.860,64
35.796,63
36.762,63
37.881,81
38.759,74
39.684,74
40.856,80
41.732,80
42.710,57
43.844,48
44.706,40
45.633,34
47.048,31
47.680,35
48.606,37
49.776,25
50.948,53
51.581,36
52.751,38
53.678,33
54.554,31
55.725,31
56.650,26
57.624,53
58.745,69
59.623,69
60.501,64
61.734,61
62.649,60
63.620,67
64.693,78
65.571,80
66.449,88
67.670,86
68.548,85
69.446,81
70.643,83
71.521,85
72.637,57
73.758,43
74.494,44
75.372,42
76.634,40
77.466,39
78.394,71
79.566,85
80.635,81
81.367,75
82.538,75
83.462,81
84.340,84
85.512,76
86.436,67
87.313,73
88.525,71
89.601,65
90.287,77
91.457,78
92.529,77
93.261,79
94.506,85
95.357,71
96.332,63
97.453,67
98.477,71
99.209,68
100.621,77
101.410,70
102.184,68
103.402,73
104.278,67
105.458,66
106.375,79
107.547,68
108.130,66
109.349,63
110.226,63
111.153,66
112.322,68
113.200,71
114.127,74
115.298,73
116.417,73
117.100,69
118.271,74
119.245,76
120.077,69
121.292,73
122.170,66
123.049,68
124.259,60
125.145,43
126.265,39
127.192,41
128.119,39
128.997,37
130.214,52
131.093,67
131.971,70
133.190,79
134.069,74
134.942,77
136.163,73
137.041,65
137.917,34
139.137,40
140.012,58
140.938,64
142.109,41
142.994,44
143.912,71
145.474,68
145.962,73
146.887,74
148.059,79
148.935,70
149.905,75
151.325,65
151.956,67
153.126,70
154.003,66
154.931,55
155.856,37
157.270,41
158.001,26
158.782,32
160.193,51
160.877,54
161.849,60
162.974,31
164.143,40
164.729,44
165.993,44
167.117,39
167.704,48
169.022,65
169.799,71
170.678,74
172.285,73
172.773,69
173.695,74
174.869,72
175.897,64
176.673,63
177.843,65
178.721,66
179.647,66
180.833,63
181.693,63
182.863,62
183.984,54
184.677,60
185.594,69
187.007,75
187.690,81
188.569,83
189.737,80
190.691,83
191.587,83
192.859,79
193.934,41
194.515,29
195.741,42
196.612,48
197.489,36
198.710,53
199.585,78
200.463,65
202.022,42
202.561,29
203.629,43
204.655,72
205.631,68
206.556,28
207.877,25
208.508,24
209.632,31
210.604,24
211.482,28
212.410,52
213.577,52
214.457,55
215.380,43
216.596,42
217.428,43
218.356,51
219.524,55
220.452,52
221.328,43
222.498,48
223.424,34
224.302,27
225.520,30
226.638,49
227.276,35
228.642,41
229.372,52
230.571,55
231.468,50
232.350,0
233.225,0
234.634,31
235.319,36
236.197,35
237.416,44
238.294,25
239.211,31
240.390,40
241.267,29
242.193,26
243.366,25
244.287,25
245.169,25
246.383,19
247.241,29
248.142,42
249.601,40
250.239,36
251.143,0
252.627,0
253.211,0
254.089,0
255.260,8
256.185,0
257.063,0
258.327,0
259.353,27
260.082,26
261.255,40
262.132,64
263.011,60
264.229,57
265.154,56
265.988,82
267.203,95
268.152,85
268.958,57
270.271,56
271.054,21
271.980,29
273.198,32
274.030,27
274.956,0
276.152,34
277.008,0
277.974,9
279.098,16
280.024,0
280.935,0
282.264,0
282.999,0
283.875,0
285.105,0
285.972,16
286.944,16
288.068,18
288.950,0
289.917,13
291.045,26
291.965,27
292.843,25
294.018,39
294.968,51
295.821,48
297.385,52
298.107,33
298.793,29
300.301,27
300.843,18
301.770,26
302.940,28
303.863,37
304.790,41
305.911,45
306.980,44
307.718,46
309.226,55
309.811,57
310.981,55
311.907,55
312.785,58
313.662,59
314.881,34
316.050,28
316.636,44
317.855,54
318.732,29
319.804,29
320.828,33
321.998,28
322.678,0
323.810,28
324.681,27
325.606,26
326.778,0
327.702,20
328.593,24
329.760,27
330.773,29
331.553,34
332.808,38
333.650,52
334.552,55
335.746,35
336.672,32
337.501,41
338.720,40
339.597,43
340.524,44
341.694,48
342.571,72
343.498,86
344.668,84
345.595,82
346.614,83
347.739,80
348.617,82
349.547,77
350.660,83
351.541,73
352.419,62
353.635,64
354.515,71
355.420,74
356.621,43
357.586,30
358.368,0
359.600,0
360.463,27
361.386,29
362.605,29
363.437,27
364.409,51
365.539,43
366.410,35
367.337,40
368.506,46
369.384,44
370.312,45
371.482,29
372.409,27
373.333,47
374.456,44
375.385,39
376.258,39
377.527,49
378.594,57
379.278,52
380.594,55
381.328,47
382.208,45
383.424,47
384.448,52
385.181,52
386.400,47
387.278,45
388.494,41
389.373,39
390.251,37
391.178,28
392.345,25
393.300,23
394.150,22
395.465,0
396.298,45
397.269,67
398.293,71
399.265,47
400.098,32
401.317,52
402.243,70
403.074,58
404.289,61
405.460,67
406.047,66
407.264,56
408.384,61
409.067,69
410.238,76
411.115,45
412.041,25
413.211,0
414.089,0
415.015,0
416.186,24
417.111,0
417.989,26
419.350,32
420.111,44
420.964,53
422.327,38
423.062,33
424.082,31
425.155,33
426.032,32
426.911,33
428.129,34
429.007,32
429.889,25
431.540,23
431.982,22
432.906,0
434.076,22
435.051,0
435.930,0
437.054,26
438.025,27
438.854,0
