df_hash,22ZHK4.U7GHWZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BXYU
person_label,V51
date_time_start,2025-10-30_18-20-01.333000_+03
date_time_start_unix,1761834001.333
date_time_end,2025-10-30_18-28-49.664000_+03
length_difference_noticed,no

time,acc_mag
4.458,1.025
4.488,1.032
4.518,1.031
4.548,1.028
4.578,1.035
4.608,1.025
4.638,1.037
4.668,1.033
4.698,1.026
4.728,1.027
4.758,1.029
4.788,1.034
4.818,1.032
4.848,1.029
4.878,1.030
4.908,1.033
4.938,1.033
4.968,1.029
4.998,1.027
5.028,1.033
5.058,1.037
5.088,1.036
5.118,1.026
5.148,1.027
5.178,1.029
5.208,1.031
5.238,1.028
5.268,1.030
5.298,1.022
5.328,1.038
5.358,1.033
5.388,1.023
5.418,1.028
5.448,1.033
5.478,1.033
5.508,1.029
5.538,1.032
5.568,1.028
5.598,1.034
5.628,1.029
5.658,1.022
5.688,1.023
5.718,1.033
5.748,1.030
5.778,1.048
5.808,1.033
5.838,1.022
5.868,1.036
5.898,1.035
5.928,1.030
5.958,1.023
5.988,1.036
6.018,1.028
6.048,1.044
6.078,1.027
6.108,1.013
6.138,1.032
6.168,1.036
6.198,1.032
6.228,1.039
6.258,1.032
6.288,1.031
6.318,1.024
6.348,1.016
6.378,1.021
6.408,1.027
6.438,1.030
6.468,1.022
6.498,1.013
6.528,1.033
6.558,1.025
6.588,1.019
6.618,1.029
6.648,1.026
6.678,1.024
6.708,1.030
6.738,1.025
6.768,1.025
6.798,1.032
6.828,1.028
6.858,1.025
6.888,1.027
6.918,1.029
6.948,1.027
6.978,1.033
7.008,1.030
7.038,1.025
7.068,1.032
7.098,1.022
7.128,1.021
7.158,1.027
7.188,1.024
7.218,1.021
7.248,1.032
7.278,1.024
7.308,1.036
7.338,1.030
7.368,1.026
7.398,1.028
7.428,1.026
7.458,1.023
7.488,1.029
7.518,1.027
7.548,1.018
7.578,1.023
7.608,1.018
7.638,1.033
7.668,1.036
7.698,1.021
7.728,1.045
7.758,1.038
7.788,1.039
7.818,1.016
7.848,0.977
7.878,1.018
7.908,1.028
7.938,1.043
7.968,1.047
7.998,1.039
8.028,1.036
8.058,1.014
8.088,0.995
8.118,1.022
8.148,1.030
8.178,1.030
8.208,1.040
8.238,1.039
8.268,1.037
8.298,1.040
8.328,1.037
8.358,1.038
8.388,1.033
8.418,1.034
8.448,1.016
8.478,1.014
8.508,1.035
8.538,1.043
8.568,1.037
8.598,1.037
8.628,1.029
8.658,1.026
8.688,1.029
8.718,1.025
8.748,1.031
8.778,1.028
8.808,1.023
8.838,1.028
8.868,1.033
8.898,1.034
8.928,1.040
8.958,1.024
8.988,1.021
9.018,1.034
9.048,1.035
9.078,1.029
9.108,1.026
9.138,1.033
9.168,1.032
9.198,1.037
9.228,1.026
9.258,1.023
9.288,1.030
9.318,1.031
9.348,1.031
9.378,1.029
9.408,1.029
9.438,1.028
9.468,1.028
9.498,1.033
9.528,1.033
9.558,1.036
9.588,1.029
9.618,1.031
9.648,1.023
9.678,1.034
9.708,1.029
9.738,1.030
9.768,1.036
9.798,1.035
9.828,1.031
9.858,1.027
9.888,1.028
9.918,1.031
9.948,1.034
9.978,1.025
10.008,1.031
10.038,1.031
10.068,1.029
10.098,1.033
10.128,1.032
10.158,1.028
10.188,1.027
10.218,1.034
10.248,1.035
10.278,1.034
10.308,1.028
10.338,1.031
10.368,1.026
10.398,1.034
10.428,1.030
10.458,1.026
10.488,1.033
10.518,1.033
10.548,1.029
10.578,1.035
10.608,1.028
10.638,1.025
10.668,1.033
10.698,1.036
10.728,1.024
10.758,1.023
10.788,1.030
10.818,1.028
10.848,1.030
10.878,1.033
10.908,1.028
10.938,1.032
10.968,1.028
10.998,1.033
11.028,1.030
11.058,1.029
11.088,1.033
11.118,1.034
11.148,1.031
11.178,1.028
11.208,1.029
11.238,1.034
11.268,1.031
11.298,1.030
11.328,1.032
11.358,1.030
11.388,1.037
11.418,1.034
11.448,1.027
11.478,1.030
11.508,1.036
11.538,1.037
11.568,1.034
11.598,1.031
11.628,1.030
11.658,1.031
11.688,1.031
11.718,1.026
11.748,1.025
11.778,1.030
11.808,1.029
11.838,1.037
11.868,1.025
11.898,1.028
11.928,1.031
11.958,1.036
11.988,1.031
12.018,1.027
12.048,1.030
12.078,1.036
12.108,1.038
12.138,1.031
12.168,1.024
12.198,1.025
12.228,1.031
12.258,1.033
12.288,1.029
12.318,1.026
12.348,1.048
12.378,1.033
12.408,1.029
12.438,1.028
12.468,1.027
12.498,1.032
12.528,1.030
12.558,1.028
12.588,1.026
12.618,1.028
12.648,1.032
12.678,1.028
12.708,1.031
12.738,1.023
12.768,1.037
12.798,1.033
12.828,1.026
12.858,1.030
12.888,1.032
12.918,1.027
12.948,1.032
12.978,1.028
13.008,1.030
13.038,1.032
13.068,1.033
13.098,1.032
13.128,1.032
13.158,1.023
13.188,1.036
13.218,1.031
13.248,1.029
13.278,1.028
13.308,1.031
13.338,1.034
13.368,1.035
13.398,1.029
13.428,1.024
13.458,1.040
13.488,1.030
13.518,1.029
13.548,1.025
13.578,1.031
13.608,1.031
13.638,1.032
13.668,1.025
13.698,1.029
13.728,1.032
13.758,1.031
13.788,1.030
13.818,1.029
