df_hash,22ZHK4.U7GHWZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BXYU
person_label,V51
date_time_start,2025-10-30_18-20-01.333000_+03
date_time_start_unix,1761834001.333
date_time_end,2025-10-30_18-28-49.664000_+03
length_difference_noticed,no

time,quality
15.525,50
16.744,70
17.622,66
18.502,66
19.716,75
20.593,75
21.766,79
22.739,79
23.568,83
24.446,30
25.664,22
26.541,25
27.468,0
28.638,0
29.544,0
30.444,0
31.616,0
32.490,0
33.415,29
34.585,55
35.511,77
36.389,81
37.559,82
38.486,81
39.362,74
40.931,64
41.460,64
42.360,63
43.508,60
44.434,71
45.504,75
46.772,75
47.407,72
48.576,64
49.503,65
50.699,71
51.258,68
52.476,58
53.403,66
54.287,70
55.450,69
56.328,64
57.254,70
58.424,68
59.548,74
60.227,78
61.495,82
62.370,84
63.201,80
64.374,84
65.298,82
66.175,84
67.370,81
68.272,84
69.444,88
70.370,87
71.392,86
72.418,86
73.585,87
74.221,85
75.104,77
76.512,83
77.194,82
78.123,79
79.293,78
80.459,76
81.093,45
82.265,22
83.142,0
84.067,0
85.237,0
86.143,0
87.041,0
88.211,50
89.428,64
90.109,83
91.281,81
92.113,81
92.988,73
94.448,49
95.085,37
95.963,38
97.521,44
98.058,38
99.128,42
100.154,45
101.032,52
101.918,46
103.371,67
104.008,80
105.124,85
106.148,84
107.025,84
108.148,78
109.076,76
110.002,75
110.879,76
112.049,84
113.122,91
113.854,92
115.024,82
115.901,71
116.973,79
117.998,77
118.924,65
119.898,57
120.971,68
121.897,80
122.775,82
123.969,70
124.872,72
125.774,81
127.013,79
127.844,76
128.724,75
130.084,81
130.868,84
131.745,83
132.914,85
134.087,87
134.718,90
135.891,87
136.768,84
137.693,85
138.863,82
139.740,84
140.763,84
141.836,83
142.960,78
143.640,82
144.907,85
145.882,79
146.615,75
148.121,81
148.715,82
149.587,87
151.046,86
151.878,86
152.587,90
154.118,87
154.658,90
155.537,88
156.757,88
157.632,87
158.557,85
159.922,80
160.605,82
161.533,79
162.701,78
163.625,77
164.505,77
165.772,75
166.601,69
167.576,67
168.651,78
169.624,79
170.452,71
172.078,73
172.551,83
173.426,81
174.645,75
175.524,79
176.400,87
177.865,86
178.497,84
179.419,87
180.784,86
181.613,88
182.396,72
183.612,61
184.447,59
185.373,55
186.540,55
187.424,55
188.438,67
189.708,82
190.431,82
191.512,84
192.633,81
193.416,86
194.294,80
195.558,77
196.388,77
197.270,87
198.484,83
199.363,83
200.239,84
201.798,77
202.481,80
203.213,78
204.433,74
205.313,75
206.187,84
207.407,83
208.283,84
209.209,85
210.379,75
211.260,78
212.377,77
213.453,78
214.279,75
215.156,80
216.521,87
217.304,86
218.130,80
219.350,80
220.275,82
221.149,78
222.323,78
223.200,82
224.185,84
225.297,78
226.175,80
227.126,73
228.663,75
229.150,72
230.076,43
231.245,39
232.280,40
233.048,45
234.369,47
235.146,44
236.022,46
237.192,52
238.118,34
238.996,35
240.239,34
241.094,28
241.969,0
243.529,5
244.066,30
244.993,0
246.162,0
247.085,0
247.965,0
249.230,0
250.015,30
250.941,27
252.155,27
253.086,3
253.959,0
255.229,36
256.009,41
256.892,51
258.103,60
258.983,56
259.863,60
261.121,62
261.959,58
262.836,49
264.055,45
264.933,44
265.954,36
267.027,36
267.913,35
268.835,39
270.095,37
270.878,39
272.097,42
272.977,19
273.999,21
274.780,0
275.950,0
276.876,2
277.760,0
278.923,33
280.092,39
280.725,51
281.944,61
282.822,78
283.702,78
284.971,68
285.796,76
286.673,87
288.084,85
288.772,84
289.647,83
290.866,82
291.751,66
292.788,42
293.840,42
294.717,43
295.644,41
296.838,34
297.788,44
298.917,71
300.079,60
300.810,59
301.591,79
302.907,78
303.688,71
304.565,43
305.736,24
306.661,0
307.538,0
308.757,20
309.637,34
310.706,0
311.731,33
312.900,32
313.486,38
314.720,49
315.647,52
316.460,68
317.679,40
318.556,33
319.823,26
320.657,28
321.673,26
322.456,31
323.769,32
324.506,0
325.433,28
326.601,41
327.526,38
328.649,48
329.717,0
330.597,0
331.378,0
332.550,28
333.476,0
334.351,31
335.576,29
336.449,34
337.326,0
338.544,1
339.421,0
340.496,1
341.517,0
342.397,41
343.273,59
344.732,53
345.369,40
346.295,27
347.465,30
348.342,27
349.363,32
350.728,42
351.316,70
352.538,62
353.413,77
354.679,79
355.262,65
356.388,76
357.407,80
358.192,77
359.360,55
360.286,41
361.165,40
362.383,42
363.578,38
364.235,44
365.600,56
366.235,58
367.111,57
368.330,69
369.207,67
370.231,73
371.353,60
372.183,49
373.114,58
374.279,67
375.253,78
376.127,75
377.252,75
378.275,73
379.055,76
380.225,81
381.151,71
382.029,37
383.248,26
384.425,29
385.014,23
386.367,28
387.112,31
388.028,41
389.195,46
390.365,45
390.999,56
392.171,57
393.046,54
393.973,50
395.241,34
396.021,28
396.947,25
398.117,32
399.043,0
399.927,0
401.385,29
402.018,62
402.969,62
404.313,48
405.085,0
405.870,25
407.132,0
408.076,0
408.844,0
410.255,38
410.938,38
411.815,60
413.034,77
414.006,75
414.838,70
416.008,64
416.980,28
417.813,0
418.993,14
419.859,27
420.786,10
422.027,0
422.927,48
424.051,30
424.930,36
425.952,37
426.733,44
427.904,39
428.831,39
429.713,32
