df_hash,22ZHK4.A59L8C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FQLE
person_label,V55
date_time_start,2025-10-31_14-37-37.768000_+03
date_time_start_unix,1761907057.768
date_time_end,2025-10-31_14-46-18.487000_+03
length_difference_noticed,no

time,quality
18.083,61
18.867,65
20.147,43
20.963,33
21.841,45
23.011,39
23.938,33
24.815,44
25.986,53
27.200,35
28.080,25
28.958,33
29.982,60
30.762,66
31.986,66
32.858,72
33.830,74
34.954,66
36.121,66
36.711,66
37.928,74
39.098,67
39.733,51
40.902,55
41.787,66
42.756,66
44.073,53
45.048,53
45.874,45
47.142,47
47.973,60
48.948,75
50.018,79
51.143,81
51.965,77
53.381,57
53.821,60
54.747,60
56.015,57
56.748,52
57.819,72
58.943,79
59.915,81
60.792,81
62.057,77
62.839,79
63.863,80
64.840,77
65.911,75
66.739,58
67.974,46
68.836,50
69.813,55
70.883,69
71.859,61
72.687,56
73.954,61
74.832,63
75.661,51
76.925,53
77.712,45
78.683,36
79.806,36
80.780,48
81.654,22
82.973,18
83.713,30
84.534,66
85.801,66
86.776,48
87.458,55
88.835,63
89.701,47
90.920,53
91.749,72
92.724,73
93.499,80
94.820,81
95.648,81
96.478,79
97.745,82
98.574,81
99.551,79
100.672,80
101.522,82
102.376,85
103.789,77
104.455,68
105.401,74
106.666,61
107.689,57
108.469,49
109.764,42
110.612,53
111.398,57
112.613,65
113.539,74
114.319,77
115.613,77
116.416,74
117.294,67
118.755,64
119.581,74
120.462,77
121.584,70
122.363,48
123.338,42
124.607,39
125.337,43
126.263,43
127.625,49
128.454,63
129.286,73
130.463,81
131.530,77
132.259,78
133.429,80
134.308,77
135.185,81
136.549,70
137.281,74
138.107,80
139.353,76
140.255,74
141.227,81
142.498,75
143.229,56
144.304,61
145.520,65
146.296,72
147.249,66
148.325,63
149.419,54
150.345,69
151.416,71
152.247,66
153.368,51
154.438,49
155.282,52
156.050,47
157.411,28
158.120,30
159.072,60
160.437,75
161.071,79
162.047,77
163.218,76
164.337,53
165.071,58
166.165,60
167.068,63
168.042,66
169.155,67
170.187,73
171.065,76
172.164,84
173.065,76
174.233,72
175.114,69
176.231,67
177.256,71
178.137,70
179.061,74
179.938,62
181.302,52
181.985,59
182.913,76
184.084,83
185.056,78
185.789,77
187.104,57
187.981,58
189.005,67
190.078,72
191.055,76
191.881,78
193.053,80
193.986,81
194.952,73
196.075,76
196.902,65
197.880,64
199.142,72
199.828,70
200.851,78
202.021,79
203.001,81
204.020,70
204.949,69
206.116,74
206.893,66
208.063,59
208.991,73
209.967,77
210.943,72
211.917,64
212.938,70
213.868,69
214.986,59
215.818,37
217.036,47
217.914,61
218.742,51
220.055,42
220.984,58
221.716,62
222.886,56
223.763,49
224.741,61
225.812,58
226.930,47
227.616,56
229.028,49
229.711,39
230.784,38
231.905,42
232.785,43
233.625,38
234.878,39
235.708,34
236.536,27
237.803,0
238.782,8
239.760,0
240.875,29
241.704,29
242.532,50
243.753,46
244.729,33
245.604,42
246.727,46
247.653,42
248.480,33
249.750,48
250.625,32
251.455,0
252.673,0
253.652,3
254.366,0
255.745,0
256.426,33
257.404,35
258.674,47
259.644,31
260.519,32
261.740,0
262.468,31
263.350,39
264.662,41
265.588,43
266.417,46
267.545,42
268.475,45
269.247,38
270.610,0
271.393,0
272.417,36
273.534,35
274.366,52
275.244,40
276.609,21
277.340,22
278.295,25
279.683,25
280.506,23
281.292,53
282.553,50
283.290,53
284.216,45
285.386,45
286.279,48
287.287,39
288.359,44
289.309,30
290.261,38
291.331,31
292.308,35
293.184,37
294.354,0
295.375,0
296.159,0
297.474,0
298.354,28
299.171,39
300.301,44
301.228,40
302.114,38
303.324,32
304.298,29
305.125,24
306.346,27
307.078,31
308.344,35
309.414,37
310.363,56
311.028,51
312.393,48
313.098,42
314.049,34
315.269,20
316.191,33
317.071,46
318.218,36
319.217,29
320.050,38
321.191,43
322.093,38
323.081,46
324.336,49
325.163,39
325.994,42
327.263,45
328.135,37
329.064,42
330.186,37
331.080,42
331.989,49
333.156,46
334.037,46
335.014,41
336.109,30
337.059,37
338.031,29
339.058,29
340.033,0
341.007,24
342.031,0
343.055,33
343.932,37
345.346,30
346.032,0
346.735,0
348.051,16
348.955,24
350.075,23
351.294,0
352.030,0
352.857,0
354.024,29
354.853,28
356.022,40
357.192,41
358.119,49
358.850,33
360.117,49
360.898,49
361.875,51
363.042,38
364.018,30
364.846,33
366.072,42
366.896,23
367.723,26
368.990,54
369.819,53
370.794,54
371.869,61
372.986,73
373.765,62
375.136,55
375.910,65
376.791,43
378.006,29
378.890,53
379.717,51
380.937,37
381.765,0
382.738,32
383.908,21
384.884,28
385.665,41
386.984,42
387.905,38
388.588,42
389.955,41
390.694,42
391.513,39
392.780,69
393.760,29
394.490,31
395.998,30
396.681,27
397.655,34
398.782,38
399.995,61
400.583,56
401.802,27
402.677,26
403.649,30
404.724,37
405.629,29
406.526,0
407.795,41
408.576,2
409.454,7
410.771,3
411.503,3
412.381,0
413.648,33
414.623,34
415.403,35
416.768,27
417.548,18
418.404,15
419.644,18
420.675,15
421.442,0
422.665,0
423.542,0
424.469,24
425.590,37
426.467,40
427.390,31
428.517,20
429.586,37
430.307,29
431.635,0
432.365,19
433.294,0
