df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.777,-0.404,0.926,-0.141
4.787,-0.402,0.932,-0.141
4.797,-0.404,0.926,-0.146
4.807,-0.408,0.920,-0.146
4.817,-0.408,0.922,-0.145
4.827,-0.408,0.924,-0.145
4.837,-0.406,0.928,-0.145
4.847,-0.408,0.928,-0.145
4.856,-0.408,0.928,-0.143
4.866,-0.408,0.926,-0.139
4.876,-0.410,0.924,-0.137
4.886,-0.406,0.922,-0.145
4.896,-0.408,0.920,-0.141
4.906,-0.408,0.922,-0.143
4.916,-0.406,0.920,-0.143
4.926,-0.406,0.922,-0.141
4.936,-0.406,0.926,-0.139
4.946,-0.408,0.924,-0.139
4.956,-0.410,0.922,-0.145
4.966,-0.410,0.924,-0.145
4.976,-0.410,0.924,-0.143
4.986,-0.414,0.924,-0.145
4.996,-0.408,0.922,-0.145
5.005,-0.408,0.922,-0.146
5.015,-0.410,0.924,-0.145
5.025,-0.406,0.926,-0.143
5.035,-0.408,0.926,-0.143
5.045,-0.408,0.926,-0.143
5.055,-0.406,0.926,-0.146
5.065,-0.406,0.926,-0.146
5.075,-0.406,0.926,-0.146
5.085,-0.406,0.932,-0.146
5.095,-0.410,0.932,-0.145
5.105,-0.410,0.926,-0.143
5.115,-0.410,0.926,-0.143
5.125,-0.406,0.924,-0.143
5.135,-0.404,0.924,-0.141
5.145,-0.404,0.926,-0.143
5.154,-0.400,0.922,-0.143
5.164,-0.402,0.922,-0.137
5.174,-0.400,0.920,-0.141
5.184,-0.402,0.924,-0.139
5.194,-0.404,0.926,-0.139
5.204,-0.402,0.924,-0.139
5.214,-0.402,0.928,-0.139
5.224,-0.402,0.926,-0.139
5.234,-0.408,0.928,-0.139
5.244,-0.404,0.924,-0.141
5.254,-0.408,0.928,-0.139
5.264,-0.404,0.930,-0.139
5.274,-0.404,0.926,-0.137
5.284,-0.406,0.928,-0.139
5.294,-0.404,0.926,-0.137
5.303,-0.406,0.928,-0.135
5.313,-0.404,0.924,-0.137
5.323,-0.402,0.924,-0.137
5.333,-0.406,0.924,-0.135
5.343,-0.404,0.924,-0.139
5.353,-0.402,0.924,-0.141
5.363,-0.406,0.924,-0.139
5.373,-0.406,0.926,-0.137
5.383,-0.410,0.928,-0.143
5.393,-0.406,0.928,-0.141
5.403,-0.406,0.928,-0.141
5.413,-0.406,0.928,-0.139
5.423,-0.404,0.928,-0.139
5.433,-0.404,0.924,-0.139
5.443,-0.406,0.926,-0.137
5.452,-0.404,0.926,-0.139
5.462,-0.400,0.928,-0.139
5.472,-0.402,0.928,-0.137
5.482,-0.402,0.926,-0.135
5.492,-0.400,0.928,-0.135
5.502,-0.400,0.932,-0.137
5.512,-0.398,0.920,-0.139
5.522,-0.396,0.918,-0.141
5.532,-0.400,0.922,-0.141
5.542,-0.402,0.930,-0.139
5.552,-0.402,0.932,-0.137
5.562,-0.400,0.930,-0.139
5.572,-0.402,0.932,-0.139
5.582,-0.400,0.932,-0.141
5.592,-0.402,0.930,-0.137
5.601,-0.404,0.926,-0.139
5.611,-0.400,0.926,-0.139
5.621,-0.398,0.924,-0.141
5.631,-0.398,0.922,-0.141
5.641,-0.398,0.926,-0.139
5.651,-0.398,0.930,-0.141
5.661,-0.400,0.928,-0.139
5.671,-0.406,0.928,-0.141
5.681,-0.404,0.926,-0.139
5.691,-0.406,0.924,-0.141
5.701,-0.404,0.928,-0.141
5.711,-0.404,0.928,-0.141
5.721,-0.402,0.926,-0.143
5.731,-0.404,0.922,-0.141
5.741,-0.404,0.924,-0.139
5.750,-0.404,0.926,-0.141
5.760,-0.404,0.924,-0.141
5.770,-0.402,0.930,-0.145
5.780,-0.404,0.926,-0.141
5.790,-0.404,0.926,-0.137
5.800,-0.404,0.930,-0.145
5.810,-0.404,0.928,-0.141
5.820,-0.404,0.928,-0.141
5.830,-0.402,0.928,-0.137
5.840,-0.404,0.926,-0.139
5.850,-0.404,0.928,-0.141
5.860,-0.404,0.926,-0.137
5.870,-0.404,0.926,-0.141
5.880,-0.406,0.926,-0.137
5.890,-0.404,0.924,-0.137
5.899,-0.404,0.922,-0.139
5.909,-0.404,0.926,-0.139
5.919,-0.404,0.924,-0.139
5.929,-0.408,0.924,-0.143
5.939,-0.406,0.924,-0.139
5.949,-0.404,0.926,-0.139
5.959,-0.404,0.926,-0.139
5.969,-0.400,0.928,-0.143
5.979,-0.400,0.924,-0.141
5.989,-0.408,0.918,-0.141
5.999,-0.404,0.926,-0.143
6.009,-0.408,0.926,-0.141
6.019,-0.406,0.926,-0.145
6.029,-0.406,0.926,-0.143
6.038,-0.406,0.926,-0.139
6.048,-0.408,0.934,-0.141
6.058,-0.404,0.928,-0.139
6.068,-0.404,0.930,-0.145
6.078,-0.404,0.924,-0.143
6.088,-0.402,0.924,-0.143
6.098,-0.404,0.926,-0.141
6.108,-0.402,0.922,-0.143
6.118,-0.404,0.928,-0.145
6.128,-0.404,0.930,-0.141
6.138,-0.406,0.926,-0.141
6.148,-0.406,0.924,-0.143
6.158,-0.406,0.924,-0.141
6.168,-0.406,0.924,-0.141
6.178,-0.406,0.924,-0.139
6.187,-0.406,0.928,-0.141
6.197,-0.404,0.926,-0.137
6.207,-0.406,0.924,-0.145
6.217,-0.402,0.928,-0.141
6.227,-0.408,0.924,-0.141
6.237,-0.404,0.922,-0.143
6.247,-0.404,0.924,-0.143
6.257,-0.404,0.928,-0.141
6.267,-0.400,0.924,-0.143
6.277,-0.402,0.924,-0.141
6.287,-0.406,0.930,-0.143
6.297,-0.406,0.926,-0.141
6.307,-0.406,0.928,-0.141
6.317,-0.402,0.932,-0.139
6.327,-0.406,0.928,-0.139
6.336,-0.406,0.930,-0.143
6.346,-0.406,0.926,-0.137
6.356,-0.406,0.924,-0.141
6.366,-0.406,0.924,-0.141
6.376,-0.406,0.926,-0.139
6.386,-0.404,0.922,-0.139
6.396,-0.406,0.926,-0.141
6.406,-0.406,0.922,-0.137
6.416,-0.406,0.928,-0.145
6.426,-0.408,0.924,-0.143
6.436,-0.410,0.922,-0.141
6.446,-0.408,0.924,-0.141
6.456,-0.406,0.924,-0.143
6.466,-0.404,0.926,-0.143
6.476,-0.408,0.926,-0.143
6.485,-0.408,0.928,-0.141
6.495,-0.404,0.924,-0.141
6.505,-0.402,0.926,-0.143
6.515,-0.406,0.924,-0.143
6.525,-0.400,0.928,-0.137
6.535,-0.408,0.926,-0.141
6.545,-0.404,0.926,-0.141
6.555,-0.402,0.928,-0.141
6.565,-0.404,0.928,-0.141
6.575,-0.408,0.928,-0.141
6.585,-0.406,0.926,-0.143
6.595,-0.404,0.926,-0.139
6.605,-0.406,0.930,-0.141
6.615,-0.406,0.926,-0.139
6.625,-0.404,0.926,-0.143
6.634,-0.408,0.922,-0.139
6.644,-0.404,0.922,-0.141
6.654,-0.406,0.926,-0.141
6.664,-0.406,0.928,-0.141
6.674,-0.406,0.926,-0.139
6.684,-0.406,0.928,-0.141
6.694,-0.408,0.930,-0.137
6.704,-0.404,0.928,-0.141
6.714,-0.406,0.924,-0.139
6.724,-0.408,0.924,-0.137
6.734,-0.402,0.920,-0.141
6.744,-0.406,0.922,-0.145
6.754,-0.404,0.920,-0.141
6.764,-0.406,0.918,-0.141
6.774,-0.408,0.924,-0.139
6.783,-0.406,0.922,-0.145
6.793,-0.400,0.928,-0.141
6.803,-0.406,0.928,-0.146
6.813,-0.402,0.930,-0.145
6.823,-0.406,0.926,-0.145
6.833,-0.408,0.926,-0.146
6.843,-0.410,0.930,-0.145
6.853,-0.410,0.932,-0.143
6.863,-0.406,0.930,-0.141
6.873,-0.406,0.928,-0.143
6.883,-0.404,0.928,-0.143
6.893,-0.402,0.920,-0.143
6.903,-0.402,0.924,-0.141
6.913,-0.402,0.918,-0.143
6.923,-0.402,0.920,-0.145
6.932,-0.406,0.922,-0.143
6.942,-0.404,0.924,-0.141
6.952,-0.406,0.930,-0.141
6.962,-0.406,0.930,-0.139
6.972,-0.406,0.930,-0.141
6.982,-0.406,0.924,-0.139
6.992,-0.406,0.924,-0.139
7.002,-0.404,0.924,-0.143
7.012,-0.408,0.924,-0.143
7.022,-0.406,0.922,-0.141
7.032,-0.406,0.928,-0.146
7.042,-0.408,0.924,-0.143
7.052,-0.408,0.930,-0.139
7.062,-0.408,0.928,-0.141
7.072,-0.408,0.926,-0.143
7.081,-0.404,0.918,-0.141
7.091,-0.402,0.922,-0.145
7.101,-0.400,0.922,-0.143
7.111,-0.396,0.920,-0.143
7.121,-0.398,0.924,-0.141
7.131,-0.404,0.928,-0.145
7.141,-0.400,0.930,-0.143
7.151,-0.400,0.934,-0.143
7.161,-0.400,0.934,-0.139
7.171,-0.404,0.932,-0.139
7.181,-0.404,0.926,-0.139
7.191,-0.408,0.922,-0.139
7.201,-0.404,0.926,-0.137
7.211,-0.402,0.926,-0.139
7.221,-0.408,0.922,-0.139
7.230,-0.404,0.928,-0.139
7.240,-0.404,0.930,-0.137
7.250,-0.402,0.924,-0.137
7.260,-0.400,0.926,-0.139
7.270,-0.402,0.924,-0.139
7.280,-0.406,0.926,-0.137
7.290,-0.404,0.922,-0.133
7.300,-0.404,0.928,-0.139
7.310,-0.402,0.926,-0.137
7.320,-0.400,0.926,-0.139
7.330,-0.398,0.926,-0.141
7.340,-0.393,0.928,-0.139
7.350,-0.396,0.924,-0.139
7.360,-0.398,0.924,-0.139
7.369,-0.400,0.924,-0.139
7.379,-0.398,0.924,-0.141
7.389,-0.404,0.928,-0.139
7.399,-0.398,0.926,-0.141
7.409,-0.404,0.928,-0.137
7.419,-0.402,0.926,-0.139
7.429,-0.400,0.930,-0.141
7.439,-0.402,0.926,-0.145
7.449,-0.404,0.930,-0.143
7.459,-0.408,0.926,-0.141
7.469,-0.412,0.926,-0.143
7.479,-0.410,0.924,-0.145
7.489,-0.412,0.922,-0.145
7.499,-0.410,0.920,-0.143
7.509,-0.408,0.922,-0.145
7.518,-0.408,0.922,-0.145
7.528,-0.406,0.920,-0.143
7.538,-0.406,0.920,-0.145
7.548,-0.410,0.920,-0.146
7.558,-0.412,0.918,-0.145
7.568,-0.414,0.922,-0.148
7.578,-0.412,0.924,-0.148
7.588,-0.412,0.926,-0.143
7.598,-0.414,0.926,-0.145
7.608,-0.410,0.930,-0.141
7.618,-0.410,0.934,-0.141
7.628,-0.412,0.930,-0.139
7.638,-0.416,0.930,-0.139
7.648,-0.416,0.926,-0.141
7.658,-0.416,0.920,-0.139
7.667,-0.418,0.916,-0.139
7.677,-0.418,0.922,-0.141
7.687,-0.418,0.922,-0.141
7.697,-0.416,0.920,-0.143
7.707,-0.418,0.920,-0.143
7.717,-0.418,0.924,-0.143
7.727,-0.420,0.922,-0.141
7.737,-0.420,0.922,-0.148
7.747,-0.424,0.924,-0.143
7.757,-0.426,0.918,-0.145
7.767,-0.424,0.918,-0.146
7.777,-0.422,0.922,-0.148
7.787,-0.424,0.918,-0.148
7.797,-0.422,0.916,-0.150
7.807,-0.418,0.922,-0.152
7.816,-0.422,0.918,-0.154
7.826,-0.418,0.922,-0.150
7.836,-0.418,0.920,-0.152
7.846,-0.418,0.920,-0.152
7.856,-0.416,0.922,-0.150
7.866,-0.418,0.920,-0.152
7.876,-0.416,0.918,-0.152
7.886,-0.410,0.924,-0.154
7.896,-0.404,0.922,-0.150
7.906,-0.406,0.924,-0.152
7.916,-0.402,0.924,-0.152
7.926,-0.402,0.926,-0.154
7.936,-0.406,0.928,-0.150
7.946,-0.408,0.924,-0.146
7.956,-0.402,0.926,-0.146
7.965,-0.406,0.932,-0.145
7.975,-0.406,0.928,-0.145
7.985,-0.406,0.924,-0.145
7.995,-0.406,0.922,-0.141
8.005,-0.408,0.930,-0.143
8.015,-0.402,0.928,-0.139
8.025,-0.404,0.930,-0.139
8.035,-0.400,0.930,-0.137
8.045,-0.400,0.924,-0.133
8.055,-0.400,0.924,-0.133
8.065,-0.398,0.922,-0.135
8.075,-0.400,0.920,-0.135
8.085,-0.404,0.922,-0.133
8.095,-0.402,0.920,-0.133
8.105,-0.402,0.920,-0.133
8.114,-0.404,0.916,-0.133
8.124,-0.406,0.920,-0.135
8.134,-0.404,0.926,-0.133
8.144,-0.402,0.926,-0.137
8.154,-0.406,0.932,-0.135
8.164,-0.406,0.928,-0.137
8.174,-0.406,0.930,-0.137
8.184,-0.410,0.928,-0.137
8.194,-0.408,0.934,-0.139
8.204,-0.406,0.928,-0.139
8.214,-0.410,0.932,-0.141
8.224,-0.412,0.936,-0.145
8.234,-0.414,0.941,-0.145
8.244,-0.422,0.941,-0.143
8.254,-0.416,0.945,-0.143
8.263,-0.416,0.938,-0.145
8.273,-0.412,0.936,-0.141
8.283,-0.408,0.928,-0.141
8.293,-0.406,0.928,-0.137
