df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
16.224,211,74,2
16.666,283,72,3
16.956,357,74,4
17.346,431,74,5
17.589,503,72,6
18.028,577,74,7
18.466,651,74,8
18.759,722,71,9
19.149,796,74,10
19.540,869,73,11
19.832,942,73,12
20.271,1016,74,13
20.566,1088,72,14
20.953,1162,74,15
21.404,1236,74,16
21.636,1308,72,17
22.075,1382,74,18
22.318,1456,74,19
22.757,1528,72,20
23.196,1602,74,21
23.441,1674,72,22
23.881,1747,73,23
24.319,1821,74,24
24.561,1893,72,25
25.025,1967,74,26
25.348,2041,74,27
25.682,2113,72,28
26.121,2187,74,29
26.365,2261,74,30
26.807,2333,72,31
27.350,2407,74,32
27.925,2480,73,33
27.966,2553,73,34
28.176,2627,74,35
28.607,2699,72,36
28.998,2773,74,37
29.338,2847,74,38
29.740,2919,72,39
29.972,2993,74,40
30.413,3067,74,41
31.043,3139,72,42
31.101,3213,74,43
31.567,3286,73,44
31.825,3359,73,45
32.215,3433,74,46
32.749,3505,72,47
32.897,3579,74,48
33.389,3653,74,49
33.775,3725,72,50
34.019,3799,74,51
34.652,3873,74,52
34.755,3945,72,53
35.383,4019,74,54
35.578,4092,73,55
35.933,4165,73,56
36.261,4239,74,57
36.554,4311,72,58
37.184,4385,74,59
37.435,4459,74,60
37.683,4531,72,61
38.065,4605,74,62
38.552,4679,74,63
38.796,4751,72,64
39.332,4825,74,65
39.478,4898,73,66
40.207,4971,73,67
40.453,5045,74,68
40.603,5117,72,69
41.048,5191,74,70
41.428,5265,74,71
41.672,5337,72,72
42.118,5411,74,73
42.411,5484,73,74
42.845,5556,72,75
43.237,5630,74,76
43.525,5703,73,77
43.915,5776,73,78
44.207,5850,74,79
44.597,5922,72,80
45.036,5996,74,81
45.328,6070,74,82
45.719,6142,72,83
46.064,6216,74,84
46.450,6289,73,85
46.843,6361,72,86
47.137,6435,74,87
47.523,6507,72,88
47.991,6580,73,89
48.259,6654,74,90
48.790,6726,72,91
48.936,6800,74,92
49.372,6874,74,93
49.765,6947,73,94
50.057,7021,74,95
50.451,7094,73,96
50.794,7167,73,97
51.130,7241,74,98
51.568,7314,73,99
51.865,7387,73,100
52.348,7461,74,101
52.740,7532,71,102
52.982,7606,74,103
53.372,7680,74,104
53.715,7752,72,105
54.055,7826,74,106
54.545,7900,74,107
54.882,7973,73,108
55.225,8047,74,109
55.663,8121,74,110
55.907,8194,73,111
56.441,8268,74,112
56.590,8340,72,113
56.980,8414,74,114
57.466,8488,74,115
57.711,8560,72,116
58.150,8634,74,117
58.490,8708,74,118
58.943,8781,73,119
59.293,8855,74,120
59.612,8929,74,121
59.990,9003,74,122
60.343,9077,74,123
60.636,9150,73,124
61.075,9224,74,125
61.564,9298,74,126
61.711,9371,73,127
62.147,9445,74,128
62.441,9517,72,129
62.883,9591,74,130
63.268,9665,74,131
63.513,9739,74,132
64.000,9813,74,133
64.443,9887,74,134
64.682,9961,74,135
65.072,10035,74,136
65.463,10109,74,137
65.766,10183,74,138
66.193,10257,74,139
66.437,10331,74,140
66.876,10405,74,141
67.315,10479,74,142
67.558,10553,74,143
67.998,10627,74,144
68.439,10701,74,145
68.680,10775,74,146
69.144,10849,74,147
69.508,10923,74,148
69.801,10997,74,149
70.192,11071,74,150
70.778,11145,74,151
70.928,11219,74,152
71.410,11293,74,153
71.654,11367,74,154
72.092,11441,74,155
72.726,11515,74,156
72.870,11588,73,157
