df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,acc_mag
24.973,1.042
25.003,1.039
25.033,1.043
25.063,1.045
25.093,1.039
25.123,1.043
25.153,1.040
25.183,1.033
25.213,1.036
25.243,1.050
25.273,1.048
25.303,1.043
25.333,1.039
25.363,1.038
25.393,1.041
25.423,1.040
25.453,1.040
25.483,1.046
25.513,1.045
25.543,1.044
25.573,1.042
25.603,1.043
25.633,1.040
25.663,1.038
25.693,1.042
25.723,1.044
25.753,1.050
25.783,1.040
25.813,1.048
25.843,1.048
25.873,1.038
25.903,1.041
25.933,1.048
25.963,1.039
25.993,1.041
26.023,1.041
26.053,1.043
26.083,1.037
26.113,1.054
26.143,1.046
26.173,1.032
26.203,1.032
26.233,1.039
26.263,1.046
26.293,1.048
26.323,1.053
26.353,1.048
26.383,1.038
26.413,1.044
26.443,1.044
26.473,1.052
26.503,1.049
26.533,1.039
26.563,1.038
26.593,1.040
26.623,1.041
26.653,1.051
26.683,1.042
26.713,1.040
26.743,1.041
26.773,1.045
26.803,1.043
26.833,1.042
26.863,1.044
26.893,1.044
26.923,1.044
26.953,1.037
26.983,1.048
27.013,1.050
27.043,1.034
27.073,1.039
27.103,1.048
27.133,1.040
27.163,1.043
27.193,1.045
27.223,1.044
27.253,1.044
27.283,1.042
27.313,1.042
27.343,1.041
27.373,1.038
27.403,1.044
27.433,1.039
27.463,1.041
27.493,1.043
27.523,1.045
27.553,1.042
27.583,1.055
27.613,1.050
27.643,1.043
27.673,1.043
27.703,1.046
27.733,1.039
27.763,1.051
27.793,1.038
27.823,1.040
27.853,1.043
27.883,1.049
27.913,1.049
27.943,1.036
27.973,1.035
28.003,1.042
28.033,1.053
28.063,1.048
28.093,1.040
28.123,1.035
28.153,1.041
28.183,1.039
28.213,1.042
28.243,1.051
28.273,1.050
28.303,1.043
28.333,1.039
28.363,1.041
28.393,1.043
28.423,1.045
28.453,1.039
28.483,1.041
28.513,1.044
28.543,1.046
28.573,1.043
28.603,1.047
28.633,1.045
28.663,1.035
28.693,1.040
28.723,1.047
28.753,1.042
28.783,1.045
28.813,1.045
28.843,1.038
28.873,1.040
28.903,1.046
28.933,1.048
28.963,1.044
28.993,1.046
29.023,1.040
29.053,1.045
29.083,1.046
29.113,1.039
29.143,1.045
29.173,1.047
29.203,1.044
29.233,1.039
29.263,1.047
29.293,1.043
29.323,1.041
29.353,1.046
29.383,1.040
29.413,1.040
29.443,1.039
29.473,1.047
29.503,1.052
29.533,1.047
29.563,1.045
29.593,1.042
29.623,1.042
29.653,1.043
29.683,1.045
29.713,1.046
29.743,1.046
29.773,1.039
29.803,1.039
29.833,1.046
29.863,1.048
29.893,1.047
29.923,1.042
29.953,1.045
29.983,1.042
30.013,1.036
30.043,1.045
30.073,1.046
30.103,1.046
30.133,1.043
30.163,1.036
30.193,1.046
30.223,1.046
30.253,1.044
30.283,1.039
30.313,1.046
30.343,1.040
30.373,1.042
30.403,1.045
30.433,1.043
30.463,1.046
30.493,1.042
30.523,1.043
30.553,1.042
30.583,1.041
30.613,1.049
30.643,1.039
30.673,1.041
30.703,1.048
30.733,1.042
30.763,1.040
30.793,1.048
30.823,1.048
30.853,1.041
30.883,1.042
30.913,1.041
30.943,1.037
30.973,1.045
31.003,1.045
31.033,1.045
31.063,1.049
31.093,1.041
31.123,1.041
31.153,1.043
31.183,1.040
31.213,1.048
31.243,1.042
31.273,1.045
31.303,1.048
31.333,1.043
31.363,1.043
31.393,1.043
31.423,1.041
31.453,1.048
31.483,1.045
31.513,1.041
31.543,1.045
31.573,1.052
31.603,1.045
31.633,1.042
31.663,1.044
31.693,1.043
31.723,1.044
31.753,1.043
31.783,1.048
31.813,1.052
31.843,1.045
31.873,1.038
31.903,1.039
31.933,1.048
31.963,1.044
31.993,1.045
32.023,1.043
32.053,1.043
32.083,1.044
32.113,1.048
32.143,1.046
32.173,1.043
32.203,1.043
32.233,1.042
32.263,1.042
32.293,1.043
32.323,1.044
32.353,1.049
32.383,1.046
32.413,1.046
32.443,1.040
32.473,1.045
32.503,1.043
32.533,1.045
32.563,1.044
32.593,1.046
32.623,1.038
32.653,1.039
32.683,1.053
32.713,1.046
32.743,1.042
32.773,1.044
32.803,1.048
32.833,1.045
32.863,1.043
32.893,1.046
32.923,1.049
32.953,1.046
32.983,1.043
33.013,1.043
33.043,1.042
33.073,1.046
33.103,1.043
33.133,1.048
33.163,1.046
33.193,1.046
33.223,1.043
33.253,1.043
33.283,1.049
33.313,1.042
33.343,1.048
33.373,1.049
33.403,1.046
33.433,1.046
33.463,1.042
33.493,1.043
33.523,1.046
33.553,1.044
33.583,1.044
33.613,1.044
33.643,1.042
33.673,1.043
33.703,1.043
33.733,1.043
33.763,1.047
33.793,1.047
33.823,1.043
33.853,1.039
33.883,1.045
33.913,1.048
33.943,1.047
33.973,1.043
34.003,1.043
34.033,1.046
34.063,1.041
34.093,1.049
34.123,1.049
34.153,1.040
34.183,1.039
34.213,1.043
34.243,1.039
34.273,1.042
34.303,1.038
34.333,1.040
34.363,1.053
