df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
24.973,-0.686,0.777,0.104
24.983,-0.686,0.779,0.104
24.993,-0.680,0.775,0.104
25.003,-0.684,0.775,0.102
25.013,-0.682,0.773,0.102
25.023,-0.686,0.773,0.100
25.033,-0.686,0.779,0.098
25.043,-0.686,0.777,0.102
25.053,-0.688,0.777,0.100
25.063,-0.689,0.779,0.100
25.073,-0.689,0.777,0.102
25.082,-0.688,0.777,0.098
25.092,-0.686,0.775,0.096
25.102,-0.686,0.779,0.096
25.112,-0.682,0.783,0.096
25.122,-0.682,0.783,0.100
25.132,-0.684,0.781,0.100
25.142,-0.688,0.779,0.096
25.152,-0.684,0.777,0.100
25.162,-0.686,0.779,0.100
25.172,-0.686,0.775,0.098
25.182,-0.678,0.773,0.104
25.192,-0.678,0.775,0.100
25.202,-0.680,0.773,0.096
25.212,-0.680,0.775,0.098
25.221,-0.686,0.777,0.096
25.231,-0.689,0.779,0.098
25.241,-0.689,0.785,0.098
25.251,-0.691,0.781,0.094
25.261,-0.691,0.781,0.094
25.271,-0.693,0.779,0.096
25.281,-0.691,0.775,0.094
25.291,-0.693,0.773,0.096
25.301,-0.693,0.773,0.098
25.311,-0.697,0.775,0.094
25.321,-0.693,0.773,0.098
25.331,-0.688,0.773,0.098
25.341,-0.688,0.777,0.102
25.350,-0.688,0.777,0.098
25.360,-0.686,0.773,0.100
25.370,-0.688,0.779,0.100
25.380,-0.686,0.779,0.104
25.390,-0.688,0.775,0.102
25.400,-0.688,0.777,0.104
25.410,-0.684,0.775,0.105
25.420,-0.684,0.777,0.102
25.430,-0.688,0.775,0.104
25.440,-0.684,0.781,0.102
25.450,-0.686,0.775,0.102
25.460,-0.686,0.775,0.098
25.470,-0.686,0.777,0.100
25.480,-0.689,0.779,0.102
25.489,-0.688,0.781,0.102
25.499,-0.686,0.783,0.104
25.509,-0.686,0.781,0.104
25.519,-0.684,0.783,0.102
25.529,-0.686,0.783,0.100
25.539,-0.686,0.781,0.100
25.549,-0.680,0.779,0.104
25.559,-0.684,0.775,0.104
25.569,-0.686,0.777,0.104
25.579,-0.686,0.777,0.105
25.589,-0.688,0.775,0.104
