df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,ppg_quality
78.018,56
79.028,60
80.038,65
82.058,62
84.078,48
86.098,44
87.108,56
88.118,58
89.128,48
91.148,31
93.168,46
94.178,55
96.198,69
98.218,68
100.238,80
101.248,84
102.258,81
103.268,79
105.288,73
106.298,74
108.318,82
109.328,89
111.348,85
112.358,85
113.368,82
115.388,74
116.398,63
117.408,48
119.428,27
120.438,21
122.458,9
124.478,19
126.498,20
128.518,16
129.528,21
130.538,23
131.548,33
133.568,35
135.588,39
137.608,58
139.628,57
141.648,48
142.658,42
144.678,26
146.698,10
148.718,11
150.738,12
151.748,14
152.758,21
153.768,30
154.778,48
155.788,62
157.808,59
159.828,63
161.848,67
163.868,67
165.888,63
166.898,70
168.918,85
170.938,92
172.958,101
174.978,95
175.988,86
178.008,68
180.028,64
182.048,48
184.068,52
186.088,49
188.108,42
191.138,36
193.158,45
195.178,47
197.198,53
199.218,70
200.228,71
202.248,66
203.258,66
204.268,59
206.288,48
208.308,66
209.318,81
211.338,93
213.358,93
214.368,89
215.378,101
217.398,92
219.418,55
221.438,49
224.468,59
226.488,44
228.508,39
229.518,42
231.538,32
232.548,25
234.568,22
235.578,29
236.588,28
237.598,27
239.618,34
241.638,42
243.658,46
245.678,47
246.688,47
248.708,63
250.728,76
252.748,78
254.768,68
255.778,64
256.788,64
257.798,59
259.818,47
260.828,17
261.838,15
263.858,16
265.878,16
267.898,21
268.908,19
270.928,32
272.948,37
273.958,42
274.968,60
276.988,62
279.008,78
280.018,85
282.038,88
283.048,80
284.058,70
286.078,45
287.088,45
288.098,39
289.108,36
290.118,35
291.128,35
292.138,35
293.148,43
295.168,57
297.188,58
298.198,55
299.208,44
300.218,35
301.228,34
302.238,31
303.248,34
304.258,35
305.268,26
306.278,26
308.298,25
309.308,23
310.318,25
311.328,22
312.338,30
313.348,32
314.358,39
315.368,47
317.388,37
319.408,60
320.418,70
321.428,72
322.438,66
323.448,60
325.468,56
327.488,75
328.498,86
330.518,67
332.538,74
334.558,74
336.578,70
338.598,41
339.608,47
341.628,60
343.648,43
345.668,35
347.688,27
348.698,40
350.718,37
352.738,26
353.748,26
354.758,29
356.778,48
358.798,37
361.828,27
362.838,27
363.848,26
365.868,33
366.878,32
368.898,38
369.908,39
371.928,36
374.958,50
375.968,39
376.978,35
378.998,41
380.008,39
382.028,36
383.038,30
384.048,26
386.068,35
388.088,35
390.108,45
392.128,74
394.148,92
395.158,83
397.178,60
398.188,56
399.198,55
401.218,38
403.238,28
404.248,23
406.268,42
408.288,45
409.298,43
410.308,57
412.328,61
414.348,51
416.368,38
417.378,36
418.388,52
420.408,38
421.418,12
423.438,30
424.448,43
425.458,54
427.478,56
429.498,60
431.518,89
432.528,67
433.538,66
434.548,78
436.568,76
438.588,89
440.608,72
442.628,81
443.638,75
444.648,63
445.658,65
446.668,72
447.678,71
448.688,62
449.698,66
451.718,79
453.738,96
455.758,92
456.768,94
457.778,97
458.788,95
460.808,78
462.828,41
463.838,32
464.848,32
465.858,27
466.868,15
467.878,5
469.898,9
471.918,30
473.938,53
475.958,61
477.978,87
481.008,74
483.028,63
485.048,51
487.068,30
489.088,19
491.108,20
492.118,30
