df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,rr_int
31.397,4225
32.003,2135
32.523,580
33.103,585
33.787,570
34.322,570
34.907,600
35.445,620
36.028,585
36.711,555
37.255,575
37.833,580
38.369,580
39.050,560
39.539,550
40.033,545
40.513,550
41.001,550
42.171,535
42.804,1105
42.808,625
43.295,10
43.300,390
44.364,10
44.511,1145
44.755,205
45.440,295
45.875,585
46.997,520
47.465,1155
47.533,500
47.826,215
47.830,125
47.972,10
47.975,15
47.978,15
48.131,145
49.630,1145
50.214,490
50.800,525
51.287,540
51.579,585
51.586,210
51.923,10
52.457,280
52.993,560
53.530,570
54.066,535
54.114,555
54.651,10
55.187,575
55.772,530
56.308,575
56.845,560
57.429,550
57.966,550
58.472,550
58.941,545
59.624,550
60.360,585
60.745,585
61.330,555
61.866,560
62.499,545
63.426,575
64.646,1010
65.084,1285
65.329,370
65.477,250
66.059,275
66.595,545
67.180,555
67.277,535
67.280,165
67.423,15
67.427,10
67.472,15
67.476,10
67.569,10
67.572,15
67.576,15
67.580,25
67.735,220
68.691,535
69.373,550
69.913,570
70.349,555
71.180,555
71.618,590
72.007,560
72.781,530
72.884,620
72.982,215
73.005,75
73.011,10
73.038,10
73.282,235
74.541,590
75.565,735
75.857,1200
76.737,260
77.174,570
77.761,540
78.294,555
78.299,560
78.831,10
79.371,570
79.956,565
80.489,545
81.122,565
81.610,535
82.194,560
82.877,585
83.072,775
83.218,225
83.270,10
84.827,910
85.217,735
85.220,520
85.802,10
86.341,525
86.485,560
86.679,170
86.683,60
86.826,20
87.316,15
88.142,345
88.581,1185
88.727,540
89.849,560
90.386,585
90.922,580
91.597,575
92.091,580
92.384,560
92.579,205
92.724,355
93.163,10
93.700,540
94.292,570
94.828,560
95.410,565
95.595,560
96.140,10
96.481,550
97.209,560
97.807,575
98.282,590
98.384,575
98.873,10
99.414,540
99.994,580
100.528,545
101.259,565
101.743,575
102.182,530
102.767,555
102.914,560
103.157,170
104.279,315
104.306,840
104.921,235
105.648,585
106.083,760
107.141,475
107.593,1000
108.055,420
108.181,490
108.523,10
109.007,520
109.397,770
109.982,275
110.567,500
110.570,515
111.152,10
111.348,530
111.757,135
112.273,390
112.279,590
112.521,10
112.567,270
112.575,10
112.579,10
112.614,10
112.618,190
114.029,1130
114.034,165
114.080,10
114.126,80
114.130,45
114.175,20
114.272,195
115.157,590
115.466,235
115.979,290
116.125,585
116.128,90
116.222,25
116.229,35
116.271,20
116.275,10
116.396,15
116.717,260
117.640,585
118.665,570
119.147,965
120.268,600
120.271,1125
120.317,10
120.366,10
120.369,15
120.472,15
120.481,15
120.707,15
120.710,275
120.853,115
120.857,15
121.051,10
121.292,10
121.295,420
121.298,10
121.731,15
122.219,450
122.942,570
123.583,585
123.685,815
124.220,10
124.314,330
125.144,405
125.585,845
125.780,300
125.826,10
126.485,260
126.947,575
127.094,795
128.605,910
129.141,550
129.738,625
130.116,595
130.120,305
130.165,15
130.168,10
130.172,10
130.176,20
130.410,240
131.676,600
131.991,645
132.235,300
132.797,300
133.334,600
133.870,575
134.601,580
135.137,595
135.679,600
136.259,585
136.941,585
137.477,590
138.063,600
138.599,645
139.281,555
139.889,595
140.110,610
140.113,250
140.159,10
140.552,75
141.542,400
142.108,920
143.035,530
143.181,995
144.159,230
144.741,975
145.960,565
146.254,1215
146.261,205
146.264,10
146.545,10
146.647,310
146.935,165
146.940,255
147.084,15
148.204,15
149.031,1240
149.036,835
149.084,10
149.095,35
149.372,175
150.547,1140
150.591,160
150.594,15
150.981,15
151.521,385
152.105,545
152.639,575
153.175,535
153.613,580
154.199,510
154.735,560
154.738,565
155.030,10
155.417,150
156.003,425
156.539,585
156.977,570
156.982,495
157.662,10
157.670,580
157.807,205
157.815,10
158.781,355
159.317,605
159.902,575
160.146,590
160.438,240
160.732,330
160.975,180
161.658,375
162.243,585
162.437,570
162.441,195
162.489,55
162.815,10
163.364,310
163.900,570
164.485,565
165.021,560
165.025,570
165.558,10
166.142,560
166.679,555
167.271,560
167.801,585
168.387,545
168.921,590
169.558,560
170.045,555
170.725,585
171.700,595
172.388,1030
172.821,635
174.040,545
174.043,1195
174.673,10
174.677,555
175.307,10
175.844,645
176.428,565
177.015,580
177.550,600
178.086,585
178.769,560
179.208,605
179.938,545
180.475,600
180.767,560
180.770,280
180.777,10
181.012,15
181.548,250
182.281,555
182.961,565
184.476,815
185.058,1545
185.886,590
186.205,835
186.862,255
187.836,805
188.958,980
189.250,1080
189.352,475
190.615,370
191.882,810
193.102,1325
193.687,1245
194.077,575
194.223,530
194.227,10
195.880,1280
196.174,355
197.294,265
197.976,1125
198.366,715
198.538,580
199.780,640
200.316,620
200.319,560
200.901,10
201.441,605
202.121,565
202.728,580
202.851,665
203.241,135
204.216,400
205.045,995
206.605,790
207.583,1595
208.263,995
208.268,680
208.701,10
210.602,435
210.606,1875
211.042,10
212.260,410
212.699,1225
213.966,520
214.941,1220
216.063,1030
216.466,1115
217.136,305
217.444,815
217.606,315
218.257,295
218.844,495
218.939,325
