df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,temperature
25.550,34.656
26.475,34.688
27.501,34.750
28.527,34.781
29.453,34.812
30.520,34.750
31.513,34.750
32.469,34.750
33.493,34.750
34.468,34.781
35.641,34.781
36.467,34.781
37.443,34.750
38.466,34.781
39.507,34.750
40.464,34.781
41.735,34.750
42.465,34.781
43.438,34.781
44.486,34.781
45.437,34.844
46.756,34.875
47.468,34.875
48.460,34.875
49.435,34.906
50.458,34.906
51.434,34.969
52.460,34.969
53.440,35.000
54.504,35.000
55.431,35.000
56.455,35.000
57.725,35.000
58.553,35.031
59.429,35.031
60.452,35.062
61.476,35.031
62.524,35.031
63.475,35.000
64.450,35.031
65.473,35.062
66.448,35.094
67.621,35.125
68.449,35.125
69.471,35.125
70.446,35.156
71.470,35.156
72.495,35.156
73.469,35.219
74.492,35.219
75.516,35.219
76.444,35.250
77.758,35.250
78.441,35.281
79.465,35.281
80.440,35.250
81.463,35.281
82.439,35.281
83.469,35.281
84.635,35.281
85.479,35.281
86.444,35.281
87.460,35.281
88.507,35.312
89.507,35.312
90.434,35.375
91.457,35.375
92.432,35.375
93.531,35.344
94.479,35.344
95.588,35.375
96.436,35.375
97.526,35.406
98.577,35.375
99.452,35.375
100.525,35.375
101.451,35.406
102.426,35.438
103.693,35.406
104.425,35.406
105.498,35.375
106.963,35.375
107.475,35.375
108.520,35.406
109.641,35.375
110.461,35.375
111.727,35.375
112.517,35.344
113.736,35.375
114.762,35.281
115.469,35.281
116.466,35.312
117.636,35.344
118.513,35.344
119.443,35.344
120.484,35.344
121.439,35.344
122.462,35.375
123.437,35.375
124.513,35.469
125.582,35.469
126.490,35.469
127.435,35.469
128.459,35.469
129.579,35.469
130.458,35.406
131.438,35.438
132.459,35.438
133.444,35.469
134.456,35.438
135.430,35.469
136.454,35.438
137.429,35.438
138.453,35.406
139.483,35.406
140.548,35.469
141.426,35.438
142.450,35.438
143.425,35.469
144.448,35.500
145.424,35.531
146.496,35.469
147.423,35.469
148.451,35.500
149.421,35.500
150.445,35.500
151.518,35.531
152.444,35.500
153.468,35.531
154.448,35.531
155.568,35.531
156.441,35.594
157.416,35.594
158.440,35.594
159.463,35.562
160.442,35.562
161.462,35.531
162.784,35.562
163.461,35.531
164.438,35.531
165.463,35.562
166.535,35.594
167.459,35.656
168.436,35.656
169.461,35.688
170.461,35.750
171.457,35.750
172.432,35.719
173.455,35.719
174.430,35.719
175.454,35.688
176.726,35.688
177.463,35.594
178.432,35.594
179.451,35.594
180.426,35.594
181.453,35.562
182.425,35.562
183.449,35.562
184.472,35.562
185.498,35.562
186.423,35.562
187.477,35.594
188.422,35.594
189.445,35.562
190.439,35.562
191.444,35.594
192.427,35.594
193.491,35.594
194.420,35.625
195.442,35.594
196.465,35.594
197.441,35.594
198.528,35.594
199.439,35.562
200.463,35.594
201.437,35.594
202.719,35.594
203.437,35.594
204.412,35.594
205.484,35.594
206.410,35.594
207.580,35.562
208.458,35.562
209.433,35.531
210.457,35.500
211.435,35.531
212.455,35.531
213.430,35.531
214.454,35.562
215.431,35.531
216.452,35.531
217.603,35.531
218.549,35.625
219.427,35.688
220.450,35.719
221.425,35.688
222.449,35.656
223.424,35.656
224.450,35.656
225.651,35.656
226.446,35.656
227.470,35.656
228.445,35.594
229.420,35.594
230.444,35.594
231.419,35.625
232.444,35.625
233.456,35.688
234.472,35.688
235.417,35.688
236.441,35.656
237.467,35.656
238.439,35.656
239.414,35.625
240.438,35.625
241.461,35.625
242.437,35.656
243.509,35.625
244.439,35.625
245.410,35.625
246.435,35.656
247.414,35.656
248.481,35.688
249.508,35.719
250.432,35.719
251.458,35.719
252.430,35.719
253.409,35.719
254.429,35.719
255.409,35.719
256.428,35.719
257.452,35.719
258.572,35.656
259.450,35.688
260.425,35.625
261.449,35.656
262.424,35.656
263.451,35.656
264.423,35.688
265.447,35.750
266.422,35.719
267.445,35.750
268.428,35.750
269.448,35.750
270.419,35.812
271.443,35.781
272.488,35.781
273.442,35.781
274.417,35.781
275.441,35.719
276.415,35.781
277.439,35.781
278.414,35.781
279.446,35.750
280.610,35.750
281.437,35.750
282.615,35.781
283.435,35.750
284.482,35.750
285.442,35.750
286.410,35.750
287.433,35.719
288.408,35.719
289.437,35.781
290.407,35.781
291.431,35.750
292.417,35.719
293.629,35.719
294.404,35.719
295.528,35.719
296.500,35.688
297.427,35.688
298.452,35.688
299.432,35.688
300.422,35.688
301.425,35.688
302.445,35.719
303.423,35.719
304.467,35.688
305.720,35.688
306.543,35.656
307.420,35.688
308.444,35.719
309.423,35.719
310.621,35.688
311.439,35.688
312.454,35.719
313.468,35.750
314.446,35.812
315.416,35.844
316.439,35.906
317.414,35.875
318.443,35.875
319.523,35.875
320.436,35.875
321.411,35.906
322.436,35.875
323.608,35.844
324.726,35.844
325.433,35.844
326.433,35.812
327.434,35.812
328.432,35.812
329.407,35.812
330.431,35.844
331.428,35.812
332.436,35.812
333.404,35.812
334.429,35.781
335.403,35.781
336.430,35.781
337.407,35.812
338.426,35.781
