df_hash,22ZHK4.DA4SRM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VZ79
person_label,V62
date_time_start,2025-10-31_16-10-53.892000_+03
date_time_start_unix,1761912653.892
date_time_end,2025-10-31_16-19-41.517000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.847,208,72,2
6.303,282,74,3
6.529,356,74,4
7.017,428,72,5
7.212,502,74,6
7.650,575,73,7
8.089,648,73,8
8.333,722,74,9
8.774,794,72,10
9.064,868,74,11
9.455,942,74,12
9.893,1014,72,13
10.137,1088,74,14
10.576,1161,73,15
11.014,1233,72,16
11.307,1307,74,17
11.700,1380,73,18
11.990,1452,72,19
12.381,1526,74,20
12.818,1598,72,21
13.062,1672,74,22
13.501,1746,74,23
13.842,1817,71,24
14.183,1891,74,25
14.622,1965,74,26
14.916,2037,72,27
15.336,2111,74,28
15.797,2184,73,29
15.997,2257,73,30
16.426,2331,74,31
16.718,2403,72,32
17.112,2477,74,33
17.596,2551,74,34
17.797,2621,70,35
18.230,2695,74,36
18.522,2769,74,37
18.963,2841,72,38
19.351,2915,74,39
19.648,2988,73,40
20.034,3061,73,41
20.326,3135,74,42
20.764,3207,72,43
21.154,3281,74,44
21.448,3355,74,45
21.893,3426,71,46
22.130,3500,74,47
22.519,3574,74,48
22.958,3646,72,49
23.300,3720,74,50
23.641,3793,73,51
24.133,3866,73,52
24.470,3940,74,53
24.762,4010,70,54
25.055,4084,74,55
25.445,4158,74,56
25.883,4230,72,57
26.176,4304,74,58
26.663,4378,74,59
26.863,4450,72,60
27.297,4524,74,61
27.979,4597,73,62
28.010,4670,73,63
28.564,4744,74,64
28.809,4816,72,65
29.101,4890,74,66
29.588,4964,74,67
30.031,5036,72,68
30.173,5110,74,69
30.613,5184,74,70
30.905,5256,72,71
31.295,5330,74,72
31.605,5403,73,73
32.026,5476,73,74
32.420,5550,74,75
32.709,5622,72,76
33.098,5696,74,77
33.537,5770,74,78
33.847,5841,71,79
34.220,5915,74,80
34.516,5989,74,81
34.952,6061,72,82
35.341,6135,74,83
35.634,6208,73,84
36.048,6281,73,85
36.316,6355,74,86
36.755,6427,72,87
37.145,6501,74,88
