df_hash,22ZHK4.DA4SRM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VZ79
person_label,V62
date_time_start,2025-10-31_16-10-53.892000_+03
date_time_start_unix,1761912653.892
date_time_end,2025-10-31_16-19-41.517000_+03
length_difference_noticed,no

time,temperature
5.601,31.438
6.576,31.453
7.599,31.484
8.574,31.516
9.598,31.484
10.681,31.531
11.697,31.562
12.621,31.562
13.596,31.578
14.595,31.531
15.597,31.562
16.618,31.641
17.793,31.688
18.617,31.672
19.592,31.750
20.616,31.734
21.596,31.766
22.614,31.766
23.589,31.797
24.662,31.859
25.588,31.875
26.807,31.859
27.587,31.875
28.617,31.922
29.784,31.922
30.609,31.953
31.737,31.969
32.608,32.031
33.583,32.062
34.607,32.094
35.582,32.156
36.605,32.188
37.584,32.219
38.605,32.219
39.580,32.219
40.603,32.281
41.627,32.250
42.902,32.250
43.577,32.250
44.601,32.250
45.773,32.250
46.599,32.250
47.575,32.281
48.602,32.281
49.598,32.312
50.597,32.344
51.576,32.375
52.599,32.438
53.571,32.438
54.597,32.500
55.570,32.500
56.742,32.500
57.568,32.500
58.615,32.562
59.671,32.594
60.591,32.594
61.634,32.594
62.838,32.562
63.620,32.594
64.589,32.594
65.661,32.625
66.587,32.688
67.611,32.719
68.586,32.719
69.610,32.875
70.682,32.875
71.608,32.906
72.584,32.969
73.608,32.969
74.607,33.000
75.616,32.969
76.581,33.000
77.605,33.031
78.631,33.062
79.615,32.938
80.579,33.000
81.602,33.000
82.578,33.000
83.701,33.031
84.576,32.969
85.623,33.031
86.575,32.969
87.598,32.938
88.574,32.906
89.601,32.875
90.670,32.906
91.597,32.906
92.571,32.906
93.595,32.906
94.716,32.906
95.642,32.875
96.573,32.969
97.596,33.000
98.568,33.062
99.640,33.094
100.566,33.094
101.787,33.125
102.614,33.156
103.588,33.156
104.761,33.188
105.588,33.219
106.563,33.219
107.587,33.219
108.561,33.250
109.585,33.219
110.609,33.125
111.584,33.094
112.608,33.125
113.583,33.094
114.631,33.125
115.582,33.094
116.605,33.125
117.580,33.125
118.604,33.125
120.118,33.156
120.603,33.250
121.578,33.281
122.602,33.250
123.577,33.281
124.602,33.281
125.578,33.281
126.599,33.281
127.574,33.281
128.639,33.281
129.577,33.281
130.597,33.281
131.575,33.312
132.595,33.344
133.571,33.375
134.594,33.375
135.818,33.375
136.593,33.375
137.568,33.375
138.592,33.375
139.567,33.375
140.616,33.375
141.567,33.375
142.689,33.406
143.564,33.375
144.636,33.375
145.612,33.406
146.596,33.406
147.583,33.438
148.585,33.438
149.564,33.438
150.584,33.438
151.659,33.406
152.583,33.406
153.558,33.406
154.581,33.438
155.557,33.438
156.582,33.438
157.604,33.469
158.579,33.500
159.608,33.531
160.578,33.562
161.643,33.562
162.577,33.562
163.601,33.531
164.576,33.500
165.599,33.531
166.818,33.500
167.598,33.500
168.573,33.469
169.633,33.469
170.572,33.438
171.596,33.469
172.571,33.469
173.595,33.531
174.621,33.562
175.593,33.531
176.568,33.594
177.592,33.594
178.567,33.625
179.591,33.625
180.566,33.656
181.589,33.688
182.565,33.688
183.685,33.688
184.564,33.688
185.587,33.656
186.562,33.656
187.586,33.656
188.812,33.688
189.585,33.688
190.561,33.688
191.592,33.688
192.607,33.594
193.630,33.594
194.577,33.594
195.581,33.625
196.556,33.625
197.579,33.656
198.555,33.625
199.578,33.625
200.653,33.625
201.580,33.625
202.567,33.688
203.674,33.750
204.551,33.719
205.575,33.719
206.598,33.688
207.573,33.688
208.597,33.688
209.572,33.688
210.597,33.688
211.571,33.688
212.598,33.688
213.569,33.688
214.601,33.781
215.574,33.750
216.597,33.844
217.588,33.812
218.643,33.781
219.666,33.781
220.598,33.781
221.565,33.812
222.588,33.844
223.616,33.844
224.587,33.812
225.639,33.844
226.586,33.812
227.609,33.812
228.588,33.875
229.661,33.875
230.684,33.875
231.559,33.875
232.877,33.812
233.584,33.812
234.581,33.812
235.556,33.812
236.775,33.781
237.560,33.781
238.578,33.750
239.564,33.750
240.584,33.719
241.553,33.719
242.586,33.688
243.551,33.688
244.721,33.656
245.550,33.656
246.574,33.688
247.892,33.688
248.573,33.719
249.551,33.719
250.571,33.750
251.571,33.750
252.619,33.750
253.742,33.781
254.568,33.812
255.599,33.719
256.573,33.719
257.591,33.656
258.615,33.656
259.590,33.562
260.565,33.562
261.589,33.500
262.589,33.500
263.588,33.500
264.563,33.531
265.586,33.625
266.561,33.688
267.585,33.750
268.560,33.781
269.584,33.906
270.561,33.906
271.583,33.906
272.806,33.938
273.608,33.938
274.556,33.906
275.584,33.844
276.753,33.750
277.579,33.719
278.556,33.688
279.578,33.688
280.553,33.688
281.576,33.750
282.551,33.750
283.575,33.781
284.599,33.781
285.574,33.844
286.550,33.875
287.770,33.875
288.572,33.906
289.574,33.906
290.559,33.875
291.570,33.875
292.545,33.844
293.569,33.844
294.644,33.844
295.568,33.812
296.543,33.812
297.568,33.812
298.785,33.812
299.565,33.844
300.540,33.812
301.564,33.844
302.539,33.875
303.585,33.844
304.602,33.875
305.566,33.875
306.585,33.875
307.573,33.875
308.584,33.781
309.559,33.750
310.583,33.781
311.558,33.750
312.630,33.875
313.702,33.875
314.580,33.844
315.604,33.844
316.579,33.875
317.557,33.906
318.601,34.000
