df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.492,75,75,0
6.125,150,75,1
7.052,225,75,2
7.588,300,75,3
8.468,375,75,4
9.099,450,75,5
9.977,525,75,6
10.562,600,75,7
11.505,675,75,8
12.073,750,75,9
12.956,825,75,10
13.560,900,75,11
14.464,975,75,12
15.047,1050,75,13
15.982,1125,75,14
16.558,1200,75,15
17.436,1275,75,16
18.020,1350,75,17
18.947,1425,75,18
19.581,1500,75,19
20.409,1575,75,20
20.994,1650,75,21
21.969,1725,75,22
22.506,1800,75,23
23.458,1875,75,24
23.968,1950,75,25
24.894,2025,75,26
25.482,2100,75,27
26.406,2175,75,28
27.029,2250,75,29
27.917,2325,75,30
28.453,2400,75,31
29.379,2475,75,32
30.017,2550,75,33
30.864,2625,75,34
31.427,2700,75,35
32.389,2775,75,36
32.938,2850,75,37
33.816,2925,75,38
34.642,3000,75,39
35.327,3075,75,40
35.956,3150,75,41
36.790,3225,75,42
37.426,3300,75,43
38.301,3375,75,44
38.890,3450,75,45
39.958,3525,75,46
40.397,3600,75,47
41.274,3675,75,48
41.859,3750,75,49
42.883,3825,75,50
43.371,3900,75,51
44.253,3975,75,52
44.835,4050,75,53
45.760,4125,75,54
46.350,4200,75,55
47.319,4275,75,56
47.856,4350,75,57
48.818,4425,75,58
49.356,4500,75,59
50.199,4575,75,60
50.829,4650,75,61
51.707,4725,75,62
52.297,4800,75,63
53.267,4875,75,64
53.803,4950,75,65
54.761,5025,75,66
55.266,5100,75,67
56.192,5175,75,68
56.846,5250,75,69
57.687,5325,75,70
58.337,5400,75,71
59.291,5475,75,72
59.752,5550,75,73
60.677,5625,75,74
61.262,5700,75,75
62.140,5775,75,76
62.725,5850,75,77
63.651,5925,75,78
64.285,6000,75,79
65.113,6075,75,80
65.745,6150,75,81
66.624,6225,75,82
67.210,6300,75,83
68.136,6375,75,84
68.721,6450,75,85
69.599,6525,75,86
70.206,6600,75,87
71.109,6675,75,88
71.743,6750,75,89
72.572,6825,75,90
73.157,6900,75,91
74.084,6975,75,92
74.668,7050,75,93
75.616,7125,75,94
76.180,7200,75,95
77.057,7275,75,96
77.643,7350,75,97
78.569,7425,75,98
79.223,7500,75,99
80.323,7575,75,100
80.625,7650,75,101
81.542,7725,75,102
82.127,7800,75,103
83.363,7875,75,104
83.638,7950,75,105
84.538,8025,75,106
85.101,8100,75,107
86.027,8175,75,108
86.661,8250,75,109
87.490,8325,75,110
88.096,8400,75,111
89.050,8475,75,112
89.586,8550,75,113
90.464,8625,75,114
91.097,8700,75,115
91.980,8775,75,116
92.589,8850,75,117
93.441,8925,75,118
94.071,9000,75,119
94.949,9075,75,120
95.726,9150,75,121
96.485,9225,75,122
97.096,9300,75,123
97.922,9375,75,124
98.598,9450,75,125
99.434,9525,75,126
100.019,9600,75,127
100.972,9675,75,128
101.530,9750,75,129
102.407,9825,75,130
103.015,9900,75,131
