df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,temperature
4.804,34.562
5.754,34.594
6.757,34.625
7.732,34.625
8.756,34.625
9.736,34.688
10.851,34.688
11.731,34.719
12.950,34.750
13.728,34.750
14.751,34.750
15.735,34.781
16.770,34.812
17.825,34.844
18.749,34.844
19.724,34.844
20.755,34.875
21.723,34.938
22.747,34.938
23.722,34.969
24.746,35.000
25.721,34.969
27.012,35.000
27.719,35.031
28.743,35.031
29.776,35.094
30.745,35.094
31.765,35.094
32.750,35.125
33.719,35.125
34.791,35.156
35.763,35.156
36.738,35.188
38.154,35.156
38.744,35.188
39.784,35.188
40.736,35.219
41.759,35.188
42.734,35.219
43.758,35.219
44.733,35.219
45.757,35.219
46.929,35.250
47.756,35.281
49.120,35.281
49.775,35.281
50.730,35.312
51.753,35.375
52.728,35.406
53.752,35.438
54.973,35.438
55.771,35.469
56.726,35.469
57.749,35.469
59.017,35.500
59.748,35.531
60.731,35.531
61.747,35.531
62.722,35.531
63.746,35.531
64.722,35.500
65.764,35.562
67.064,35.562
67.748,35.594
68.743,35.625
69.767,35.625
70.717,35.656
71.790,35.656
72.716,35.625
73.739,35.656
74.715,35.688
75.739,35.656
76.714,35.656
77.791,35.688
78.712,35.656
79.785,35.656
80.857,35.656
81.735,35.656
82.710,35.688
83.733,35.719
84.708,35.750
85.978,35.750
86.711,35.750
87.731,35.750
88.755,35.750
89.730,35.719
90.753,35.719
91.975,35.750
92.752,35.781
93.728,35.750
94.753,35.750
95.753,35.781
96.750,35.844
97.725,35.875
98.806,35.875
99.724,35.906
100.747,35.906
101.771,35.875
102.746,35.906
103.721,35.906
104.749,35.938
105.777,35.938
106.744,35.906
107.719,35.906
108.989,35.906
109.766,35.938
110.741,35.969
111.716,36.000
112.840,36.000
113.748,36.000
114.739,35.969
115.802,36.000
116.737,35.969
117.766,35.969
118.736,35.969
120.003,35.969
120.735,36.000
121.710,36.000
122.734,36.000
123.855,36.000
124.735,36.000
125.708,36.031
126.733,36.031
127.706,36.062
128.735,36.062
129.705,36.062
130.728,36.062
131.768,36.062
132.728,36.062
134.043,36.062
134.970,36.094
135.750,36.094
136.969,36.094
137.749,36.062
138.724,36.062
139.749,36.062
140.723,36.125
141.746,36.156
142.966,36.156
143.745,36.188
144.771,36.156
145.748,36.281
146.768,36.281
148.083,36.312
148.718,36.344
149.745,36.375
150.963,36.312
151.740,36.281
152.715,36.312
153.888,36.312
154.714,36.344
155.738,36.250
156.716,36.250
157.737,36.250
158.712,36.250
159.735,36.250
160.711,36.250
161.735,36.250
162.709,36.281
163.733,36.281
164.756,36.281
165.731,36.281
166.804,36.312
167.730,36.312
168.900,36.312
169.729,36.312
170.761,36.344
171.749,36.344
172.777,36.312
173.727,36.281
174.702,36.281
175.774,36.250
176.960,36.219
177.727,36.219
178.699,36.219
179.807,36.250
180.698,36.281
181.779,36.250
182.746,36.250
183.720,36.250
184.800,36.281
185.719,36.281
186.800,36.312
188.013,36.312
188.742,36.281
189.718,36.281
190.741,36.312
191.715,36.344
192.739,36.375
193.714,36.375
194.838,36.500
195.768,36.500
196.786,36.500
197.716,36.500
198.737,36.562
199.711,36.562
200.734,36.562
201.709,36.562
202.787,36.531
203.710,36.531
204.978,36.406
205.717,36.406
206.730,36.406
207.714,36.438
208.845,36.406
209.765,36.406
210.728,36.406
211.824,36.438
212.726,36.500
213.717,36.500
214.774,36.500
216.044,36.531
216.726,36.562
217.699,36.531
218.723,36.500
219.990,36.531
220.722,36.531
221.697,36.500
222.721,36.438
223.775,36.469
224.722,36.469
225.695,36.438
226.718,36.469
227.693,36.500
228.716,36.531
229.769,36.500
231.109,36.469
231.743,36.469
232.767,36.500
233.739,36.500
234.772,36.500
235.737,36.469
236.987,36.438
237.740,36.438
238.908,36.406
239.734,36.438
241.009,36.438
241.733,36.469
242.757,36.469
243.732,36.438
244.707,36.469
245.734,36.438
246.706,36.469
247.778,36.438
248.705,36.438
249.728,36.406
250.703,36.406
251.766,36.406
252.702,36.406
253.748,36.438
254.701,36.406
255.724,36.438
256.702,36.406
257.723,36.406
258.699,36.438
259.722,36.438
260.697,36.438
261.721,36.375
263.134,36.375
263.720,36.375
264.706,36.375
265.718,36.375
266.718,36.375
267.739,36.375
268.692,36.375
269.716,36.375
270.695,36.438
271.717,36.469
272.690,36.469
273.714,36.438
274.689,36.469
275.712,36.438
276.687,36.438
277.714,36.438
278.883,36.438
279.716,36.438
280.734,36.438
281.709,36.438
282.736,36.469
283.782,36.469
284.733,36.438
285.706,36.469
286.730,36.500
287.708,36.500
288.777,36.531
289.704,36.500
290.769,36.531
291.903,36.531
292.726,36.562
293.801,36.562
294.803,36.594
295.702,36.594
296.759,36.625
297.699,36.625
298.722,36.625
299.697,36.625
300.721,36.594
301.745,36.562
302.719,36.562
303.695,36.594
304.719,36.562
305.723,36.531
306.718,36.531
307.706,36.531
308.716,36.500
309.715,36.531
310.717,36.562
311.690,36.594
312.714,36.594
313.689,36.594
314.784,36.562
315.688,36.594
316.711,36.594
317.930,36.594
