df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,omega
36.133,0.677
36.884,0.675
38.045,0.673
38.727,0.674
39.742,0.674
40.524,0.675
41.354,0.675
42.236,0.675
43.204,0.674
44.226,0.674
44.813,0.672
46.031,0.672
46.760,0.671
47.838,0.671
48.713,0.672
49.928,0.671
50.664,0.671
51.392,0.672
52.324,0.674
53.149,0.674
54.215,0.676
55.053,0.676
56.120,0.676
56.922,0.676
57.979,0.674
58.716,0.669
59.739,0.667
60.610,0.669
61.489,0.668
62.214,0.668
63.193,0.664
64.117,0.662
64.951,0.664
65.929,0.664
66.758,0.664
67.725,0.672
68.700,0.672
69.538,0.668
70.650,0.664
71.628,0.664
72.457,0.664
73.426,0.666
74.308,0.667
75.181,0.670
76.113,0.675
76.987,0.678
77.917,0.679
78.745,0.678
79.720,0.679
80.790,0.680
81.567,0.680
82.604,0.684
83.523,0.684
84.426,0.684
88.883,0.684
90.696,0.684
91.417,0.684
92.498,0.687
93.367,0.687
94.729,0.687
95.464,0.687
96.249,0.684
97.224,0.677
98.287,0.677
99.071,0.676
100.100,0.675
100.973,0.670
101.854,0.675
102.971,0.675
103.747,0.675
104.593,0.670
105.603,0.670
106.629,0.675
107.765,0.670
108.480,0.675
109.558,0.675
111.259,0.678
113.495,0.675
115.454,0.675
116.520,0.675
117.519,0.675
118.620,0.675
119.737,0.675
120.423,0.672
121.545,0.670
122.666,0.668
123.397,0.669
124.470,0.669
125.591,0.669
126.322,0.669
127.399,0.669
128.269,0.669
129.205,0.667
130.085,0.667
131.006,0.667
132.126,0.664
133.000,0.664
133.914,0.667
134.814,0.670
135.784,0.672
136.660,0.674
137.634,0.674
138.611,0.675
139.534,0.675
140.462,0.676
141.534,0.677
142.552,0.678
143.239,0.679
144.119,0.679
145.240,0.679
146.114,0.679
147.086,0.680
148.064,0.680
148.943,0.679
149.093,0.678
150.897,0.679
151.721,0.678
152.644,0.679
153.576,0.679
154.695,0.679
155.667,0.679
156.496,0.684
157.447,0.689
158.303,0.691
159.375,0.693
160.252,0.693
161.226,0.693
162.200,0.695
163.034,0.695
164.068,0.695
164.837,0.695
165.807,0.695
166.979,0.695
167.760,0.695
168.784,0.696
169.533,0.696
170.533,0.696
171.367,0.696
172.241,0.696
173.175,0.696
174.192,0.696
174.975,0.696
175.904,0.696
176.738,0.696
177.702,0.697
178.554,0.697
179.413,0.697
180.443,0.696
181.213,0.695
182.188,0.695
183.214,0.695
184.146,0.695
185.114,0.694
185.945,0.691
186.925,0.689
187.747,0.689
188.726,0.689
189.599,0.689
190.525,0.689
191.453,0.689
192.229,0.689
193.207,0.689
194.180,0.689
195.011,0.689
196.083,0.689
197.205,0.689
197.938,0.689
198.725,0.688
199.788,0.689
200.814,0.689
201.544,0.689
202.661,0.689
203.345,0.690
204.420,0.690
205.443,0.690
206.176,0.691
207.199,0.690
208.029,0.689
209.153,0.689
209.738,0.687
210.948,0.684
211.564,0.684
212.415,0.684
213.241,0.685
214.216,0.685
215.047,0.687
216.068,0.685
216.853,0.687
217.924,0.687
219.089,0.688
219.780,0.688
220.848,0.689
221.832,0.689
222.704,0.689
223.687,0.688
224.764,0.688
225.394,0.689
231.667,0.689
255.171,0.691
255.901,0.691
257.706,0.692
258.190,0.693
258.780,0.695
260.446,0.693
264.529,0.695
271.936,0.693
274.522,0.695
279.014,0.693
279.098,0.695
281.253,0.698
283.882,0.699
287.493,0.698
289.976,0.695
293.485,0.695
294.408,0.695
295.145,0.692
295.976,0.675
302.386,0.675
303.479,0.675
311.572,0.685
312.402,0.668
314.157,0.660
316.639,0.660
317.451,0.660
319.915,0.660
323.080,0.658
326.163,0.655
327.027,0.652
328.646,0.649
331.023,0.635
333.218,0.635
337.261,0.622
337.365,0.619
338.919,0.614
340.734,0.621
345.015,0.621
345.797,0.621
346.580,0.621
348.399,0.621
352.132,0.621
353.548,0.621
354.668,0.616
355.395,0.613
359.739,0.616
362.173,0.616
363.051,0.616
364.516,0.616
367.879,0.620
372.944,0.620
379.727,0.620
383.050,0.616
388.556,0.620
393.567,0.618
393.623,0.622
395.139,0.622
396.055,0.622
396.906,0.623
398.055,0.626
398.740,0.626
399.421,0.624
400.847,0.623
405.166,0.624
409.211,0.627
411.999,0.627
416.384,0.643
432.119,0.662
433.108,0.662
448.994,0.662
469.432,0.662
470.350,0.657
471.182,0.657
472.105,0.658
475.031,0.658
