df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.224,205720,1353,307216
5.229,205705,1281,307232
5.234,205716,1242,307236
5.239,205713,1217,307254
5.244,205713,1208,307232
5.249,205737,1191,307275
5.254,205717,1171,307272
5.259,205754,1160,307275
5.264,205738,1163,307264
5.269,205727,1153,307270
5.274,205736,1146,307261
5.279,205742,1139,307275
5.284,205755,1134,307264
5.289,205759,1125,307290
5.294,205756,1121,307312
5.299,205706,1148,307317
5.304,205769,1119,307315
5.309,205778,1115,307321
5.314,205778,1110,307323
5.319,205798,1105,307327
5.324,205784,1103,307328
5.329,205791,1108,307352
5.334,205793,1105,307344
5.339,205802,1101,307369
5.344,205803,1097,307349
5.349,205818,1098,307349
5.354,205811,1095,307370
5.359,205832,1093,307373
5.364,205843,1090,307406
5.369,205826,1085,307394
5.373,205843,1094,307395
5.378,205834,1091,307399
5.383,205850,1088,307433
5.388,205855,1086,307402
5.393,205883,1080,307437
5.398,205874,1085,307439
5.403,205890,1079,307450
5.408,205883,1075,307428
5.413,205905,1081,307461
5.418,205896,1080,307476
5.423,205914,1077,307459
5.428,205890,1073,307471
5.433,205910,1067,307482
5.438,205925,1078,307482
5.443,205914,1072,307514
5.448,205931,1074,307513
5.453,205961,1070,307511
5.458,205937,1069,307517
5.463,205936,1064,307519
5.468,205958,1061,307507
5.473,205959,1068,307546
5.478,205971,1067,307549
5.483,205978,1065,307556
5.488,205981,1061,307551
5.493,206003,1058,307573
5.498,206007,1066,307557
5.503,205994,1063,307573
5.508,206010,1061,307613
5.513,206019,1057,307626
5.518,206047,1056,307591
5.522,206044,1053,307627
5.527,206053,1062,307636
5.532,206056,1058,307643
5.537,206065,1056,307652
5.542,206066,1057,307545
5.547,206053,1054,307636
5.552,206065,1051,307623
5.557,206049,1049,307633
5.562,206064,1058,307619
5.567,206045,1053,307613
5.572,206024,1049,307591
5.577,206011,1047,307550
5.582,206006,1044,307519
5.587,205985,1053,307523
5.592,205956,1040,307494
5.597,205943,1054,307458
5.602,205939,1050,307424
5.607,205930,1048,307430
5.612,205899,1042,307407
5.617,205889,1039,307398
5.622,205873,1048,307404
5.627,205890,1045,307372
5.632,205853,1041,307363
5.637,205866,1037,307357
5.642,205836,1039,307359
5.647,205845,1037,307371
5.652,205834,1044,307351
5.657,205828,1041,307344
5.662,205832,1039,307341
5.667,205833,1035,307353
5.671,205812,1044,307354
5.676,205831,1041,307365
5.681,205806,1038,307343
5.686,205818,1036,307347
5.691,205815,1036,307317
5.696,205798,1036,307357
5.701,205797,1033,307331
5.706,205778,1030,307324
5.711,205805,1038,307325
5.716,205793,1033,307346
5.721,205777,1032,307335
5.726,205779,1028,307305
5.731,205765,1038,307303
5.736,205747,1027,307305
5.741,205763,1027,307299
5.746,205753,1029,307311
5.751,205751,1027,307303
5.756,205745,1024,307301
5.761,205739,1033,307277
5.766,205740,1030,307300
5.771,205735,1026,307278
5.776,205720,1025,307281
5.781,205738,1023,307274
5.786,205739,1033,307291
5.791,205740,1021,307303
5.796,205732,1032,307287
5.801,205744,1031,307324
5.806,205741,1027,307313
5.811,205728,1023,307319
5.816,205756,1022,307310
5.820,205764,1020,307328
5.825,205758,1017,307355
5.830,205765,1026,307356
5.835,205770,1024,307352
5.840,205786,1028,307344
5.845,205784,1024,307361
5.850,205777,1020,307360
5.855,205802,1017,307362
5.860,205789,1016,307375
5.865,205777,1026,307351
5.870,205781,1022,307363
5.875,205784,1020,307359
5.880,205776,1020,307351
5.885,205775,1024,307361
5.890,205770,1020,307362
5.895,205789,1019,307375
5.900,205789,1017,307364
5.905,205772,1012,307377
5.910,205789,1021,307351
5.915,205796,1018,307365
5.920,205794,1016,307407
5.925,205792,1012,307399
5.930,205782,1008,307409
5.935,205789,1011,307387
5.940,205802,1009,307400
5.945,205795,1018,307398
5.950,205816,1016,307395
5.955,205819,1012,307401
5.960,205797,1012,307415
5.965,205802,1009,307411
5.969,205819,1006,307425
5.974,205813,1015,307435
5.979,205807,1015,307413
5.984,205839,1005,307419
5.989,205819,1010,307434
5.994,205824,1006,307422
5.999,205824,1007,307457
6.004,205838,1004,307445
6.009,205833,1013,307453
6.014,205849,1012,307457
6.019,205836,1009,307466
6.024,205856,1008,307478
6.029,205861,1004,307488
6.034,205865,1006,307504
6.039,205862,1005,307478
6.044,205867,1002,307501
6.049,205885,1010,307511
