df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,ppg_quality
57.629,110
59.649,108
61.669,106
63.689,107
65.709,107
66.719,108
68.739,106
70.759,107
72.779,110
74.799,110
76.819,110
79.849,115
80.859,115
81.869,113
83.889,110
85.909,104
86.919,98
88.939,88
89.949,86
91.969,88
92.979,89
93.989,90
94.999,92
97.019,103
98.029,107
99.039,110
101.059,115
102.069,116
103.079,116
105.099,112
106.109,111
108.129,109
110.149,110
112.169,113
114.189,114
116.209,115
117.219,116
119.239,116
120.249,115
121.259,114
123.279,110
125.299,114
127.319,118
129.339,120
130.349,121
132.369,122
134.389,123
135.399,121
136.409,119
138.429,115
140.449,114
141.459,114
142.469,113
143.479,113
145.499,116
146.509,118
147.519,120
149.539,119
151.559,114
152.569,111
154.589,108
155.599,108
156.609,108
158.629,108
160.649,112
162.669,117
164.689,118
166.709,112
167.719,110
169.739,107
171.759,107
173.779,106
175.799,108
177.819,108
179.839,111
180.849,111
182.869,111
183.879,112
184.889,112
186.909,114
188.929,113
189.939,111
191.959,111
192.969,112
193.979,112
195.999,112
197.009,111
198.019,112
200.039,113
202.059,111
203.069,111
204.079,110
205.089,110
207.109,114
208.119,115
209.129,115
211.149,113
213.169,112
214.179,112
215.189,112
216.199,111
218.219,106
219.229,107
220.239,110
222.259,113
223.269,113
225.289,112
226.299,111
228.319,106
230.339,96
231.349,87
232.359,83
233.369,82
235.389,72
237.409,59
239.429,46
240.439,36
241.449,30
242.459,23
244.479,7
246.499,36
247.509,41
249.529,66
250.539,79
252.559,93
253.569,108
255.589,88
257.609,80
259.629,71
261.639,76
263.659,75
266.689,57
268.709,28
270.729,25
272.749,27
274.769,32
275.779,31
277.799,39
279.819,48
281.839,38
283.859,38
285.879,52
287.899,66
289.919,75
290.929,77
291.939,82
292.949,87
294.969,90
296.989,93
297.999,92
299.009,88
300.019,82
302.039,66
304.059,57
305.069,56
306.079,58
308.099,69
310.119,80
311.129,81
313.149,72
314.159,66
315.169,62
317.189,59
319.209,55
320.219,57
322.239,79
324.259,87
326.279,86
328.299,83
330.319,75
332.339,62
334.359,65
335.369,68
337.389,74
339.409,80
342.439,89
343.449,86
346.479,66
347.489,64
348.499,64
349.509,69
350.519,70
351.529,68
353.549,66
354.559,76
356.579,90
357.589,86
359.609,78
361.629,84
363.649,77
365.669,77
366.679,78
367.689,77
368.699,76
370.719,73
372.739,73
374.759,83
376.779,75
377.789,66
378.799,60
379.809,62
381.829,65
383.849,61
385.869,55
387.889,61
389.909,65
390.919,63
392.939,57
394.959,40
395.969,36
396.979,39
397.989,44
398.999,49
401.019,47
402.029,47
403.039,54
404.049,64
406.069,71
407.079,67
408.089,55
409.099,45
410.109,40
412.129,44
413.139,38
415.159,22
417.179,24
418.189,39
419.199,52
421.219,67
423.239,71
424.249,72
426.269,86
428.289,66
430.309,56
432.329,49
433.339,50
435.359,62
437.379,86
439.399,101
441.419,107
443.439,115
444.449,108
445.459,102
446.469,96
448.489,100
450.509,100
452.529,94
454.549,96
456.569,104
459.599,104
461.619,114
463.639,117
465.659,116
467.679,114
468.689,113
470.709,111
472.729,109
474.749,114
475.759,117
476.769,117
477.779,114
478.789,110
480.809,97
481.819,135
483.839,103
485.859,92
487.879,80
489.899,72
491.919,53
