df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,rr_int
10.145,3965
10.159,1350
10.437,10
11.267,320
11.802,775
11.807,650
12.095,215
12.485,445
12.924,15
13.463,445
13.560,530
13.899,20
14.778,385
15.557,915
16.531,850
17.360,875
18.189,885
19.164,905
19.993,890
20.729,830
21.552,775
22.382,755
23.356,945
24.335,925
25.160,910
25.989,880
26.818,835
27.652,855
28.622,910
29.599,950
30.425,920
31.454,940
32.235,865
33.112,885
33.204,900
34.082,10
35.058,925
35.983,965
36.861,950
37.835,890
38.714,905
39.639,925
40.467,900
41.296,910
42.125,875
43.100,840
43.929,865
44.757,880
45.732,910
46.707,925
47.541,930
48.657,950
49.730,1020
50.515,965
51.290,910
52.314,880
53.094,900
54.069,895
54.946,920
55.921,940
56.860,955
57.725,900
58.651,885
59.529,910
60.552,930
61.338,940
62.161,875
63.140,860
63.965,895
64.940,910
65.768,900
66.744,915
67.572,900
68.547,925
69.524,955
70.497,955
71.473,975
72.307,965
73.276,935
74.251,910
75.080,950
76.058,950
76.883,890
77.859,885
78.687,905
79.699,940
80.638,955
81.492,910
82.446,915
83.469,935
84.394,960
84.440,960
84.539,180
84.732,125
84.736,65
85.223,490
85.954,10
86.633,745
86.637,715
87.658,10
88.584,880
89.558,1005
90.536,975
91.362,975
92.351,950
93.312,980
94.336,975
95.262,950
96.238,955
97.163,965
98.187,980
99.016,940
100.001,905
100.943,940
101.795,945
102.721,935
103.598,905
104.576,910
105.548,975
106.523,1000
107.471,990
108.425,920
109.403,950
110.229,965
111.212,890
111.386,940
111.398,175
111.401,10
111.405,10
111.408,10
112.081,10
112.763,630
113.448,795
113.496,695
114.421,10
115.402,950
116.397,940
117.357,960
118.516,1035
119.326,1040
120.320,965
121.392,980
122.367,1015
123.342,1015
124.317,990
125.292,985
126.267,960
127.247,985
128.217,980
129.192,965
130.021,940
130.996,920
131.923,945
132.897,940
133.779,970
134.750,920
135.751,925
136.602,950
137.528,950
138.521,945
139.478,970
140.405,990
141.282,960
142.257,915
143.187,915
144.066,945
145.039,940
146.011,960
146.986,945
147.961,960
148.897,960
148.944,950
149.770,10
150.762,910
151.569,920
152.543,935
153.521,965
154.493,915
155.468,980
156.443,985
157.272,940
158.247,885
159.222,930
160.197,995
161.124,1005
162.001,960
162.979,925
163.951,940
164.779,950
165.754,935
166.730,905
167.559,945
168.557,950
169.412,935
170.340,875
171.312,915
172.141,950
173.116,940
173.944,895
174.920,895
175.789,920
176.584,885
177.552,860
178.381,910
179.356,930
180.379,930
181.160,915
182.134,935
183.113,975
184.084,975
185.060,930
185.888,940
186.871,945
187.692,900
188.675,885
189.544,910
190.373,915
191.349,890
192.177,895
193.152,915
194.127,945
194.956,930
195.931,900
196.906,965
197.881,995
198.711,935
199.695,905
200.708,930
201.488,930
202.516,930
203.292,920
204.267,920
205.242,940
206.071,905
207.046,905
207.874,930
208.849,935
209.681,880
210.563,880
211.537,905
212.359,905
213.216,865
214.163,880
214.992,910
215.821,905
216.796,870
217.771,915
218.746,985
219.727,1015
220.696,970
221.671,960
222.651,985
223.670,995
224.595,960
225.278,990
225.717,610
226.400,490
226.403,650
226.545,195
228.057,1155
229.178,360
230.007,1135
230.836,825
231.421,875
231.668,575
232.640,295
233.468,895
233.760,860
233.764,305
233.912,10
233.926,20
234.056,35
234.059,20
235.126,15
235.565,1300
236.832,480
236.836,1220
237.076,10
237.225,415
238.346,305
239.178,785
239.758,810
239.764,260
240.041,395
240.829,220
240.978,1000
241.122,10
241.125,165
241.418,210
242.780,1230
244.341,235
244.439,1510
245.181,10
246.679,790
247.508,1485
247.511,840
248.240,10
249.169,805
249.466,875
250.872,365
251.701,1360
251.993,870
252.544,250
253.358,585
254.333,860
255.015,885
255.844,780
255.848,835
256.673,10
257.405,790
258.135,735
258.675,665
259.354,620
260.378,735
261.453,935
261.987,840
262.962,845
263.352,920
263.791,420
264.473,450
264.478,640
264.619,10
265.425,250
266.423,635
268.520,1145
269.056,2035
269.933,645
270.860,835
271.737,900
271.883,920
272.036,255
272.130,10
272.160,155
272.274,135
272.289,10
272.424,15
272.480,70
272.615,205
274.369,935
274.531,770
275.204,10
275.881,950
276.027,855
277.928,955
278.816,850
279.017,875
279.099,195
279.102,10
279.150,10
279.153,15
279.489,15
280.320,515
281.222,830
282.172,880
282.852,840
283.834,825
284.073,925
284.656,10
285.533,855
286.313,885
287.288,835
287.439,885
288.117,245
288.946,665
289.920,900
290.750,910
291.724,910
291.730,875
292.556,10
293.431,860
294.260,870
295.088,830
295.922,790
296.746,900
297.578,805
298.406,895
299.233,730
299.963,865
299.966,745
300.648,10
301.475,660
302.306,830
302.354,880
303.171,10
303.424,810
303.573,350
303.622,20
303.625,10
303.628,10
303.964,15
304.838,420
304.841,900
305.667,10
306.647,870
307.473,850
308.299,910
309.128,770
309.420,870
309.424,340
309.470,15
309.474,10
309.538,15
309.543,15
309.567,30
309.570,25
309.762,15
309.816,15
310.786,315
311.517,905
312.346,740
312.349,830
313.199,10
314.003,840
314.832,840
