df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,temperature
5.222,33.375
6.200,33.375
7.221,33.344
8.442,33.312
9.219,33.281
10.194,33.219
11.218,33.188
12.193,33.219
13.460,33.219
14.195,33.219
15.215,33.219
16.190,33.250
17.215,33.281
18.238,33.281
19.228,33.281
20.237,33.312
21.214,33.344
22.235,33.375
23.210,33.344
24.332,33.375
25.230,33.375
26.236,33.406
27.208,33.406
28.231,33.406
29.306,33.438
30.230,33.469
31.206,33.469
32.229,33.469
33.208,33.500
34.228,33.469
35.203,33.469
36.248,33.438
37.202,33.469
38.274,33.469
39.200,33.438
40.224,33.438
41.200,33.438
42.236,33.438
43.298,33.469
44.228,33.438
45.391,33.469
46.220,33.500
47.441,33.469
48.268,33.469
49.196,33.500
50.219,33.469
51.243,33.469
52.217,33.500
53.192,33.500
54.216,33.562
55.190,33.531
56.227,33.562
57.189,33.562
58.212,33.562
59.188,33.594
60.211,33.594
61.332,33.562
62.215,33.531
63.194,33.562
64.209,33.531
65.185,33.531
66.208,33.562
67.232,33.594
68.207,33.594
69.230,33.594
70.205,33.656
71.229,33.656
72.204,33.656
73.228,33.625
74.203,33.625
75.231,33.688
76.229,33.656
77.226,33.719
78.308,33.719
79.226,33.750
80.199,33.750
81.245,33.750
82.198,33.750
83.221,33.750
84.196,33.781
85.220,33.688
86.195,33.688
87.219,33.594
88.243,33.625
89.516,33.594
90.193,33.594
91.216,33.625
92.338,33.625
93.228,33.625
94.190,33.656
95.219,33.688
96.192,33.688
97.261,33.719
98.289,33.688
99.242,33.719
100.186,33.688
101.258,33.688
102.185,33.688
103.309,33.688
104.184,33.688
105.208,33.688
106.239,33.688
107.206,33.688
108.230,33.688
109.400,33.625
110.180,33.688
111.204,33.656
112.183,33.656
113.230,33.688
114.226,33.688
115.201,33.625
116.225,33.594
117.201,33.594
118.224,33.625
119.199,33.625
120.223,33.500
121.198,33.531
122.221,33.562
123.196,33.531
124.220,33.531
125.195,33.562
126.219,33.625
127.194,33.688
128.271,33.688
129.604,33.719
130.216,33.812
131.239,33.812
132.269,33.781
133.198,33.844
134.227,33.844
135.189,33.812
136.232,33.750
137.275,33.750
138.211,33.750
139.187,33.750
140.211,33.750
141.185,33.750
142.230,33.781
143.183,33.750
144.208,33.781
145.526,33.812
146.244,33.844
147.181,33.844
148.211,33.812
149.475,33.812
150.204,33.812
151.179,33.812
152.205,33.812
153.227,33.781
154.447,33.750
155.176,33.781
156.200,33.750
157.175,33.750
158.199,33.812
159.174,33.844
160.258,33.875
161.248,33.844
162.201,33.844
163.220,33.875
164.195,33.938
165.559,33.906
166.197,33.906
167.265,33.906
168.194,33.875
169.216,33.875
170.337,33.844
171.215,33.875
172.245,33.844
173.214,33.938
174.193,33.906
175.212,33.938
176.187,33.969
177.213,33.906
178.186,33.938
179.212,33.906
180.187,33.906
181.329,33.938
182.189,33.938
183.215,33.844
184.182,33.875
185.206,33.875
186.330,33.875
187.205,33.875
188.180,33.875
189.213,33.906
190.179,33.875
191.202,33.875
192.230,33.875
193.252,33.875
194.181,33.906
195.200,33.906
196.324,33.906
197.393,33.875
198.203,33.906
199.197,33.906
200.224,33.938
201.196,34.000
202.463,33.969
203.196,33.938
204.170,33.938
205.194,33.938
206.203,33.938
207.202,33.969
208.167,33.938
209.191,33.938
210.166,33.938
211.190,33.875
212.214,33.844
213.463,33.875
214.217,33.844
215.187,33.875
216.214,33.750
217.235,33.750
218.210,33.688
219.292,33.750
220.209,33.750
221.184,33.781
222.207,33.844
223.182,33.875
224.206,33.906
225.181,33.875
226.205,33.969
227.426,33.969
228.203,33.969
229.276,33.969
230.202,33.969
231.177,33.938
232.201,33.938
233.176,33.906
234.226,33.906
235.175,33.938
236.210,33.938
237.222,33.969
238.199,33.969
239.321,33.906
240.196,33.938
241.415,33.906
242.195,33.938
243.170,33.938
244.193,33.906
245.388,33.875
246.240,33.906
247.167,33.875
248.191,33.906
249.165,33.938
250.194,33.906
251.313,33.906
252.188,33.875
253.185,33.875
254.187,33.906
255.457,33.906
256.194,33.906
257.161,33.938
258.242,33.906
259.166,33.938
260.184,33.906
261.456,33.875
262.185,33.906
263.206,33.875
264.278,33.875
265.205,33.844
266.180,33.875
267.547,33.844
268.181,33.844
269.202,33.844
270.177,33.875
271.250,33.969
272.198,33.938
273.200,33.969
274.177,33.938
275.198,33.938
276.177,33.938
277.297,33.938
278.185,33.969
279.203,34.000
280.171,34.000
281.441,33.906
282.177,33.938
283.193,33.938
284.173,33.938
285.197,33.938
286.167,33.969
287.191,33.969
288.166,33.938
289.190,33.875
290.165,33.875
291.188,33.906
292.553,33.875
293.187,33.906
294.162,33.906
295.226,33.938
296.166,33.938
297.198,33.938
298.403,33.938
299.183,33.969
300.164,33.969
301.182,33.969
302.157,33.938
303.202,33.938
304.156,33.938
305.180,33.938
306.159,33.938
307.178,33.938
308.153,33.938
309.177,33.938
310.201,33.938
311.198,34.000
312.200,34.000
313.518,34.000
314.200,33.906
315.173,33.906
316.348,33.969
317.172,33.938
