df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,perfusion_ir
49.135,0.140
49.682,0.140
50.598,0.130
51.473,0.140
52.304,0.140
56.304,0.140
56.891,0.140
58.547,0.140
59.289,0.140
60.839,0.140
63.176,0.140
63.910,0.140
69.338,0.140
70.004,0.140
70.832,0.140
72.346,0.140
73.073,0.140
84.285,0.140
85.017,0.140
87.256,0.140
90.181,0.140
90.238,0.140
92.431,0.140
94.816,0.140
95.453,0.140
101.296,0.140
102.859,0.140
103.686,0.140
103.740,0.140
105.199,0.130
107.453,0.130
108.126,0.130
109.537,0.130
117.387,0.140
117.874,0.140
122.511,0.140
123.137,0.140
130.506,0.140
131.964,0.140
132.891,0.140
137.327,0.130
140.397,0.130
142.011,0.130
143.615,0.130
145.144,0.140
149.027,0.140
149.709,0.140
150.494,0.140
151.269,0.140
152.296,0.140
152.777,0.140
152.880,0.140
155.020,0.140
157.368,0.140
158.925,0.140
159.749,0.140
159.807,0.140
161.119,0.140
161.168,0.140
162.674,0.140
167.504,0.150
168.088,0.150
168.914,0.150
168.969,0.150
170.425,0.150
170.480,0.150
175.890,0.150
177.543,0.140
178.344,0.140
181.590,0.140
182.471,0.140
184.770,0.140
187.011,0.140
188.561,0.140
189.343,0.140
192.384,0.140
193.343,0.140
194.101,0.140
194.904,0.140
198.707,0.140
200.212,0.140
200.316,0.130
201.723,0.130
201.827,0.130
202.454,0.130
203.530,0.130
204.116,0.130
205.090,0.130
206.306,0.130
210.404,0.130
212.497,0.130
213.381,0.130
215.410,0.130
216.791,0.130
217.719,0.120
219.130,0.120
221.329,0.120
222.207,0.120
229.999,0.120
230.126,0.120
231.513,0.130
232.436,0.130
235.559,0.130
248.966,0.130
258.079,0.140
313.509,0.140
328.870,0.140
331.018,0.140
335.744,0.140
337.056,0.140
338.474,0.140
343.449,0.140
351.783,0.140
352.510,0.140
357.487,0.140
363.969,0.140
367.432,0.140
376.788,0.140
381.130,0.140
381.566,0.150
384.250,0.150
385.274,0.140
386.647,0.140
390.716,0.140
399.311,0.140
406.431,0.140
407.845,0.140
409.164,0.140
410.091,0.140
430.369,0.140
433.245,0.140
436.373,0.150
441.334,0.150
441.389,0.150
442.903,0.160
443.726,0.160
444.567,0.160
444.606,0.160
446.895,0.160
447.916,0.160
448.699,0.170
449.433,0.170
450.258,0.170
462.404,0.170
463.969,0.170
464.884,0.170
465.714,0.170
465.811,0.170
468.202,0.170
469.102,0.170
469.951,0.170
471.565,0.170
474.588,0.170
