df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.235,188260,198,104495
5.240,188225,200,104474
5.245,188145,195,104475
5.250,188095,196,104461
5.255,188009,198,104439
5.260,187963,200,104433
5.265,187896,201,104417
5.270,187850,193,104395
5.275,187798,195,104382
5.280,187747,196,104376
5.285,187704,198,104366
5.290,187658,200,104355
5.295,187621,194,104338
5.300,187588,196,104348
5.305,187542,198,104327
5.310,187549,199,104324
5.315,187502,201,104314
5.320,187486,192,104307
5.325,187469,192,104312
5.330,187455,193,104305
5.334,187428,194,104299
5.339,187432,196,104298
5.344,187408,201,104274
5.349,187401,191,104287
5.354,187392,193,104292
5.359,187380,194,104286
5.364,187365,195,104278
5.369,187367,196,104274
5.374,187367,198,104277
5.379,187355,200,104278
5.384,187331,202,104262
5.389,187334,194,104266
5.394,187322,191,104269
5.399,187318,193,104276
5.404,187312,195,104261
5.409,187302,198,104265
5.414,187296,199,104262
5.419,187306,201,104261
5.424,187302,193,104261
5.429,187312,194,104252
5.434,187319,195,104255
5.439,187333,201,104254
5.444,187342,194,104270
5.449,187345,196,104263
5.454,187358,198,104268
5.459,187357,201,104262
5.464,187351,191,104263
5.469,187350,194,104261
5.474,187349,195,104263
5.478,187317,197,104261
5.483,187355,199,104251
5.488,187347,194,104262
5.493,187348,195,104264
5.498,187310,197,104269
5.503,187332,198,104254
5.508,187320,200,104241
5.513,187319,200,104264
5.518,187315,201,104255
5.523,187305,192,104260
5.528,187319,192,104246
5.533,187310,194,104248
5.538,187311,199,104249
5.543,187308,201,104247
5.548,187317,192,104247
5.553,187323,192,104248
5.558,187298,194,104253
5.563,187304,195,104259
5.568,187297,196,104260
5.573,187306,197,104252
5.578,187302,201,104270
5.583,187317,201,104259
5.588,187326,196,104263
5.593,187316,197,104262
5.598,187329,200,104265
5.603,187360,201,104278
5.608,187361,192,104266
5.613,187376,193,104271
5.618,187396,194,104279
5.623,187405,195,104283
5.627,187401,197,104276
5.632,187413,200,104300
5.637,187417,200,104291
5.642,187420,200,104295
5.647,187443,199,104282
5.652,187464,198,104291
5.657,187458,198,104295
5.662,187477,197,104294
5.667,187482,197,104303
5.672,187518,195,104304
5.677,187504,195,104295
5.682,187526,198,104321
5.687,187536,193,104314
5.692,187539,191,104309
5.697,187554,201,104316
5.702,187567,199,104315
5.707,187575,199,104322
5.712,187583,197,104324
5.717,187611,197,104325
5.722,187619,197,104340
5.727,187640,198,104344
5.732,187671,193,104335
5.737,187668,193,104351
5.742,187679,193,104361
5.747,187701,193,104354
