df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,respiration_rate
50.050,22
54.450,22
58.880,22
63.080,24
67.600,24
71.960,24
76.600,24
80.960,24
85.210,24
89.580,24
93.710,24
98.230,22
103.090,20
107.470,19
146.970,20
151.270,20
155.770,20
160.240,20
164.740,21
199.350,21
203.970,21
208.630,21
212.760,18
216.960,15
222.190,15
324.470,16
492.120,13
496.490,13
