df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,acc_mag
4.598,0.992
4.628,0.986
4.658,0.995
4.688,0.996
4.718,0.994
4.748,0.992
4.778,1.000
4.808,0.994
4.838,0.993
4.868,0.985
4.898,0.987
4.928,1.000
4.958,0.994
4.988,0.998
5.018,1.001
5.048,0.988
5.078,0.992
5.108,0.990
5.138,0.992
5.168,0.992
5.198,0.992
5.228,0.998
5.258,0.999
5.288,0.987
5.318,0.995
5.348,1.000
5.378,1.000
5.408,0.991
5.438,0.994
5.468,0.991
5.498,0.987
5.528,0.990
5.558,0.991
5.588,0.996
5.618,0.994
5.648,0.996
5.678,0.987
5.708,0.990
5.738,0.986
5.768,1.000
5.798,0.999
5.828,0.994
5.858,0.991
5.888,0.988
5.918,0.993
5.948,0.992
5.978,0.990
6.008,0.993
6.038,0.992
6.068,0.995
6.098,0.992
6.128,0.995
6.158,0.993
6.188,0.993
6.218,0.999
6.248,0.999
6.278,0.995
6.308,0.992
6.338,0.987
6.368,0.990
6.398,0.991
6.428,0.996
6.458,0.997
6.488,0.993
6.518,0.993
6.548,0.990
6.578,0.990
6.608,0.995
6.638,0.996
6.668,0.987
6.698,0.991
6.728,0.994
6.758,0.996
6.788,0.994
6.818,0.990
6.848,0.996
6.878,0.996
6.908,0.998
6.938,0.995
6.968,0.991
6.998,0.994
7.028,0.998
7.058,0.990
7.088,0.993
7.118,0.992
7.148,0.992
7.178,1.000
7.208,0.990
7.238,0.993
7.268,0.993
7.298,0.991
7.328,0.995
7.358,0.997
7.388,0.992
7.418,0.994
7.448,0.995
7.478,0.996
7.508,0.997
7.538,0.993
7.568,0.989
7.598,0.992
7.628,1.000
7.658,0.997
7.688,0.992
7.718,0.993
7.748,0.996
7.778,0.994
7.808,0.993
7.838,0.992
7.868,0.994
7.898,0.995
7.928,0.993
7.958,0.994
7.988,0.995
8.018,0.990
8.048,0.996
8.078,0.992
8.108,1.001
8.138,0.995
8.168,0.993
8.198,0.995
8.228,0.990
8.258,0.993
8.288,0.993
8.318,0.991
8.348,0.988
8.378,0.994
8.408,0.996
8.438,0.994
8.468,0.994
8.498,0.993
8.528,0.994
8.558,0.993
8.588,0.992
8.618,0.992
8.648,0.992
8.678,0.993
8.708,0.995
8.738,0.989
8.768,0.997
8.798,0.996
8.828,0.991
8.858,0.994
8.888,0.991
8.918,0.997
8.948,0.994
8.978,0.997
9.008,0.993
9.038,0.994
9.068,0.993
9.098,0.998
9.128,0.992
9.158,0.989
9.188,0.993
9.218,0.995
9.248,0.995
9.278,0.995
9.308,0.998
9.338,1.004
9.368,0.990
9.398,0.986
9.428,0.992
9.458,0.992
9.488,0.994
9.518,0.997
9.548,0.999
9.578,0.995
9.608,0.992
9.638,0.991
9.668,0.985
9.698,0.997
9.728,0.989
9.758,0.995
9.788,0.995
9.818,0.993
9.848,0.993
9.878,0.995
9.908,0.991
9.938,1.000
9.968,0.992
9.998,0.990
10.028,0.990
10.058,0.993
10.088,0.997
10.118,0.998
10.148,0.995
10.178,0.992
10.208,0.993
10.238,0.994
10.268,0.997
10.298,0.996
10.328,0.996
10.358,0.996
10.388,0.992
10.418,0.991
10.448,0.999
10.478,0.995
10.508,0.997
10.538,0.996
10.568,0.996
10.598,0.994
10.628,0.996
10.658,0.995
10.688,0.986
10.718,0.992
10.748,0.996
10.778,0.993
10.808,0.996
10.838,0.995
10.868,0.995
10.898,0.996
10.928,0.996
10.958,0.992
10.988,0.995
11.018,0.998
11.048,0.995
11.078,0.991
11.108,0.994
11.138,0.993
11.168,0.989
11.198,0.990
11.228,1.001
11.258,0.992
11.288,0.996
11.318,0.996
11.348,0.995
11.378,0.995
11.408,0.994
11.438,0.989
11.468,0.994
11.498,0.994
11.528,0.996
11.558,0.995
11.588,0.990
11.618,0.993
11.648,0.995
11.678,0.997
11.708,0.995
11.738,0.997
11.768,0.993
11.798,0.993
11.828,0.995
11.858,0.992
11.888,0.993
11.918,0.992
11.948,1.000
11.978,0.996
12.008,0.995
12.038,0.998
12.068,0.992
12.098,0.992
12.128,0.994
12.158,0.996
12.188,0.995
12.218,0.997
12.248,0.990
12.278,0.993
12.308,0.992
12.338,0.992
12.368,0.998
12.398,0.998
12.428,0.997
12.458,0.998
12.488,0.995
12.518,0.996
12.548,0.995
12.578,0.995
12.608,0.991
12.638,0.991
12.668,0.997
12.698,0.996
12.728,0.994
12.758,0.993
12.788,0.994
12.818,0.990
12.848,0.994
12.878,0.999
12.908,0.983
12.938,0.991
12.968,0.998
12.998,0.996
13.028,1.000
13.058,0.995
13.088,0.993
13.118,0.997
13.148,0.994
13.178,0.997
13.208,0.995
13.238,0.996
13.268,0.996
13.298,0.990
13.328,0.997
13.358,0.994
13.388,0.996
13.418,0.989
13.448,1.002
13.478,0.993
13.508,0.993
13.538,0.997
13.568,0.991
13.598,0.996
13.628,0.995
13.658,0.992
13.688,0.996
13.718,0.995
13.748,0.992
13.778,0.993
13.808,0.990
13.838,0.993
13.868,0.992
13.898,0.994
13.928,0.997
13.958,1.000
13.988,0.998
