df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,battery
12.202,83
22.192,83
32.184,83
42.080,83
52.073,83
62.172,83
72.157,83
82.142,83
92.192,83
102.090,83
112.081,83
122.079,83
132.067,83
142.187,83
152.054,83
162.216,83
172.089,83
182.104,82
192.082,82
202.070,82
212.111,82
222.056,82
232.147,82
242.043,82
252.137,82
262.185,82
272.075,82
282.065,82
292.096,82
302.052,82
312.046,82
322.069,82
332.036,82
342.027,82
352.167,82
362.063,82
372.056,82
382.049,82
392.043,82
402.037,82
412.041,82
422.024,82
432.020,82
442.112,82
452.151,82
462.047,82
472.041,82
482.086,82
492.029,82
502.022,82
512.016,82
522.192,82
