df_hash,22ZHK4.2N6TLG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.06LR
person_label,V87
date_time_start,2025-11-04_14-58-38.258000_+03
date_time_start_unix,1762253918.258
date_time_end,2025-11-04_15-07-26.934000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
15.455,75,75,0
16.089,150,75,1
16.966,225,75,2
17.555,300,75,3
18.481,375,75,4
19.083,450,75,5
19.940,525,75,6
20.525,600,75,7
21.452,675,75,8
22.037,750,75,9
22.914,825,75,10
23.499,900,75,11
24.431,975,75,12
25.010,1050,75,13
25.888,1125,75,14
26.473,1200,75,15
27.402,1275,75,16
28.082,1350,75,17
28.911,1425,75,18
29.544,1500,75,19
30.373,1575,75,20
30.958,1650,75,21
31.865,1725,75,22
32.523,1800,75,23
33.400,1875,75,24
34.029,1950,75,25
34.859,2025,75,26
35.467,2100,75,27
36.419,2175,75,28
36.910,2250,75,29
37.831,2325,75,30
38.417,2400,75,31
39.296,2475,75,32
40.168,2550,75,33
40.804,2625,75,34
41.535,2700,75,35
42.266,2775,75,36
42.900,2850,75,37
43.778,2925,75,38
44.362,3000,75,39
45.239,3075,75,40
45.874,3150,75,41
46.750,3225,75,42
47.335,3300,75,43
48.261,3375,75,44
48.846,3450,75,45
49.723,3525,75,46
50.307,3600,75,47
51.234,3675,75,48
51.819,3750,75,49
52.696,3825,75,50
53.329,3900,75,51
54.496,3975,75,52
54.792,4050,75,53
55.717,4125,75,54
56.351,4200,75,55
57.179,4275,75,56
57.815,4350,75,57
58.690,4425,75,58
59.275,4500,75,59
60.152,4575,75,60
60.786,4650,75,61
61.664,4725,75,62
62.297,4800,75,63
63.146,4875,75,64
63.759,4950,75,65
64.636,5025,75,66
65.221,5100,75,67
66.098,5175,75,68
66.843,5250,75,69
67.610,5325,75,70
68.247,5400,75,71
69.120,5475,75,72
69.705,5550,75,73
70.582,5625,75,74
71.459,5700,75,75
72.093,5775,75,76
72.678,5850,75,77
73.555,5925,75,78
74.140,6000,75,79
75.069,6075,75,80
75.651,6150,75,81
76.529,6225,75,82
77.162,6300,75,83
78.039,6375,75,84
78.624,6450,75,85
79.502,6525,75,86
80.135,6600,75,87
81.012,6675,75,88
81.597,6750,75,89
82.524,6825,75,90
83.108,6900,75,91
84.178,6975,75,92
84.570,7050,75,93
85.504,7125,75,94
86.083,7200,75,95
87.007,7275,75,96
87.592,7350,75,97
88.811,7425,75,98
89.054,7500,75,99
90.174,7575,75,100
90.565,7650,75,101
91.443,7725,75,102
92.055,7800,75,103
92.956,7875,75,104
93.538,7950,75,105
94.464,8025,75,106
95.022,8100,75,107
95.927,8175,75,108
96.560,8250,75,109
97.389,8325,75,110
98.022,8400,75,111
98.946,8475,75,112
99.485,8550,75,113
100.362,8625,75,114
101.077,8700,75,115
101.873,8775,75,116
102.458,8850,75,117
103.335,8925,75,118
103.969,9000,75,119
104.895,9075,75,120
105.533,9150,75,121
106.308,9225,75,122
106.991,9300,75,123
107.819,9375,75,124
108.404,9450,75,125
109.330,9525,75,126
109.915,9600,75,127
111.082,9675,75,128
111.400,9750,75,129
112.303,9825,75,130
112.888,9900,75,131
113.766,9975,75,132
114.350,10050,75,133
115.277,10125,75,134
115.861,10200,75,135
116.742,10275,75,136
117.372,10350,75,137
118.253,10425,75,138
118.841,10500,75,139
119.712,10575,75,140
120.346,10650,75,141
121.230,10725,75,142
121.857,10800,75,143
122.734,10875,75,144
123.346,10950,75,145
124.196,11025,75,146
124.832,11100,75,147
125.707,11175,75,148
126.315,11250,75,149
127.171,11325,75,150
127.794,11400,75,151
128.680,11475,75,152
129.269,11550,75,153
130.144,11625,75,154
130.776,11700,75,155
131.704,11775,75,156
132.239,11850,75,157
133.165,11925,75,158
133.749,12000,75,159
134.627,12075,75,160
135.212,12150,75,161
136.162,12225,75,162
136.723,12300,75,163
137.602,12375,75,164
138.186,12450,75,165
139.162,12525,75,166
139.696,12600,75,167
140.584,12675,75,168
141.207,12750,75,169
142.108,12825,75,170
142.716,12900,75,171
143.646,12975,75,172
144.181,13050,75,173
145.104,13125,75,174
145.643,13200,75,175
146.569,13275,75,176
147.154,13350,75,177
148.031,13425,75,178
148.660,13500,75,179
149.542,13575,75,180
150.126,13650,75,181
151.004,13725,75,182
151.639,13800,75,183
152.515,13875,75,184
153.113,13950,75,185
154.030,14025,75,186
154.652,14100,75,187
155.539,14175,75,188
156.074,14250,75,189
157.001,14325,75,190
157.585,14400,75,191
158.462,14475,75,192
159.144,14550,75,193
159.976,14625,75,194
160.605,14700,75,195
161.479,14775,75,196
162.069,14850,75,197
162.967,14925,75,198
163.537,15000,75,199
164.457,15075,75,200
165.042,15150,75,201
165.977,15225,75,202
166.553,15300,75,203
167.430,15375,75,204
168.015,15450,75,205
168.893,15525,75,206
169.527,15600,75,207
170.408,15675,75,208
170.989,15750,75,209
171.915,15825,75,210
172.549,15900,75,211
173.377,15975,75,212
173.962,16050,75,213
174.888,16125,75,214
175.763,16200,75,215
176.363,16275,75,216
176.984,16350,75,217
177.910,16425,75,218
178.447,16500,75,219
179.421,16575,75,220
179.958,16650,75,221
180.835,16725,75,222
181.420,16800,75,223
182.350,16875,75,224
182.980,16950,75,225
183.864,17025,75,226
184.417,17100,75,227
185.319,17175,75,228
185.953,17250,75,229
186.796,17325,75,230
187.562,17400,75,231
188.293,17475,75,232
188.923,17550,75,233
189.802,17625,75,234
190.389,17700,75,235
191.269,17775,75,236
191.902,17850,75,237
192.777,17925,75,238
193.362,18000,75,239
194.263,18075,75,240
194.826,18150,75,241
195.760,18225,75,242
196.384,18300,75,243
197.301,18375,75,244
197.870,18450,75,245
198.773,18525,75,246
199.309,18600,75,247
200.216,18675,75,248
200.825,18750,75,249
201.746,18825,75,250
202.282,18900,75,251
203.208,18975,75,252
203.891,19050,75,253
204.672,19125,75,254
205.304,19200,75,255
206.184,19275,75,256
207.059,19350,75,257
207.646,19425,75,258
208.298,19500,75,259
209.203,19575,75,260
209.789,19650,75,261
210.666,19725,75,262
211.292,19800,75,263
212.129,19875,75,264
212.713,19950,75,265
213.738,20025,75,266
214.229,20100,75,267
215.102,20175,75,268
215.736,20250,75,269
216.613,20325,75,270
217.310,20400,75,271
218.075,20475,75,272
218.709,20550,75,273
219.634,20625,75,274
220.172,20700,75,275
221.146,20775,75,276
221.729,20850,75,277
222.565,20925,75,278
223.146,21000,75,279
224.140,21075,75,280
224.657,21150,75,281
225.677,21225,75,282
226.313,21300,75,283
227.045,21375,75,284
228.019,21450,75,285
228.577,21525,75,286
229.141,21600,75,287
230.018,21675,75,288
230.650,21750,75,289
231.529,21825,75,290
232.162,21900,75,291
232.991,21975,75,292
233.576,22050,75,293
234.502,22125,75,294
235.136,22200,75,295
235.967,22275,75,296
236.550,22350,75,297
237.476,22425,75,298
238.061,22500,75,299
238.938,22575,75,300
239.572,22650,75,301
240.449,22725,75,302
241.087,22800,75,303
241.915,22875,75,304
242.546,22950,75,305
243.426,23025,75,306
244.008,23100,75,307
244.935,23175,75,308
245.519,23250,75,309
246.439,23325,75,310
246.981,23400,75,311
247.956,23475,75,312
248.492,23550,75,313
249.392,23625,75,314
250.004,23700,75,315
251.024,23775,75,316
251.514,23850,75,317
252.343,23925,75,318
252.980,24000,75,319
253.854,24075,75,320
254.488,24150,75,321
255.365,24225,75,322
255.950,24300,75,323
256.878,24375,75,324
257.508,24450,75,325
258.339,24525,75,326
258.953,24600,75,327
259.801,24675,75,328
260.386,24750,75,329
261.315,24825,75,330
261.946,24900,75,331
262.823,24975,75,332
263.410,25050,75,333
264.286,25125,75,334
264.919,25200,75,335
265.797,25275,75,336
266.382,25350,75,337
267.259,25425,75,338
267.844,25500,75,339
268.770,25575,75,340
269.360,25650,75,341
270.236,25725,75,342
270.866,25800,75,343
271.744,25875,75,344
272.332,25950,75,345
273.208,26025,75,346
273.853,26100,75,347
274.717,26175,75,348
275.351,26250,75,349
276.271,26325,75,350
276.813,26400,75,351
277.739,26475,75,352
278.276,26550,75,353
279.202,26625,75,354
279.787,26700,75,355
280.664,26775,75,356
281.249,26850,75,357
282.420,26925,75,358
282.763,27000,75,359
283.638,27075,75,360
284.271,27150,75,361
285.151,27225,75,362
285.741,27300,75,363
286.615,27375,75,364
287.245,27450,75,365
288.268,27525,75,366
288.708,27600,75,367
289.634,27675,75,368
290.240,27750,75,369
291.096,27825,75,370
291.681,27900,75,371
292.607,27975,75,372
293.197,28050,75,373
294.069,28125,75,374
294.703,28200,75,375
295.580,28275,75,376
296.214,28350,75,377
297.043,28425,75,378
297.676,28500,75,379
298.844,28575,75,380
299.188,28650,75,381
300.016,28725,75,382
300.650,28800,75,383
301.637,28875,75,384
302.162,28950,75,385
303.015,29025,75,386
303.624,29100,75,387
304.504,29175,75,388
305.086,29250,75,389
306.107,29325,75,390
306.600,29400,75,391
307.572,29475,75,392
308.113,29550,75,393
308.986,29625,75,394
309.571,29700,75,395
310.449,29775,75,396
311.060,29850,75,397
311.980,29925,75,398
312.544,30000,75,399
313.421,30075,75,400
314.055,30150,75,401
314.933,30225,75,402
315.518,30300,75,403
316.424,30375,75,404
317.036,30450,75,405
317.906,30525,75,406
318.553,30600,75,407
319.422,30675,75,408
320.051,30750,75,409
320.883,30825,75,410
321.467,30900,75,411
322.391,30975,75,412
322.976,31050,75,413
323.876,31125,75,414
324.438,31200,75,415
325.365,31275,75,416
325.950,31350,75,417
326.834,31425,75,418
327.466,31500,75,419
328.341,31575,75,420
328.923,31650,75,421
329.932,31725,75,422
330.434,31800,75,423
331.311,31875,75,424
332.040,31950,75,425
332.823,32025,75,426
333.407,32100,75,427
334.326,32175,75,428
334.876,32250,75,429
335.845,32325,75,430
336.381,32400,75,431
337.281,32475,75,432
337.843,32550,75,433
338.770,32625,75,434
339.354,32700,75,435
340.232,32775,75,436
340.886,32850,75,437
341.743,32925,75,438
342.357,33000,75,439
343.257,33075,75,440
343.839,33150,75,441
344.717,33225,75,442
345.302,33300,75,443
346.228,33375,75,444
347.056,33450,75,445
347.690,33525,75,446
348.324,33600,75,447
349.201,33675,75,448
349.788,33750,75,449
350.664,33825,75,450
351.335,33900,75,451
352.176,33975,75,452
352.760,34050,75,453
353.646,34125,75,454
354.273,34200,75,455
355.198,34275,75,456
355.782,34350,75,457
356.659,34425,75,458
357.305,34500,75,459
358.171,34575,75,460
358.756,34650,75,461
359.682,34725,75,462
360.218,34800,75,463
361.118,34875,75,464
361.683,34950,75,465
362.645,35025,75,466
363.192,35100,75,467
364.069,35175,75,468
364.751,35250,75,469
365.617,35325,75,470
366.214,35400,75,471
367.044,35475,75,472
367.679,35550,75,473
368.554,35625,75,474
369.138,35700,75,475
370.037,35775,75,476
370.702,35850,75,477
371.527,35925,75,478
372.113,36000,75,479
372.992,36075,75,480
373.655,36150,75,481
374.501,36225,75,482
375.086,36300,75,483
376.012,36375,75,484
376.597,36450,75,485
377.474,36525,75,486
378.059,36600,75,487
379.034,36675,75,488
379.570,36750,75,489
380.496,36825,75,490
381.034,36900,75,491
382.001,36975,75,492
382.544,37050,75,493
383.426,37125,75,494
384.023,37200,75,495
384.981,37275,75,496
385.517,37350,75,497
386.494,37425,75,498
387.029,37500,75,499
387.912,37575,75,500
388.491,37650,75,501
389.368,37725,75,502
390.002,37800,75,503
390.880,37875,75,504
391.467,37950,75,505
392.391,38025,75,506
393.070,38100,75,507
393.853,38175,75,508
394.949,38250,75,509
395.406,38325,75,510
395.949,38400,75,511
396.827,38475,75,512
397.426,38550,75,513
398.338,38625,75,514
398.972,38700,75,515
399.800,38775,75,516
400.434,38850,75,517
401.384,38925,75,518
401.896,39000,75,519
402.774,39075,75,520
403.429,39150,75,521
404.285,39219,69,522
404.870,39294,75,523
405.818,39369,75,524
406.381,39444,75,525
407.280,39519,75,526
407.843,39594,75,527
408.770,39669,75,528
409.355,39744,75,529
410.281,39819,75,530
410.866,39894,75,531
411.789,39969,75,532
412.376,40044,75,533
413.207,40119,75,534
413.791,40194,75,535
414.766,40269,75,536
415.324,40344,75,537
416.179,40419,75,538
416.862,40494,75,539
417.691,40569,75,540
418.278,40644,75,541
419.153,40719,75,542
419.786,40794,75,543
420.664,40869,75,544
421.249,40944,75,545
422.175,41019,75,546
422.760,41094,75,547
423.638,41169,75,548
424.512,41244,75,549
425.149,41319,75,550
425.877,41394,75,551
426.659,41469,75,552
427.237,41544,75,553
428.171,41619,75,554
428.714,41694,75,555
429.633,41769,75,556
430.267,41844,75,557
431.096,41919,75,558
431.778,41994,75,559
432.558,42069,75,560
433.290,42144,75,561
434.100,42219,75,562
434.654,42294,75,563
435.533,42369,75,564
436.165,42444,75,565
437.043,42519,75,566
437.628,42594,75,567
438.554,42669,75,568
439.139,42744,75,569
440.032,42819,75,570
440.940,42894,75,571
441.528,42969,75,572
442.114,43044,75,573
442.990,43119,75,574
443.599,43194,75,575
444.506,43269,75,576
445.088,43344,75,577
445.963,43419,75,578
446.602,43494,75,579
447.522,43569,75,580
448.060,43644,75,581
448.986,43719,75,582
449.571,43794,75,583
450.448,43869,75,584
451.080,43944,75,585
451.959,44019,75,586
452.547,44094,75,587
453.461,44169,75,588
454.007,44244,75,589
455.077,44319,75,590
455.518,44394,75,591
456.396,44469,75,592
457.029,44544,75,593
