df_hash,22ZHK4.2N6TLG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.06LR
person_label,V87
date_time_start,2025-11-04_14-58-38.258000_+03
date_time_start_unix,1762253918.258
date_time_end,2025-11-04_15-07-26.934000_+03
length_difference_noticed,no

time,quality
18.770,100
19.648,100
20.936,0
21.745,0
22.622,0
23.841,34
24.864,70
25.598,69
26.817,73
27.789,80
28.570,71
29.789,70
30.667,62
31.544,64
32.908,58
33.682,55
34.517,49
35.736,48
36.905,58
37.540,51
38.719,52
39.878,73
40.558,77
41.705,76
42.656,77
43.488,73
44.657,75
45.583,74
46.460,72
47.629,68
48.555,68
49.433,69
50.649,75
51.526,74
52.429,80
53.624,74
54.648,74
55.381,73
56.838,73
57.521,70
58.400,70
59.568,69
60.445,72
61.373,55
62.541,55
63.419,55
64.344,56
65.514,56
66.447,60
67.319,76
68.538,73
69.413,78
70.290,81
71.603,80
72.387,74
73.410,74
74.483,71
75.370,75
76.238,73
77.509,73
78.527,75
79.210,77
80.428,76
81.305,77
82.232,71
83.403,66
84.280,63
85.496,72
86.376,73
87.254,77
88.469,74
89.347,65
90.273,66
91.150,70
92.414,75
93.246,72
94.135,73
95.293,73
96.219,73
97.097,71
98.317,75
99.238,73
100.071,73
101.629,73
102.166,65
103.043,64
104.262,59
105.139,59
106.017,65
107.235,67
108.112,71
109.038,77
110.210,65
111.184,60
112.011,65
113.424,73
114.060,72
115.177,66
116.154,53
117.081,55
118.201,70
119.173,75
120.053,76
120.931,71
122.150,69
123.027,71
123.904,75
125.168,69
126.000,67
126.877,73
128.097,74
129.024,75
129.947,76
131.070,74
131.948,72
132.824,73
134.044,71
134.920,71
135.847,68
137.015,70
137.893,72
139.157,64
140.186,63
140.917,66
141.796,77
142.962,74
143.889,73
144.766,76
145.984,75
146.861,76
147.882,70
148.959,70
149.890,71
150.719,76
151.980,76
152.809,75
153.734,75
154.909,69
155.783,67
156.709,73
157.877,74
158.767,62
159.686,59
160.877,60
161.777,53
162.654,52
163.827,55
164.755,69
165.871,70
166.853,72
167.725,74
168.603,72
169.821,72
170.742,72
171.817,69
172.939,69
173.712,71
174.599,67
175.860,63
176.689,62
177.569,68
178.788,70
179.665,74
180.543,61
181.771,39
182.639,37
183.516,40
184.735,30
185.612,49
186.788,60
187.708,73
188.731,74
189.463,73
190.718,74
191.559,72
192.488,72
193.700,73
194.533,74
195.461,73
196.728,69
197.567,68
198.433,66
199.604,66
200.820,64
201.406,66
202.624,61
203.502,55
204.524,55
205.599,66
206.767,67
207.353,71
208.573,73
209.449,69
210.386,74
211.546,72
212.424,79
213.399,81
214.517,74
215.395,63
216.321,66
217.495,69
218.423,59
219.328,59
220.656,64
221.485,63
222.268,61
223.629,69
224.412,73
225.533,66
226.505,62
227.337,58
228.455,61
229.434,58
230.313,66
231.282,61
232.407,38
233.286,28
234.259,38
235.428,35
236.257,36
237.235,42
238.354,56
239.281,68
240.192,72
241.327,74
242.253,67
243.137,55
244.592,56
245.227,51
246.203,50
247.324,50
248.201,75
249.079,78
250.442,77
251.175,74
252.051,74
253.270,65
254.195,68
255.031,72
256.245,68
257.168,54
258.047,48
259.217,0
260.094,0
261.117,0
262.191,0
263.373,0
263.996,0
265.232,55
266.092,37
266.969,35
268.186,37
269.109,73
269.942,65
271.159,53
272.038,48
272.914,44
274.133,38
275.058,39
276.128,41
277.106,53
278.009,60
278.959,60
280.125,59
280.957,62
281.883,74
283.054,69
283.980,66
284.857,73
286.121,75
286.959,67
287.973,73
289.007,65
289.933,44
290.804,44
292.022,42
292.900,47
293.782,41
295.000,30
295.874,36
296.775,33
297.970,32
298.944,30
299.724,37
300.943,31
301.869,0
302.740,24
303.918,29
304.964,0
306.012,0
306.890,0
307.770,2
308.788,7
309.866,0
310.838,29
311.859,35
312.839,36
313.958,36
314.641,50
315.861,56
317.029,68
317.708,75
318.835,73
319.710,67
320.588,67
322.096,74
322.925,71
323.856,68
324.826,68
325.657,70
326.829,74
327.757,73
328.631,71
329.656,61
330.921,63
331.607,66
332.741,56
333.701,53
334.870,71
335.504,66
336.677,73
337.555,69
338.574,76
339.647,77
340.814,75
341.451,71
342.767,62
343.547,54
344.424,45
345.594,47
346.814,56
347.399,52
348.620,69
349.495,68
350.371,69
351.592,64
352.471,64
353.637,73
354.565,74
355.598,63
356.319,66
357.781,65
358.415,77
359.343,74
360.511,79
361.419,74
362.315,65
363.485,67
364.363,70
365.291,73
366.459,65
367.358,60
368.261,62
369.482,57
370.552,45
371.235,60
372.502,83
373.331,83
374.209,82
375.379,84
376.501,84
377.185,84
378.452,77
379.424,53
380.299,41
381.666,29
382.252,25
383.421,25
384.348,0
385.225,34
386.246,52
387.516,46
388.274,47
389.081,32
390.301,41
391.267,56
392.098,55
393.366,57
394.149,54
395.075,43
396.242,45
397.172,64
398.189,69
399.605,67
400.288,67
401.113,28
402.189,29
403.356,0
403.993,0
405.403,16
406.089,20
406.967,24
408.140,0
409.104,0
409.940,21
411.305,1
412.036,2
412.914,35
414.132,0
415.058,23
415.989,30
417.106,34
417.987,34
418.862,34
420.090,45
420.957,0
421.883,0
423.055,28
424.074,34
424.902,21
426.121,32
426.956,30
428.071,34
429.001,43
429.879,31
430.803,39
431.975,46
432.900,58
433.779,66
