df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,perfusion_ir
64.834,0.130
66.782,0.130
68.636,0.120
69.119,0.120
70.454,0.120
71.367,0.120
74.921,0.120
75.021,0.120
76.194,0.120
82.430,0.120
83.219,0.120
86.830,0.120
87.116,0.120
88.527,0.120
88.923,0.120
90.767,0.120
92.622,0.120
99.200,0.150
101.345,0.160
103.151,0.170
103.881,0.170
104.514,0.170
105.148,0.180
109.192,0.180
110.657,0.180
112.364,0.180
113.440,0.180
115.386,0.180
116.812,0.190
118.070,0.190
122.991,0.180
123.493,0.180
124.210,0.180
124.963,0.180
126.553,0.190
128.068,0.180
128.505,0.180
129.232,0.180
129.862,0.180
130.710,0.190
131.860,0.180
132.500,0.180
133.228,0.180
133.908,0.180
134.741,0.180
135.419,0.180
136.108,0.190
136.689,0.190
137.275,0.180
139.127,0.180
139.619,0.180
140.210,0.180
141.563,0.190
142.248,0.180
142.494,0.180
148.393,0.180
153.224,0.180
154.240,0.170
156.143,0.170
157.308,0.160
157.363,0.160
158.533,0.160
160.919,0.160
165.891,0.160
167.013,0.160
169.499,0.160
170.081,0.160
170.861,0.160
171.012,0.160
174.566,0.160
174.958,0.160
177.542,0.160
178.225,0.160
178.957,0.160
179.542,0.160
180.812,0.160
183.196,0.160
184.075,0.160
188.609,0.160
189.974,0.170
190.562,0.170
193.045,0.170
194.017,0.170
194.167,0.170
198.453,0.170
200.161,0.170
203.088,0.170
207.390,0.160
209.143,0.160
209.426,0.160
211.716,0.160
212.253,0.160
212.322,0.150
215.958,0.150
217.765,0.150
218.639,0.140
222.880,0.140
233.066,0.140
235.263,0.140
236.728,0.140
238.822,0.140
239.408,0.130
239.501,0.130
240.643,0.130
241.216,0.120
248.376,0.120
261.102,0.120
261.682,0.120
261.739,0.120
266.723,0.120
267.878,0.120
281.868,0.120
284.647,0.120
285.180,0.120
285.769,0.120
308.291,0.120
310.826,0.120
320.138,0.120
321.259,0.120
321.799,0.120
332.378,0.120
347.002,0.120
351.825,0.120
354.362,0.120
358.802,0.130
363.626,0.120
389.119,0.120
390.877,0.120
403.308,0.120
406.813,0.130
472.140,0.160
472.771,0.160
476.045,0.160
477.211,0.160
478.037,0.160
479.465,0.160
480.137,0.160
481.403,0.170
482.089,0.170
482.622,0.170
483.350,0.180
484.133,0.180
484.576,0.180
485.797,0.180
486.373,0.180
490.714,0.180
491.216,0.180
492.612,0.180
494.862,0.180
499.738,0.170
