df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,ppg_quality
57.429,82
59.449,81
61.469,79
62.479,80
64.499,80
65.509,82
68.529,81
69.539,81
70.549,83
72.569,87
74.589,83
76.609,82
77.619,84
78.629,84
81.659,80
83.679,81
85.699,83
87.719,82
89.739,83
90.749,83
91.759,83
92.769,81
94.789,75
96.809,73
98.829,74
100.849,73
101.859,74
103.879,79
104.889,82
106.909,86
107.919,85
109.939,87
111.959,88
112.969,89
113.979,90
115.999,89
118.019,88
119.029,89
120.039,87
121.049,86
123.069,84
125.089,84
126.099,85
127.109,85
129.129,85
130.139,88
131.149,86
132.159,87
133.169,86
134.179,88
136.199,90
138.219,91
139.229,92
140.239,90
141.249,92
143.269,91
144.279,87
145.289,85
146.299,77
147.309,72
149.329,65
151.349,64
152.359,63
153.369,60
154.379,61
155.389,63
157.409,72
158.419,77
159.429,78
160.439,83
162.459,86
164.479,87
166.499,84
167.509,84
168.519,84
171.549,78
173.569,79
175.589,81
177.609,83
179.629,83
180.639,83
181.649,84
184.679,84
185.689,84
186.699,84
188.719,83
190.739,84
192.759,81
193.769,82
194.779,84
197.809,87
198.819,88
199.829,89
201.849,90
203.869,92
205.889,90
207.909,90
210.939,87
211.949,88
212.959,86
214.979,85
216.999,85
219.019,83
220.029,84
221.039,82
222.049,79
224.069,77
225.079,77
226.089,76
228.109,73
229.119,72
230.129,73
231.139,74
232.149,72
234.169,73
236.189,72
237.199,72
239.219,73
241.239,72
242.249,75
244.269,76
245.279,75
247.299,79
248.309,80
249.319,82
250.329,82
251.339,83
252.349,84
254.369,83
256.389,68
258.409,62
259.419,63
261.439,62
263.459,56
265.479,62
266.489,61
267.499,59
268.509,62
270.529,58
271.539,60
274.569,62
276.589,58
278.609,61
280.629,56
281.639,49
282.649,46
284.669,44
286.689,51
287.699,51
289.719,41
291.739,33
293.759,17
295.779,6
296.789,12
297.799,8
298.809,7
299.819,13
300.829,20
301.839,27
302.849,34
304.869,49
306.889,40
308.909,45
309.919,52
310.929,56
311.939,54
312.949,44
313.959,40
315.979,45
317.999,43
320.019,12
322.039,9
323.049,19
324.059,24
325.069,11
328.099,3
329.109,17
330.119,15
331.129,6
335.169,19
336.179,31
337.189,47
338.199,48
340.219,68
342.239,69
343.249,73
344.259,80
346.279,80
347.289,69
348.299,61
351.329,45
353.349,54
354.359,45
355.369,38
357.389,23
359.409,15
364.459,10
366.479,16
367.489,31
368.499,37
370.519,37
372.539,49
373.549,45
374.559,26
375.569,26
377.589,26
378.599,26
379.609,38
380.619,48
381.629,49
383.649,48
384.659,40
385.669,30
386.669,33
387.679,22
388.689,12
390.709,4
391.719,6
394.749,11
396.769,37
398.789,61
399.799,62
401.819,69
403.839,67
405.859,59
407.879,36
408.889,28
409.899,27
410.909,23
411.919,7
414.949,29
415.959,35
416.969,43
418.989,48
419.999,47
421.009,45
422.019,51
423.029,55
424.039,59
425.049,51
426.059,48
427.069,37
428.079,36
430.099,24
431.109,26
432.119,36
434.139,39
436.159,45
438.179,41
440.199,42
441.209,46
442.219,34
443.229,27
444.239,22
445.249,16
446.259,18
447.269,20
449.289,40
450.299,50
451.309,52
454.339,56
455.349,45
456.359,45
458.379,47
459.389,48
460.399,43
461.409,36
462.419,25
464.439,19
465.449,30
467.469,30
469.489,30
471.509,43
473.529,66
474.539,75
475.549,75
476.559,66
477.569,54
480.599,43
482.619,46
484.639,49
486.659,66
487.669,78
488.679,87
490.699,81
491.709,77
493.729,74
495.749,72
497.769,65
499.789,61
501.809,62
504.839,41
506.859,43
508.879,57
509.889,57
510.899,57
511.909,65
512.919,64
513.929,61
515.949,37
