df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,temperature
5.208,33.625
6.280,33.656
7.206,33.688
8.229,33.719
9.205,33.688
10.239,33.812
11.230,33.812
12.248,33.844
13.202,33.844
14.226,33.844
15.250,33.875
16.225,33.844
17.202,33.875
18.273,33.875
19.198,33.875
20.223,33.781
21.198,33.812
22.221,33.781
23.196,33.781
24.268,33.812
25.344,33.781
26.413,33.844
27.196,33.844
28.218,33.844
29.193,33.844
30.217,33.875
31.484,33.844
32.215,33.875
33.191,33.875
34.214,33.844
35.189,33.875
36.213,33.844
37.188,33.844
38.238,33.875
39.189,33.844
40.210,33.844
41.234,33.875
42.312,33.875
43.184,33.875
44.208,33.906
45.231,33.938
46.206,33.938
47.318,33.969
48.205,33.906
49.229,33.906
50.304,33.906
51.227,33.906
52.348,33.906
53.275,33.875
54.202,33.875
55.225,33.906
56.200,33.938
57.279,33.938
58.199,33.969
59.271,34.000
60.201,34.000
61.222,34.031
62.347,34.000
63.220,34.031
64.195,34.031
65.222,34.000
66.194,34.000
67.217,34.000
68.439,34.000
69.223,34.000
70.193,34.031
71.215,34.031
72.190,34.094
73.214,34.094
74.189,34.094
75.218,34.125
76.288,34.125
77.217,34.094
78.215,34.062
79.360,34.062
80.432,34.062
81.209,34.031
82.233,34.031
83.391,34.031
84.234,34.031
85.207,34.031
86.187,34.062
87.205,34.062
88.180,34.094
89.204,34.094
90.204,34.094
91.203,34.094
92.178,34.062
93.262,34.062
94.177,34.094
95.201,34.094
96.565,34.062
97.199,34.094
98.223,34.094
99.525,34.094
100.470,34.062
101.198,34.094
102.224,34.125
103.196,34.125
104.219,34.156
105.194,34.125
106.218,34.188
107.228,34.156
108.217,34.188
109.197,34.219
110.364,34.250
111.191,34.219
112.214,34.188
113.386,34.188
114.213,34.156
115.247,34.156
116.212,34.125
117.223,34.094
118.211,34.094
119.263,34.094
120.210,34.062
121.184,34.031
122.208,34.125
123.183,34.125
124.502,34.125
125.182,34.156
126.206,34.188
127.184,34.188
128.205,34.188
129.242,34.188
130.203,34.219
131.178,34.250
132.224,34.219
133.427,34.219
134.201,34.219
135.176,34.188
136.200,34.188
137.175,34.219
138.198,34.219
139.173,34.250
140.417,34.250
141.174,34.219
142.196,34.250
143.220,34.219
144.195,34.250
145.171,34.250
146.242,34.250
147.218,34.250
148.192,34.250
149.216,34.156
150.191,34.188
151.218,34.188
152.190,34.188
153.239,34.219
154.334,34.188
155.262,34.219
156.187,34.219
157.211,34.188
158.187,34.219
159.210,34.312
160.185,34.312
161.452,34.312
162.184,34.312
163.207,34.312
164.182,34.344
165.206,34.312
166.181,34.312
167.205,34.344
168.202,34.312
169.203,34.312
170.374,34.312
171.202,34.344
172.424,34.312
173.201,34.312
174.176,34.312
175.202,34.281
176.181,34.281
177.199,34.281
178.274,34.281
179.197,34.281
180.176,34.250
181.439,34.250
182.188,34.219
183.227,34.219
184.170,34.219
185.194,34.281
186.192,34.281
187.193,34.250
188.167,34.281
189.253,34.312
190.170,34.344
191.287,34.281
192.311,34.312
193.194,34.312
194.172,34.344
195.236,34.344
196.211,34.344
197.234,34.344
198.210,34.281
199.185,34.250
200.257,34.250
201.184,34.281
202.304,34.281
203.182,34.312
204.206,34.375
205.184,34.406
206.264,34.406
207.180,34.406
208.252,34.469
209.276,34.500
210.203,34.500
211.178,34.500
212.201,34.531
213.176,34.469
214.223,34.375
215.183,34.375
216.199,34.375
217.174,34.375
218.344,34.344
219.173,34.375
220.196,34.344
221.173,34.344
222.195,34.344
223.320,34.344
224.194,34.375
225.266,34.375
226.241,34.375
227.168,34.344
228.191,34.375
229.573,34.281
230.191,34.281
231.165,34.312
232.190,34.281
233.254,34.281
234.188,34.281
235.311,34.281
236.186,34.281
237.162,34.344
238.218,34.375
239.160,34.438
240.184,34.406
241.356,34.344
242.183,34.375
243.211,34.375
244.185,34.375
245.205,34.344
246.424,34.375
247.207,34.281
248.179,34.250
249.400,34.125
250.179,34.156
251.373,34.188
252.225,34.188
253.249,34.344
254.200,34.344
255.199,34.406
256.180,34.375
257.197,34.438
258.173,34.469
259.197,34.594
260.369,34.594
261.208,34.625
262.492,34.625
263.211,34.500
264.176,34.469
265.193,34.438
266.168,34.438
267.191,34.438
268.215,34.438
269.239,34.406
270.558,34.406
271.203,34.406
272.164,34.438
273.192,34.438
274.188,34.438
275.187,34.438
276.163,34.438
277.234,34.469
278.161,34.500
279.233,34.500
280.256,34.500
281.183,34.469
282.158,34.469
283.184,34.469
284.157,34.469
285.185,34.469
286.180,34.469
287.179,34.469
288.155,34.406
289.183,34.406
290.323,34.375
291.177,34.406
292.152,34.406
293.178,34.406
294.200,34.406
295.321,34.375
296.201,34.344
297.173,34.312
298.197,34.344
299.172,34.344
300.195,34.375
301.417,34.375
302.218,34.375
303.170,34.375
304.234,34.375
305.170,34.406
306.192,34.531
307.167,34.531
308.191,34.562
309.166,34.594
310.189,34.594
311.310,34.562
312.188,34.562
313.163,34.531
314.188,34.562
315.165,34.562
316.241,34.500
317.161,34.531
